season,competition,category,table_type,source_file,saved_at,team_fbref,team,team_fbref_id,players_used,minutes_90s,goals,shots,shots_on_target,shots_on_target_pct,shots_per90,shots_on_target_per90,goals_per_shot,goals_per_shot_on_target,pens_made,pens_att,team_href
2020-2021,Premier League,shooting,squad_for,2020-2021 Premier League Stats _ FBref.com.html,2026-09-20T20:41:23.578122+00:00,Arsenal,Arsenal,18bb7c10,29,38.0,53,453,140,30.9,11.92,3.68,0.12,0.38,6,6,https://fbref.com/en/squads/18bb7c10/2020-2021/Arsenal-Stats
2020-2021,Premier League,shooting,squad_for,2020-2021 Premier League Stats _ FBref.com.html,2026-09-20T20:41:23.578122+00:00,Aston Villa,Aston Villa,8602292d,24,38.0,52,514,178,34.6,13.53,4.68,0.10,0.29,5,6,https://fbref.com/en/squads/8602292d/2020-2021/Aston-Villa-Stats
2020-2021,Premier League,shooting,squad_for,2020-2021 Premier League Stats _ FBref.com.html,2026-09-20T20:41:23.578122+00:00,Brighton,Brighton,d07537b9,27,38.0,39,478,134,28.0,12.58,3.53,0.08,0.29,6,9,https://fbref.com/en/squads/d07537b9/2020-2021/Brighton-and-Hove-Albion-Stats
2020-2021,Premier League,shooting,squad_for,2020-2021 Premier League Stats _ FBref.com.html,2026-09-20T20:41:23.578122+00:00,Burnley,Burnley,943e8050,25,38.0,32,381,124,32.5,10.03,3.26,0.08,0.26,3,3,https://fbref.com/en/squads/943e8050/2020-2021/Burnley-Stats
2020-2021,Premier League,shooting,squad_for,2020-2021 Premier League Stats _ FBref.com.html,2026-09-20T20:41:23.578122+00:00,Chelsea,Chelsea,cff3d9bb,27,38.0,56,546,193,35.3,14.37,5.08,0.10,0.29,8,10,https://fbref.com/en/squads/cff3d9bb/2020-2021/Chelsea-Stats
2020-2021,Premier League,shooting,squad_for,2020-2021 Premier League Stats _ FBref.com.html,2026-09-20T20:41:23.578122+00:00,Crystal Palace,Crystal Palace,47c64c55,24,38.0,39,345,127,36.8,9.08,3.34,0.11,0.31,3,4,https://fbref.com/en/squads/47c64c55/2020-2021/Crystal-Palace-Stats
2020-2021,Premier League,shooting,squad_for,2020-2021 Premier League Stats _ FBref.com.html,2026-09-20T20:41:23.578122+00:00,Everton,Everton,d3fd31cc,29,38.0,45,395,143,36.2,10.39,3.76,0.11,0.31,4,5,https://fbref.com/en/squads/d3fd31cc/2020-2021/Everton-Stats
2020-2021,Premier League,shooting,squad_for,2020-2021 Premier League Stats _ FBref.com.html,2026-09-20T20:41:23.578122+00:00,Fulham,Fulham,fd962109,28,38.0,26,436,125,28.7,11.47,3.29,0.06,0.21,3,6,https://fbref.com/en/squads/fd962109/2020-2021/Fulham-Stats
2020-2021,Premier League,shooting,squad_for,2020-2021 Premier League Stats _ FBref.com.html,2026-09-20T20:41:23.578122+00:00,Leeds United,Leeds,5bfb9659,23,38.0,60,518,193,37.3,13.63,5.08,0.12,0.31,4,4,https://fbref.com/en/squads/5bfb9659/2020-2021/Leeds-United-Stats
2020-2021,Premier League,shooting,squad_for,2020-2021 Premier League Stats _ FBref.com.html,2026-09-20T20:41:23.578122+00:00,Leicester City,Leicester,a2d435b3,27,38.0,64,473,170,35.9,12.45,4.47,0.14,0.38,10,12,https://fbref.com/en/squads/a2d435b3/2020-2021/Leicester-City-Stats
2020-2021,Premier League,shooting,squad_for,2020-2021 Premier League Stats _ FBref.com.html,2026-09-20T20:41:23.578122+00:00,Liverpool,Liverpool,822bd0ba,28,38.0,65,602,204,33.9,15.84,5.37,0.11,0.32,6,6,https://fbref.com/en/squads/822bd0ba/2020-2021/Liverpool-Stats
2020-2021,Premier League,shooting,squad_for,2020-2021 Premier League Stats _ FBref.com.html,2026-09-20T20:41:23.578122+00:00,Manchester City,Man City,b8fd03ef,24,38.0,82,590,211,35.8,15.53,5.55,0.14,0.39,5,9,https://fbref.com/en/squads/b8fd03ef/2020-2021/Manchester-City-Stats
2020-2021,Premier League,shooting,squad_for,2020-2021 Premier League Stats _ FBref.com.html,2026-09-20T20:41:23.578122+00:00,Manchester Utd,Man Utd,19538871,29,38.0,70,515,196,38.1,13.55,5.16,0.14,0.36,10,11,https://fbref.com/en/squads/19538871/2020-2021/Manchester-United-Stats
2020-2021,Premier League,shooting,squad_for,2020-2021 Premier League Stats _ FBref.com.html,2026-09-20T20:41:23.578122+00:00,Newcastle,Newcastle,b2b47a98,27,38.0,44,390,130,33.3,10.26,3.42,0.11,0.34,6,7,https://fbref.com/en/squads/b2b47a98/2020-2021/Newcastle-United-Stats
2020-2021,Premier League,shooting,squad_for,2020-2021 Premier League Stats _ FBref.com.html,2026-09-20T20:41:23.578122+00:00,Sheffield United,Sheffield Utd,1df6b87e,27,38.0,19,319,92,28.8,8.39,2.42,0.06,0.21,3,4,https://fbref.com/en/squads/1df6b87e/2020-2021/Sheffield-United-Stats
2020-2021,Premier League,shooting,squad_for,2020-2021 Premier League Stats _ FBref.com.html,2026-09-20T20:41:23.578122+00:00,Southampton,Southampton,33c895d4,29,38.0,47,418,157,37.6,11.00,4.13,0.11,0.30,5,6,https://fbref.com/en/squads/33c895d4/2020-2021/Southampton-Stats
2020-2021,Premier League,shooting,squad_for,2020-2021 Premier League Stats _ FBref.com.html,2026-09-20T20:41:23.578122+00:00,Tottenham,Spurs,361ca564,24,38.0,66,438,167,38.1,11.53,4.39,0.15,0.40,5,5,https://fbref.com/en/squads/361ca564/2020-2021/Tottenham-Hotspur-Stats
2020-2021,Premier League,shooting,squad_for,2020-2021 Premier League Stats _ FBref.com.html,2026-09-20T20:41:23.578122+00:00,West Brom,West Brom,60c6b05f,30,38.0,33,335,106,31.6,8.82,2.79,0.10,0.31,4,4,https://fbref.com/en/squads/60c6b05f/2020-2021/West-Bromwich-Albion-Stats
2020-2021,Premier League,shooting,squad_for,2020-2021 Premier League Stats _ FBref.com.html,2026-09-20T20:41:23.578122+00:00,West Ham,West Ham,7c21e445,24,38.0,60,464,158,34.1,12.21,4.16,0.13,0.38,2,4,https://fbref.com/en/squads/7c21e445/2020-2021/West-Ham-United-Stats
2020-2021,Premier League,shooting,squad_for,2020-2021 Premier League Stats _ FBref.com.html,2026-09-20T20:41:23.578122+00:00,Wolves,Wolves,8cec06e1,27,38.0,34,459,149,32.5,12.08,3.92,0.07,0.23,4,4,https://fbref.com/en/squads/8cec06e1/2020-2021/Wolverhampton-Wanderers-Stats
