season,competition,category,table_type,source_file,saved_at,team_fbref,team,team_fbref_id,rank,home_games,home_wins,home_ties,home_losses,home_goals_for,home_goals_against,home_goal_diff,home_points,home_points_avg,away_games,away_wins,away_ties,away_losses,away_goals_for,away_goals_against,away_goal_diff,away_points,away_points_avg,team_href
2020-2021,Premier League,results,results_home_away,2020-2021 Premier League Stats _ FBref.com.html,2026-09-20T20:41:23.578122+00:00,Manchester City,Man City,b8fd03ef,1,19,13,2,4,43,17,+26,41,2.16,19,14,3,2,40,15,+25,45,2.37,https://fbref.com/en/squads/b8fd03ef/2020-2021/Manchester-City-Stats
2020-2021,Premier League,results,results_home_away,2020-2021 Premier League Stats _ FBref.com.html,2026-09-20T20:41:23.578122+00:00,Manchester Utd,Man Utd,19538871,2,19,9,4,6,38,28,+10,31,1.63,19,12,7,0,35,16,+19,43,2.26,https://fbref.com/en/squads/19538871/2020-2021/Manchester-United-Stats
2020-2021,Premier League,results,results_home_away,2020-2021 Premier League Stats _ FBref.com.html,2026-09-20T20:41:23.578122+00:00,Liverpool,Liverpool,822bd0ba,3,19,10,3,6,29,20,+9,33,1.74,19,10,6,3,39,22,+17,36,1.89,https://fbref.com/en/squads/822bd0ba/2020-2021/Liverpool-Stats
2020-2021,Premier League,results,results_home_away,2020-2021 Premier League Stats _ FBref.com.html,2026-09-20T20:41:23.578122+00:00,Chelsea,Chelsea,cff3d9bb,4,19,9,6,4,31,18,+13,33,1.74,19,10,4,5,27,18,+9,34,1.79,https://fbref.com/en/squads/cff3d9bb/2020-2021/Chelsea-Stats
2020-2021,Premier League,results,results_home_away,2020-2021 Premier League Stats _ FBref.com.html,2026-09-20T20:41:23.578122+00:00,Leicester City,Leicester,a2d435b3,5,19,9,1,9,34,30,+4,28,1.47,19,11,5,3,34,20,+14,38,2.00,https://fbref.com/en/squads/a2d435b3/2020-2021/Leicester-City-Stats
2020-2021,Premier League,results,results_home_away,2020-2021 Premier League Stats _ FBref.com.html,2026-09-20T20:41:23.578122+00:00,West Ham,West Ham,7c21e445,6,19,10,4,5,32,22,+10,34,1.79,19,9,4,6,30,25,+5,31,1.63,https://fbref.com/en/squads/7c21e445/2020-2021/West-Ham-United-Stats
2020-2021,Premier League,results,results_home_away,2020-2021 Premier League Stats _ FBref.com.html,2026-09-20T20:41:23.578122+00:00,Tottenham,Spurs,361ca564,7,19,10,3,6,35,20,+15,33,1.74,19,8,5,6,33,25,+8,29,1.53,https://fbref.com/en/squads/361ca564/2020-2021/Tottenham-Hotspur-Stats
2020-2021,Premier League,results,results_home_away,2020-2021 Premier League Stats _ FBref.com.html,2026-09-20T20:41:23.578122+00:00,Arsenal,Arsenal,18bb7c10,8,19,8,4,7,24,21,+3,28,1.47,19,10,3,6,31,18,+13,33,1.74,https://fbref.com/en/squads/18bb7c10/2020-2021/Arsenal-Stats
2020-2021,Premier League,results,results_home_away,2020-2021 Premier League Stats _ FBref.com.html,2026-09-20T20:41:23.578122+00:00,Leeds United,Leeds,5bfb9659,9,19,8,5,6,28,21,+7,29,1.53,19,10,0,9,34,33,+1,30,1.58,https://fbref.com/en/squads/5bfb9659/2020-2021/Leeds-United-Stats
2020-2021,Premier League,results,results_home_away,2020-2021 Premier League Stats _ FBref.com.html,2026-09-20T20:41:23.578122+00:00,Everton,Everton,d3fd31cc,10,19,6,4,9,24,28,-4,22,1.16,19,11,4,4,23,20,+3,37,1.95,https://fbref.com/en/squads/d3fd31cc/2020-2021/Everton-Stats
