season,competition,category,table_type,source_file,saved_at,team_fbref,team,team_fbref_id,players_used,minutes_90s,cards_yellow,cards_red,cards_yellow_red,fouls,fouled,offsides,crosses,interceptions,tackles_won,pens_won,pens_conceded,own_goals,team_href
2026-2027,Premier League,misc,squad_against,Premier League Stats _ FBref.com.html,2026-09-20T20:17:23.677208+00:00,Arsenal,Arsenal,18bb7c10,21,5.0,18,1,1,77,49,2,65,37,37,,,0,https://fbref.com/en/squads/18bb7c10/Arsenal-Stats
2026-2027,Premier League,misc,squad_against,Premier League Stats _ FBref.com.html,2026-09-20T20:17:23.677208+00:00,Aston Villa,Aston Villa,8602292d,22,5.0,11,0,0,53,52,25,105,52,57,,,0,https://fbref.com/en/squads/8602292d/Aston-Villa-Stats
2026-2027,Premier League,misc,squad_against,Premier League Stats _ FBref.com.html,2026-09-20T20:17:23.677208+00:00,Bournemouth,Bournemouth,4ba7cbea,18,4.0,6,0,0,57,48,5,68,33,32,,,1,https://fbref.com/en/squads/4ba7cbea/Bournemouth-Stats
2026-2027,Premier League,misc,squad_against,Premier League Stats _ FBref.com.html,2026-09-20T20:17:23.677208+00:00,Brentford,Brentford,cd051869,20,5.0,8,0,0,45,71,12,102,56,55,,,0,https://fbref.com/en/squads/cd051869/Brentford-Stats
2026-2027,Premier League,misc,squad_against,Premier League Stats _ FBref.com.html,2026-09-20T20:17:23.677208+00:00,Brighton,Brighton,d07537b9,22,5.0,8,2,0,51,63,8,54,36,37,,,2,https://fbref.com/en/squads/d07537b9/Brighton-and-Hove-Albion-Stats
2026-2027,Premier League,misc,squad_against,Premier League Stats _ FBref.com.html,2026-09-20T20:17:23.677208+00:00,Chelsea,Chelsea,cff3d9bb,23,5.0,14,0,0,59,43,6,90,38,41,,,0,https://fbref.com/en/squads/cff3d9bb/Chelsea-Stats
2026-2027,Premier League,misc,squad_against,Premier League Stats _ FBref.com.html,2026-09-20T20:17:23.677208+00:00,Coventry City,Coventry City,f7e3dfe9,21,5.0,8,0,0,52,60,14,98,23,33,,,0,https://fbref.com/en/squads/f7e3dfe9/Coventry-City-Stats
2026-2027,Premier League,misc,squad_against,Premier League Stats _ FBref.com.html,2026-09-20T20:17:23.677208+00:00,Crystal Palace,Crystal Palace,47c64c55,26,4.0,5,0,0,38,35,4,66,39,32,,,1,https://fbref.com/en/squads/47c64c55/Crystal-Palace-Stats
2026-2027,Premier League,misc,squad_against,Premier League Stats _ FBref.com.html,2026-09-20T20:17:23.677208+00:00,Everton,Everton,d3fd31cc,20,5.0,10,1,1,63,40,3,82,48,48,,,0,https://fbref.com/en/squads/d3fd31cc/Everton-Stats
2026-2027,Premier League,misc,squad_against,Premier League Stats _ FBref.com.html,2026-09-20T20:17:23.677208+00:00,Fulham,Fulham,fd962109,20,4.0,3,0,0,35,39,11,61,37,44,,,0,https://fbref.com/en/squads/fd962109/Fulham-Stats
2026-2027,Premier League,misc,squad_against,Premier League Stats _ FBref.com.html,2026-09-20T20:17:23.677208+00:00,Hull City,Hull City,bd8769d1,25,5.0,4,0,0,36,49,11,129,28,26,,,0,https://fbref.com/en/squads/bd8769d1/Hull-City-Stats
2026-2027,Premier League,misc,squad_against,Premier League Stats _ FBref.com.html,2026-09-20T20:17:23.677208+00:00,Ipswich Town,Ipswich Town,b74092de,22,5.0,10,1,0,46,57,9,93,44,53,,,0,https://fbref.com/en/squads/b74092de/Ipswich-Town-Stats
2026-2027,Premier League,misc,squad_against,Premier League Stats _ FBref.com.html,2026-09-20T20:17:23.677208+00:00,Leeds United,Leeds,5bfb9659,19,4.0,11,0,0,54,42,10,103,23,37,,,1,https://fbref.com/en/squads/5bfb9659/Leeds-United-Stats
2026-2027,Premier League,misc,squad_against,Premier League Stats _ FBref.com.html,2026-09-20T20:17:23.677208+00:00,Liverpool,Liverpool,822bd0ba,18,4.0,9,0,0,40,50,8,47,30,41,,,0,https://fbref.com/en/squads/822bd0ba/Liverpool-Stats
2026-2027,Premier League,misc,squad_against,Premier League Stats _ FBref.com.html,2026-09-20T20:17:23.677208+00:00,Manchester City,Man City,b8fd03ef,21,4.0,6,0,0,53,36,10,68,52,50,,,0,https://fbref.com/en/squads/b8fd03ef/Manchester-City-Stats
2026-2027,Premier League,misc,squad_against,Premier League Stats _ FBref.com.html,2026-09-20T20:17:23.677208+00:00,Manchester Utd,Man Utd,19538871,19,4.0,10,1,0,39,44,5,59,34,33,,,1,https://fbref.com/en/squads/19538871/Manchester-United-Stats
2026-2027,Premier League,misc,squad_against,Premier League Stats _ FBref.com.html,2026-09-20T20:17:23.677208+00:00,Newcastle,Newcastle,b2b47a98,21,5.0,12,0,0,65,61,7,113,36,45,,,0,https://fbref.com/en/squads/b2b47a98/Newcastle-United-Stats
2026-2027,Premier League,misc,squad_against,Premier League Stats _ FBref.com.html,2026-09-20T20:17:23.677208+00:00,Nottingham,Nott'm Forest,e4a775cb,20,5.0,9,0,0,62,74,9,91,54,41,,,0,https://fbref.com/en/squads/e4a775cb/Nottingham-Forest-Stats
2026-2027,Premier League,misc,squad_against,Premier League Stats _ FBref.com.html,2026-09-20T20:17:23.677208+00:00,Sunderland,Sunderland,8ef52968,20,4.0,7,0,0,57,50,4,58,31,32,,,0,https://fbref.com/en/squads/8ef52968/Sunderland-Stats
2026-2027,Premier League,misc,squad_against,Premier League Stats _ FBref.com.html,2026-09-20T20:17:23.677208+00:00,Tottenham,Spurs,361ca564,23,5.0,9,0,0,69,63,9,77,46,58,,,0,https://fbref.com/en/squads/361ca564/Tottenham-Hotspur-Stats
