season,competition,category,table_type,source_file,saved_at,team_fbref,team,team_fbref_id,players_used,minutes_90s,cards_yellow,cards_red,cards_yellow_red,fouls,fouled,offsides,crosses,interceptions,tackles_won,pens_won,pens_conceded,own_goals,team_href
2026-2027,Premier League,misc,squad_for,Premier League Stats _ FBref.com.html,2026-09-20T20:17:23.677208+00:00,Arsenal,Arsenal,18bb7c10,21,5.0,7,0,0,51,76,20,74,38,33,,,0,https://fbref.com/en/squads/18bb7c10/Arsenal-Stats
2026-2027,Premier League,misc,squad_for,Premier League Stats _ FBref.com.html,2026-09-20T20:17:23.677208+00:00,Aston Villa,Aston Villa,8602292d,22,5.0,10,1,0,55,52,6,48,37,40,,,1,https://fbref.com/en/squads/8602292d/Aston-Villa-Stats
2026-2027,Premier League,misc,squad_for,Premier League Stats _ FBref.com.html,2026-09-20T20:17:23.677208+00:00,Bournemouth,Bournemouth,4ba7cbea,18,4.0,13,0,0,49,56,5,62,50,30,,,0,https://fbref.com/en/squads/4ba7cbea/Bournemouth-Stats
2026-2027,Premier League,misc,squad_for,Premier League Stats _ FBref.com.html,2026-09-20T20:17:23.677208+00:00,Brentford,Brentford,cd051869,20,5.0,11,0,0,72,45,6,96,51,49,,,0,https://fbref.com/en/squads/cd051869/Brentford-Stats
2026-2027,Premier League,misc,squad_for,Premier League Stats _ FBref.com.html,2026-09-20T20:17:23.677208+00:00,Brighton,Brighton,d07537b9,22,5.0,12,0,0,65,48,12,121,34,42,,,0,https://fbref.com/en/squads/d07537b9/Brighton-and-Hove-Albion-Stats
2026-2027,Premier League,misc,squad_for,Premier League Stats _ FBref.com.html,2026-09-20T20:17:23.677208+00:00,Chelsea,Chelsea,cff3d9bb,23,5.0,9,0,0,43,57,6,90,50,46,,,1,https://fbref.com/en/squads/cff3d9bb/Chelsea-Stats
2026-2027,Premier League,misc,squad_for,Premier League Stats _ FBref.com.html,2026-09-20T20:17:23.677208+00:00,Coventry City,Coventry City,f7e3dfe9,21,5.0,4,1,0,60,51,9,85,49,26,,,0,https://fbref.com/en/squads/f7e3dfe9/Coventry-City-Stats
2026-2027,Premier League,misc,squad_for,Premier League Stats _ FBref.com.html,2026-09-20T20:17:23.677208+00:00,Crystal Palace,Crystal Palace,47c64c55,26,4.0,3,1,0,36,37,9,58,43,62,,,0,https://fbref.com/en/squads/47c64c55/Crystal-Palace-Stats
2026-2027,Premier League,misc,squad_for,Premier League Stats _ FBref.com.html,2026-09-20T20:17:23.677208+00:00,Everton,Everton,d3fd31cc,20,5.0,9,0,0,40,58,8,88,49,60,,,0,https://fbref.com/en/squads/d3fd31cc/Everton-Stats
2026-2027,Premier League,misc,squad_for,Premier League Stats _ FBref.com.html,2026-09-20T20:17:23.677208+00:00,Fulham,Fulham,fd962109,20,4.0,5,0,0,41,33,3,68,35,32,,,0,https://fbref.com/en/squads/fd962109/Fulham-Stats
2026-2027,Premier League,misc,squad_for,Premier League Stats _ FBref.com.html,2026-09-20T20:17:23.677208+00:00,Hull City,Hull City,bd8769d1,25,5.0,17,0,0,50,35,4,93,44,45,,,0,https://fbref.com/en/squads/bd8769d1/Hull-City-Stats
2026-2027,Premier League,misc,squad_for,Premier League Stats _ FBref.com.html,2026-09-20T20:17:23.677208+00:00,Ipswich Town,Ipswich Town,b74092de,22,5.0,10,1,1,58,46,8,72,46,43,,,1,https://fbref.com/en/squads/b74092de/Ipswich-Town-Stats
2026-2027,Premier League,misc,squad_for,Premier League Stats _ FBref.com.html,2026-09-20T20:17:23.677208+00:00,Leeds United,Leeds,5bfb9659,19,4.0,5,0,0,43,54,9,62,43,38,,,0,https://fbref.com/en/squads/5bfb9659/Leeds-United-Stats
2026-2027,Premier League,misc,squad_for,Premier League Stats _ FBref.com.html,2026-09-20T20:17:23.677208+00:00,Liverpool,Liverpool,822bd0ba,18,4.0,10,0,0,52,40,9,93,35,39,,,0,https://fbref.com/en/squads/822bd0ba/Liverpool-Stats
2026-2027,Premier League,misc,squad_for,Premier League Stats _ FBref.com.html,2026-09-20T20:17:23.677208+00:00,Manchester City,Man City,b8fd03ef,21,4.0,6,1,0,39,53,8,72,31,32,,,1,https://fbref.com/en/squads/b8fd03ef/Manchester-City-Stats
2026-2027,Premier League,misc,squad_for,Premier League Stats _ FBref.com.html,2026-09-20T20:17:23.677208+00:00,Manchester Utd,Man Utd,19538871,19,4.0,6,0,0,44,37,8,100,32,32,,,0,https://fbref.com/en/squads/19538871/Manchester-United-Stats
2026-2027,Premier League,misc,squad_for,Premier League Stats _ FBref.com.html,2026-09-20T20:17:23.677208+00:00,Newcastle,Newcastle,b2b47a98,21,5.0,12,0,0,61,64,9,67,25,38,,,2,https://fbref.com/en/squads/b2b47a98/Newcastle-United-Stats
2026-2027,Premier League,misc,squad_for,Premier League Stats _ FBref.com.html,2026-09-20T20:17:23.677208+00:00,Nottingham,Nott'm Forest,e4a775cb,20,5.0,13,0,0,75,62,11,93,24,55,,,0,https://fbref.com/en/squads/e4a775cb/Nottingham-Forest-Stats
2026-2027,Premier League,misc,squad_for,Premier League Stats _ FBref.com.html,2026-09-20T20:17:23.677208+00:00,Sunderland,Sunderland,8ef52968,20,4.0,11,1,1,51,55,10,71,27,37,,,0,https://fbref.com/en/squads/8ef52968/Sunderland-Stats
2026-2027,Premier League,misc,squad_for,Premier League Stats _ FBref.com.html,2026-09-20T20:17:23.677208+00:00,Tottenham,Spurs,361ca564,23,5.0,5,0,0,66,67,12,116,34,53,,,0,https://fbref.com/en/squads/361ca564/Tottenham-Hotspur-Stats
