season,competition,category,table_type,source_file,saved_at,team_fbref,team,team_fbref_id,players_used,minutes_90s,cards_yellow,cards_red,cards_yellow_red,fouls,fouled,offsides,crosses,interceptions,tackles_won,pens_won,pens_conceded,own_goals,team_href
2025-2026,Premier League,misc,squad_for,2025-2026 Premier League Stats _ FBref.com.html,2026-09-20T20:38:40.531517+00:00,Arsenal,Arsenal,18bb7c10,25,38.0,51,0,0,391,408,61,679,259,332,,,1,https://fbref.com/en/squads/18bb7c10/2025-2026/Arsenal-Stats
2025-2026,Premier League,misc,squad_for,2025-2026 Premier League Stats _ FBref.com.html,2026-09-20T20:38:40.531517+00:00,Aston Villa,Aston Villa,8602292d,30,38.0,58,1,0,379,471,43,605,223,347,,,1,https://fbref.com/en/squads/8602292d/2025-2026/Aston-Villa-Stats
2025-2026,Premier League,misc,squad_for,2025-2026 Premier League Stats _ FBref.com.html,2026-09-20T20:38:40.531517+00:00,Bournemouth,Bournemouth,4ba7cbea,26,38.0,88,2,0,458,384,70,727,341,378,,,3,https://fbref.com/en/squads/4ba7cbea/2025-2026/Bournemouth-Stats
2025-2026,Premier League,misc,squad_for,2025-2026 Premier League Stats _ FBref.com.html,2026-09-20T20:38:40.531517+00:00,Brentford,Brentford,cd051869,26,38.0,69,1,0,390,339,58,679,318,331,,,3,https://fbref.com/en/squads/cd051869/2025-2026/Brentford-Stats
2025-2026,Premier League,misc,squad_for,2025-2026 Premier League Stats _ FBref.com.html,2026-09-20T20:38:40.531517+00:00,Brighton,Brighton,d07537b9,28,38.0,86,0,0,453,369,64,714,311,409,,,4,https://fbref.com/en/squads/d07537b9/2025-2026/Brighton-and-Hove-Albion-Stats
2025-2026,Premier League,misc,squad_for,2025-2026 Premier League Stats _ FBref.com.html,2026-09-20T20:38:40.531517+00:00,Burnley,Burnley,943e8050,28,38.0,66,3,1,392,333,56,516,344,363,,,4,https://fbref.com/en/squads/943e8050/2025-2026/Burnley-Stats
2025-2026,Premier League,misc,squad_for,2025-2026 Premier League Stats _ FBref.com.html,2026-09-20T20:38:40.531517+00:00,Chelsea,Chelsea,cff3d9bb,30,38.0,98,8,4,419,445,58,677,358,340,,,1,https://fbref.com/en/squads/cff3d9bb/2025-2026/Chelsea-Stats
2025-2026,Premier League,misc,squad_for,2025-2026 Premier League Stats _ FBref.com.html,2026-09-20T20:38:40.531517+00:00,Crystal Palace,Crystal Palace,47c64c55,30,38.0,76,2,1,398,356,71,604,305,411,,,2,https://fbref.com/en/squads/47c64c55/2025-2026/Crystal-Palace-Stats
2025-2026,Premier League,misc,squad_for,2025-2026 Premier League Stats _ FBref.com.html,2026-09-20T20:38:40.531517+00:00,Everton,Everton,d3fd31cc,22,38.0,74,4,1,409,405,53,672,303,403,,,1,https://fbref.com/en/squads/d3fd31cc/2025-2026/Everton-Stats
2025-2026,Premier League,misc,squad_for,2025-2026 Premier League Stats _ FBref.com.html,2026-09-20T20:38:40.531517+00:00,Fulham,Fulham,fd962109,24,38.0,75,1,0,414,361,67,684,315,383,,,3,https://fbref.com/en/squads/fd962109/2025-2026/Fulham-Stats
2025-2026,Premier League,misc,squad_for,2025-2026 Premier League Stats _ FBref.com.html,2026-09-20T20:38:40.531517+00:00,Leeds United,Leeds,5bfb9659,24,38.0,64,1,1,398,416,60,677,338,394,,,1,https://fbref.com/en/squads/5bfb9659/2025-2026/Leeds-United-Stats
2025-2026,Premier League,misc,squad_for,2025-2026 Premier League Stats _ FBref.com.html,2026-09-20T20:38:40.531517+00:00,Liverpool,Liverpool,822bd0ba,24,38.0,57,1,0,384,387,76,762,250,307,,,0,https://fbref.com/en/squads/822bd0ba/2025-2026/Liverpool-Stats
2025-2026,Premier League,misc,squad_for,2025-2026 Premier League Stats _ FBref.com.html,2026-09-20T20:38:40.531517+00:00,Manchester City,Man City,b8fd03ef,27,38.0,67,0,0,367,413,44,623,293,336,,,0,https://fbref.com/en/squads/b8fd03ef/2025-2026/Manchester-City-Stats
2025-2026,Premier League,misc,squad_for,2025-2026 Premier League Stats _ FBref.com.html,2026-09-20T20:38:40.531517+00:00,Manchester Utd,Man Utd,19538871,27,38.0,64,3,1,390,394,52,639,310,406,,,2,https://fbref.com/en/squads/19538871/2025-2026/Manchester-United-Stats
2025-2026,Premier League,misc,squad_for,2025-2026 Premier League Stats _ FBref.com.html,2026-09-20T20:38:40.531517+00:00,Newcastle,Newcastle,b2b47a98,26,38.0,67,3,2,385,440,49,876,259,349,,,2,https://fbref.com/en/squads/b2b47a98/2025-2026/Newcastle-United-Stats
2025-2026,Premier League,misc,squad_for,2025-2026 Premier League Stats _ FBref.com.html,2026-09-20T20:38:40.531517+00:00,Nottingham,Nott'm Forest,e4a775cb,31,38.0,60,1,0,406,422,60,826,290,385,,,3,https://fbref.com/en/squads/e4a775cb/2025-2026/Nottingham-Forest-Stats
2025-2026,Premier League,misc,squad_for,2025-2026 Premier League Stats _ FBref.com.html,2026-09-20T20:38:40.531517+00:00,Sunderland,Sunderland,8ef52968,29,38.0,82,3,0,407,407,56,613,295,356,,,2,https://fbref.com/en/squads/8ef52968/2025-2026/Sunderland-Stats
2025-2026,Premier League,misc,squad_for,2025-2026 Premier League Stats _ FBref.com.html,2026-09-20T20:38:40.531517+00:00,Tottenham,Spurs,361ca564,31,38.0,101,4,1,462,378,58,762,310,446,,,0,https://fbref.com/en/squads/361ca564/2025-2026/Tottenham-Hotspur-Stats
2025-2026,Premier League,misc,squad_for,2025-2026 Premier League Stats _ FBref.com.html,2026-09-20T20:38:40.531517+00:00,West Ham,West Ham,7c21e445,32,38.0,69,3,1,421,385,65,638,341,403,,,3,https://fbref.com/en/squads/7c21e445/2025-2026/West-Ham-United-Stats
2025-2026,Premier League,misc,squad_for,2025-2026 Premier League Stats _ FBref.com.html,2026-09-20T20:38:40.531517+00:00,Wolves,Wolves,8cec06e1,31,38.0,80,3,1,494,403,53,694,303,415,,,4,https://fbref.com/en/squads/8cec06e1/2025-2026/Wolverhampton-Wanderers-Stats
