season,competition,category,table_type,source_file,saved_at,team_fbref,team,team_fbref_id,players_used,minutes_90s,cards_yellow,cards_red,cards_yellow_red,fouls,fouled,offsides,crosses,interceptions,tackles_won,pens_won,pens_conceded,own_goals,team_href
2024-2025,Premier League,misc,squad_for,2024-2025 Premier League Stats _ FBref.com.html,2026-09-20T20:38:52.328259+00:00,Arsenal,Arsenal,18bb7c10,25,38.0,70,6,3,401,405,80,766,225,348,2,3,0,https://fbref.com/en/squads/18bb7c10/2024-2025/Arsenal-Stats
2024-2025,Premier League,misc,squad_for,2024-2025 Premier League Stats _ FBref.com.html,2026-09-20T20:38:52.328259+00:00,Aston Villa,Aston Villa,8602292d,28,38.0,76,4,2,406,499,55,604,240,372,6,3,0,https://fbref.com/en/squads/8602292d/2024-2025/Aston-Villa-Stats
2024-2025,Premier League,misc,squad_for,2024-2025 Premier League Stats _ FBref.com.html,2026-09-20T20:38:52.328259+00:00,Bournemouth,Bournemouth,4ba7cbea,29,38.0,97,3,0,525,400,70,832,351,399,7,4,0,https://fbref.com/en/squads/4ba7cbea/2024-2025/Bournemouth-Stats
2024-2025,Premier League,misc,squad_for,2024-2025 Premier League Stats _ FBref.com.html,2026-09-20T20:38:52.328259+00:00,Brentford,Brentford,cd051869,28,38.0,62,1,0,320,339,63,674,285,380,6,1,3,https://fbref.com/en/squads/cd051869/2024-2025/Brentford-Stats
2024-2025,Premier League,misc,squad_for,2024-2025 Premier League Stats _ FBref.com.html,2026-09-20T20:38:52.328259+00:00,Brighton,Brighton,d07537b9,32,38.0,78,3,2,438,411,46,704,315,431,6,9,2,https://fbref.com/en/squads/d07537b9/2024-2025/Brighton-and-Hove-Albion-Stats
2024-2025,Premier League,misc,squad_for,2024-2025 Premier League Stats _ FBref.com.html,2026-09-20T20:38:52.328259+00:00,Chelsea,Chelsea,cff3d9bb,29,38.0,101,2,1,436,444,65,663,272,371,5,6,0,https://fbref.com/en/squads/cff3d9bb/2024-2025/Chelsea-Stats
2024-2025,Premier League,misc,squad_for,2024-2025 Premier League Stats _ FBref.com.html,2026-09-20T20:38:52.328259+00:00,Crystal Palace,Crystal Palace,47c64c55,29,38.0,80,4,3,417,403,74,605,334,450,4,2,3,https://fbref.com/en/squads/47c64c55/2024-2025/Crystal-Palace-Stats
2024-2025,Premier League,misc,squad_for,2024-2025 Premier League Stats _ FBref.com.html,2026-09-20T20:38:52.328259+00:00,Everton,Everton,d3fd31cc,26,38.0,82,2,1,430,384,81,682,345,433,1,2,0,https://fbref.com/en/squads/d3fd31cc/2024-2025/Everton-Stats
2024-2025,Premier League,misc,squad_for,2024-2025 Premier League Stats _ FBref.com.html,2026-09-20T20:38:52.328259+00:00,Fulham,Fulham,fd962109,26,38.0,80,2,0,432,359,43,894,302,411,3,4,2,https://fbref.com/en/squads/fd962109/2024-2025/Fulham-Stats
2024-2025,Premier League,misc,squad_for,2024-2025 Premier League Stats _ FBref.com.html,2026-09-20T20:38:52.328259+00:00,Ipswich Town,Ipswich,b74092de,32,38.0,93,5,4,430,404,52,505,303,340,2,6,2,https://fbref.com/en/squads/b74092de/2024-2025/Ipswich-Town-Stats
