season,competition,category,table_type,source_file,saved_at,team_fbref,team,team_fbref_id,players_used,gk_games,gk_games_starts,gk_minutes,minutes_90s,gk_goals_against,gk_goals_against_per90,gk_shots_on_target_against,gk_saves,gk_save_pct,gk_wins,gk_ties,gk_losses,gk_clean_sheets,gk_clean_sheets_pct,gk_pens_att,gk_pens_allowed,gk_pens_saved,gk_pens_missed,gk_pens_save_pct,team_href
2016-2017,Premier League,keeper,squad_against,2016-2017 Premier League Stats _ FBref.com.html,2026-09-20T20:42:19.700222+00:00,Arsenal,Arsenal,18bb7c10,3,38,38,"3,420",38.0,77,2.03,200,123,61.5,9,6,23,4,10.5,6,4,2,0,33.3,https://fbref.com/en/squads/18bb7c10/2016-2017/Arsenal-Stats
2016-2017,Premier League,keeper,squad_against,2016-2017 Premier League Stats _ FBref.com.html,2026-09-20T20:42:19.700222+00:00,Bournemouth,Bournemouth,4ba7cbea,3,38,38,"3,420",38.0,55,1.45,159,104,65.4,16,10,12,9,23.7,10,7,1,2,12.5,https://fbref.com/en/squads/4ba7cbea/2016-2017/Bournemouth-Stats
2016-2017,Premier League,keeper,squad_against,2016-2017 Premier League Stats _ FBref.com.html,2026-09-20T20:42:19.700222+00:00,Burnley,Burnley,943e8050,2,38,38,"3,420",38.0,39,1.03,117,78,66.7,20,7,11,12,31.6,6,6,0,0,0.0,https://fbref.com/en/squads/943e8050/2016-2017/Burnley-Stats
2016-2017,Premier League,keeper,squad_against,2016-2017 Premier League Stats _ FBref.com.html,2026-09-20T20:42:19.700222+00:00,Chelsea,Chelsea,cff3d9bb,2,38,38,"3,420",38.0,85,2.24,204,119,58.3,5,3,30,3,7.9,4,2,1,1,33.3,https://fbref.com/en/squads/cff3d9bb/2016-2017/Chelsea-Stats
2016-2017,Premier League,keeper,squad_against,2016-2017 Premier League Stats _ FBref.com.html,2026-09-20T20:42:19.700222+00:00,Crystal Palace,Crystal Palace,47c64c55,2,38,38,"3,420",38.0,50,1.32,133,83,62.4,21,5,12,13,34.2,7,4,2,1,33.3,https://fbref.com/en/squads/47c64c55/2016-2017/Crystal-Palace-Stats
2016-2017,Premier League,keeper,squad_against,2016-2017 Premier League Stats _ FBref.com.html,2026-09-20T20:42:19.700222+00:00,Everton,Everton,d3fd31cc,2,38,38,"3,420",38.0,62,1.63,192,130,67.7,11,10,17,8,21.1,4,3,1,0,25.0,https://fbref.com/en/squads/d3fd31cc/2016-2017/Everton-Stats
2016-2017,Premier League,keeper,squad_against,2016-2017 Premier League Stats _ FBref.com.html,2026-09-20T20:42:19.700222+00:00,Hull City,Hull,bd8769d1,2,38,38,"3,420",38.0,37,0.97,121,84,69.4,22,7,9,16,42.1,3,3,0,0,0.0,https://fbref.com/en/squads/bd8769d1/2016-2017/Hull-City-Stats
2016-2017,Premier League,keeper,squad_against,2016-2017 Premier League Stats _ FBref.com.html,2026-09-20T20:42:19.700222+00:00,Leicester City,Leicester,a2d435b3,2,38,38,"3,420",38.0,48,1.26,150,102,68.0,18,8,12,12,31.6,6,4,1,1,20.0,https://fbref.com/en/squads/a2d435b3/2016-2017/Leicester-City-Stats
2016-2017,Premier League,keeper,squad_against,2016-2017 Premier League Stats _ FBref.com.html,2026-09-20T20:42:19.700222+00:00,Liverpool,Liverpool,822bd0ba,2,38,38,"3,420",38.0,78,2.05,233,155,66.5,6,10,22,5,13.2,8,7,1,0,12.5,https://fbref.com/en/squads/822bd0ba/2016-2017/Liverpool-Stats
2016-2017,Premier League,keeper,squad_against,2016-2017 Premier League Stats _ FBref.com.html,2026-09-20T20:42:19.700222+00:00,Manchester City,Man City,b8fd03ef,2,38,38,"3,420",38.0,80,2.11,217,137,63.1,6,9,23,5,13.2,9,7,1,1,12.5,https://fbref.com/en/squads/b8fd03ef/2016-2017/Manchester-City-Stats
2016-2017,Premier League,keeper,squad_against,2016-2017 Premier League Stats _ FBref.com.html,2026-09-20T20:42:19.700222+00:00,Manchester Utd,Man Utd,19538871,3,38,38,"3,420",38.0,54,1.42,208,154,74.0,5,15,18,8,21.1,4,3,1,0,25.0,https://fbref.com/en/squads/19538871/2016-2017/Manchester-United-Stats
2016-2017,Premier League,keeper,squad_against,2016-2017 Premier League Stats _ FBref.com.html,2026-09-20T20:42:19.700222+00:00,Middlesbrough,Middlesbrough,7f59c601,2,38,38,"3,420",38.0,27,0.71,98,71,72.4,20,13,5,18,47.4,2,2,0,0,0.0,https://fbref.com/en/squads/7f59c601/2016-2017/Middlesbrough-Stats
