season,competition,category,table_type,source_file,saved_at,team_fbref,team,team_fbref_id,players_used,gk_games,gk_games_starts,gk_minutes,minutes_90s,gk_goals_against,gk_goals_against_per90,gk_shots_on_target_against,gk_saves,gk_save_pct,gk_wins,gk_ties,gk_losses,gk_clean_sheets,gk_clean_sheets_pct,gk_pens_att,gk_pens_allowed,gk_pens_saved,gk_pens_missed,gk_pens_save_pct,team_href
2016-2017,Premier League,keeper,squad_for,2016-2017 Premier League Stats _ FBref.com.html,2026-09-20T20:42:19.700222+00:00,Arsenal,Arsenal,18bb7c10,3,38,38,"3,420",38.0,44,1.16,167,123,73.7,23,6,9,13,34.2,10,10,0,0,0.0,https://fbref.com/en/squads/18bb7c10/2016-2017/Arsenal-Stats
2016-2017,Premier League,keeper,squad_for,2016-2017 Premier League Stats _ FBref.com.html,2026-09-20T20:42:19.700222+00:00,Bournemouth,Bournemouth,4ba7cbea,3,38,38,"3,420",38.0,67,1.76,189,122,64.6,12,10,16,10,26.3,5,2,2,1,50.0,https://fbref.com/en/squads/4ba7cbea/2016-2017/Bournemouth-Stats
2016-2017,Premier League,keeper,squad_for,2016-2017 Premier League Stats _ FBref.com.html,2026-09-20T20:42:19.700222+00:00,Burnley,Burnley,943e8050,2,38,38,"3,420",38.0,55,1.45,208,153,73.6,11,7,20,10,26.3,5,4,1,0,20.0,https://fbref.com/en/squads/943e8050/2016-2017/Burnley-Stats
2016-2017,Premier League,keeper,squad_for,2016-2017 Premier League Stats _ FBref.com.html,2026-09-20T20:42:19.700222+00:00,Chelsea,Chelsea,cff3d9bb,2,38,38,"3,420",38.0,33,0.87,105,72,68.6,30,3,5,16,42.1,2,2,0,0,0.0,https://fbref.com/en/squads/cff3d9bb/2016-2017/Chelsea-Stats
2016-2017,Premier League,keeper,squad_for,2016-2017 Premier League Stats _ FBref.com.html,2026-09-20T20:42:19.700222+00:00,Crystal Palace,Crystal Palace,47c64c55,2,38,38,"3,420",38.0,63,1.66,176,113,64.2,12,5,21,7,18.4,2,2,0,0,0.0,https://fbref.com/en/squads/47c64c55/2016-2017/Crystal-Palace-Stats
2016-2017,Premier League,keeper,squad_for,2016-2017 Premier League Stats _ FBref.com.html,2026-09-20T20:42:19.700222+00:00,Everton,Everton,d3fd31cc,2,38,38,"3,420",38.0,44,1.16,148,104,70.3,17,10,11,13,34.2,5,3,1,1,25.0,https://fbref.com/en/squads/d3fd31cc/2016-2017/Everton-Stats
2016-2017,Premier League,keeper,squad_for,2016-2017 Premier League Stats _ FBref.com.html,2026-09-20T20:42:19.700222+00:00,Hull City,Hull,bd8769d1,2,38,38,"3,420",38.0,80,2.11,214,134,62.6,9,7,22,5,13.2,14,11,2,1,15.4,https://fbref.com/en/squads/bd8769d1/2016-2017/Hull-City-Stats
2016-2017,Premier League,keeper,squad_for,2016-2017 Premier League Stats _ FBref.com.html,2026-09-20T20:42:19.700222+00:00,Leicester City,Leicester,a2d435b3,2,38,38,"3,420",38.0,63,1.66,190,127,66.8,12,8,18,9,23.7,3,3,0,0,0.0,https://fbref.com/en/squads/a2d435b3/2016-2017/Leicester-City-Stats
2016-2017,Premier League,keeper,squad_for,2016-2017 Premier League Stats _ FBref.com.html,2026-09-20T20:42:19.700222+00:00,Liverpool,Liverpool,822bd0ba,2,38,38,"3,420",38.0,42,1.11,114,72,63.2,22,10,6,12,31.6,5,3,2,0,40.0,https://fbref.com/en/squads/822bd0ba/2016-2017/Liverpool-Stats
2016-2017,Premier League,keeper,squad_for,2016-2017 Premier League Stats _ FBref.com.html,2026-09-20T20:42:19.700222+00:00,Manchester City,Man City,b8fd03ef,2,38,38,"3,420",38.0,39,1.03,105,66,62.9,23,9,6,12,31.6,5,2,1,2,33.3,https://fbref.com/en/squads/b8fd03ef/2016-2017/Manchester-City-Stats
2016-2017,Premier League,keeper,squad_for,2016-2017 Premier League Stats _ FBref.com.html,2026-09-20T20:42:19.700222+00:00,Manchester Utd,Man Utd,19538871,3,38,38,"3,420",38.0,29,0.76,116,87,75.0,18,15,5,17,44.7,5,4,1,0,20.0,https://fbref.com/en/squads/19538871/2016-2017/Manchester-United-Stats
