season,competition,category,table_type,source_file,saved_at,team_fbref,team,team_fbref_id,players_used,avg_age,possession,games,games_starts,minutes,minutes_90s,goals,assists,goals_assists,goals_pens,pens_made,pens_att,cards_yellow,cards_red,goals_per90,assists_per90,goals_assists_per90,goals_pens_per90,goals_assists_pens_per90,team_href
2016-2017,Premier League,standard,squad_against,2016-2017 Premier League Stats _ FBref.com.html,2026-09-20T20:42:19.700222+00:00,Arsenal,Arsenal,18bb7c10,29,27.4,41.1,38,418,"3,420",38.0,43,23,66,33,10,10,77,4,1.13,0.61,1.74,0.87,1.47,https://fbref.com/en/squads/18bb7c10/2016-2017/Arsenal-Stats
2016-2017,Premier League,standard,squad_against,2016-2017 Premier League Stats _ FBref.com.html,2026-09-20T20:42:19.700222+00:00,Bournemouth,Bournemouth,4ba7cbea,27,27.3,48.5,38,418,"3,420",38.0,63,47,110,61,2,5,87,3,1.66,1.24,2.89,1.61,2.84,https://fbref.com/en/squads/4ba7cbea/2016-2017/Bournemouth-Stats
2016-2017,Premier League,standard,squad_against,2016-2017 Premier League Stats _ FBref.com.html,2026-09-20T20:42:19.700222+00:00,Burnley,Burnley,943e8050,27,27.5,59.7,38,418,"3,420",38.0,53,38,91,49,4,5,65,3,1.39,1.00,2.39,1.29,2.29,https://fbref.com/en/squads/943e8050/2016-2017/Burnley-Stats
2016-2017,Premier League,standard,squad_against,2016-2017 Premier League Stats _ FBref.com.html,2026-09-20T20:42:19.700222+00:00,Chelsea,Chelsea,cff3d9bb,24,27.4,44.9,38,418,"3,420",38.0,32,16,48,30,2,2,84,4,0.84,0.42,1.26,0.79,1.21,https://fbref.com/en/squads/cff3d9bb/2016-2017/Chelsea-Stats
2016-2017,Premier League,standard,squad_against,2016-2017 Premier League Stats _ FBref.com.html,2026-09-20T20:42:19.700222+00:00,Crystal Palace,Crystal Palace,47c64c55,31,27.3,54.6,38,418,"3,420",38.0,63,44,107,61,2,2,71,1,1.66,1.16,2.82,1.61,2.76,https://fbref.com/en/squads/47c64c55/2016-2017/Crystal-Palace-Stats
2016-2017,Premier League,standard,squad_against,2016-2017 Premier League Stats _ FBref.com.html,2026-09-20T20:42:19.700222+00:00,Everton,Everton,d3fd31cc,27,27.4,47.9,38,418,"3,420",38.0,43,31,74,40,3,5,59,2,1.13,0.82,1.95,1.05,1.87,https://fbref.com/en/squads/d3fd31cc/2016-2017/Everton-Stats
2016-2017,Premier League,standard,squad_against,2016-2017 Premier League Stats _ FBref.com.html,2026-09-20T20:42:19.700222+00:00,Hull City,Hull,bd8769d1,28,27.4,54.1,38,418,"3,420",38.0,75,53,128,64,11,13,56,2,1.97,1.39,3.37,1.68,3.08,https://fbref.com/en/squads/bd8769d1/2016-2017/Hull-City-Stats
2016-2017,Premier League,standard,squad_against,2016-2017 Premier League Stats _ FBref.com.html,2026-09-20T20:42:19.700222+00:00,Leicester City,Leicester,a2d435b3,25,27.2,58.1,38,418,"3,420",38.0,61,42,103,58,3,3,56,0,1.61,1.11,2.71,1.53,2.63,https://fbref.com/en/squads/a2d435b3/2016-2017/Leicester-City-Stats
2016-2017,Premier League,standard,squad_against,2016-2017 Premier League Stats _ FBref.com.html,2026-09-20T20:42:19.700222+00:00,Liverpool,Liverpool,822bd0ba,23,27.3,38.0,38,418,"3,420",38.0,42,28,70,39,3,5,73,1,1.11,0.74,1.84,1.03,1.76,https://fbref.com/en/squads/822bd0ba/2016-2017/Liverpool-Stats
2016-2017,Premier League,standard,squad_against,2016-2017 Premier League Stats _ FBref.com.html,2026-09-20T20:42:19.700222+00:00,Manchester City,Man City,b8fd03ef,25,27.3,35.0,38,418,"3,420",38.0,38,29,67,36,2,5,92,1,1.00,0.76,1.76,0.95,1.71,https://fbref.com/en/squads/b8fd03ef/2016-2017/Manchester-City-Stats
2016-2017,Premier League,standard,squad_against,2016-2017 Premier League Stats _ FBref.com.html,2026-09-20T20:42:19.700222+00:00,Manchester Utd,Man Utd,19538871,31,27.4,43.5,38,418,"3,420",38.0,28,18,46,24,4,5,71,4,0.74,0.47,1.21,0.63,1.11,https://fbref.com/en/squads/19538871/2016-2017/Manchester-United-Stats
2016-2017,Premier League,standard,squad_against,2016-2017 Premier League Stats _ FBref.com.html,2026-09-20T20:42:19.700222+00:00,Middlesbrough,Middlesbrough,7f59c601,27,27.4,52.7,38,418,"3,420",38.0,53,37,90,49,4,5,63,0,1.39,0.97,2.37,1.29,2.26,https://fbref.com/en/squads/7f59c601/2016-2017/Middlesbrough-Stats
2016-2017,Premier League,standard,squad_against,2016-2017 Premier League Stats _ FBref.com.html,2026-09-20T20:42:19.700222+00:00,Southampton,Southampton,33c895d4,26,27.4,45.6,38,418,"3,420",38.0,48,33,81,42,6,9,67,2,1.26,0.87,2.13,1.11,1.97,https://fbref.com/en/squads/33c895d4/2016-2017/Southampton-Stats
2016-2017,Premier League,standard,squad_against,2016-2017 Premier League Stats _ FBref.com.html,2026-09-20T20:42:19.700222+00:00,Stoke City,Stoke,17892952,26,27.4,53.7,38,418,"3,420",38.0,51,38,89,50,1,2,80,2,1.34,1.00,2.34,1.32,2.32,https://fbref.com/en/squads/17892952/2016-2017/Stoke-City-Stats
2016-2017,Premier League,standard,squad_against,2016-2017 Premier League Stats _ FBref.com.html,2026-09-20T20:42:19.700222+00:00,Sunderland,Sunderland,8ef52968,31,27.5,60.3,38,418,"3,420",38.0,67,51,118,63,4,4,58,1,1.76,1.34,3.11,1.66,3.00,https://fbref.com/en/squads/8ef52968/2016-2017/Sunderland-Stats
2016-2017,Premier League,standard,squad_against,2016-2017 Premier League Stats _ FBref.com.html,2026-09-20T20:42:19.700222+00:00,Swansea City,Swansea,fb10988f,27,27.6,52.1,38,418,"3,420",38.0,65,44,109,59,6,8,65,1,1.71,1.16,2.87,1.55,2.71,https://fbref.com/en/squads/fb10988f/2016-2017/Swansea-City-Stats
2016-2017,Premier League,standard,squad_against,2016-2017 Premier League Stats _ FBref.com.html,2026-09-20T20:42:19.700222+00:00,Tottenham,Spurs,361ca564,24,27.4,39.5,38,418,"3,420",38.0,25,15,40,23,2,2,90,3,0.66,0.39,1.05,0.61,1.00,https://fbref.com/en/squads/361ca564/2016-2017/Tottenham-Hotspur-Stats
2016-2017,Premier League,standard,squad_against,2016-2017 Premier League Stats _ FBref.com.html,2026-09-20T20:42:19.700222+00:00,Watford,Watford,2abfe087,33,27.2,53.9,38,418,"3,420",38.0,66,47,113,63,3,4,62,3,1.74,1.24,2.97,1.66,2.89,https://fbref.com/en/squads/2abfe087/2016-2017/Watford-Stats
2016-2017,Premier League,standard,squad_against,2016-2017 Premier League Stats _ FBref.com.html,2026-09-20T20:42:19.700222+00:00,West Brom,West Brom,60c6b05f,23,27.3,62.7,38,418,"3,420",38.0,50,39,89,47,3,3,55,3,1.32,1.03,2.34,1.24,2.26,https://fbref.com/en/squads/60c6b05f/2016-2017/West-Bromwich-Albion-Stats
2016-2017,Premier League,standard,squad_against,2016-2017 Premier League Stats _ FBref.com.html,2026-09-20T20:42:19.700222+00:00,West Ham,West Ham,7c21e445,29,27.3,52.9,38,418,"3,420",38.0,64,46,110,59,5,8,83,1,1.68,1.21,2.89,1.55,2.76,https://fbref.com/en/squads/7c21e445/2016-2017/West-Ham-United-Stats
