season,competition,category,table_type,source_file,saved_at,team_fbref,team,team_fbref_id,rank,home_games,home_wins,home_ties,home_losses,home_goals_for,home_goals_against,home_goal_diff,home_points,home_points_avg,away_games,away_wins,away_ties,away_losses,away_goals_for,away_goals_against,away_goal_diff,away_points,away_points_avg,team_href
2026-2027,Premier League,results,results_home_away,Premier League Stats _ FBref.com.html,2026-09-20T20:17:23.677208+00:00,Manchester City,Man City,b8fd03ef,1,2,2,0,0,3,1,+2,6,3.00,2,2,0,0,5,1,+4,6,3.00,https://fbref.com/en/squads/b8fd03ef/Manchester-City-Stats
2026-2027,Premier League,results,results_home_away,Premier League Stats _ FBref.com.html,2026-09-20T20:17:23.677208+00:00,Arsenal,Arsenal,18bb7c10,2,2,2,0,0,5,1,+4,6,3.00,3,2,0,1,3,3,0,6,2.00,https://fbref.com/en/squads/18bb7c10/Arsenal-Stats
2026-2027,Premier League,results,results_home_away,Premier League Stats _ FBref.com.html,2026-09-20T20:17:23.677208+00:00,Brighton,Brighton,d07537b9,3,3,2,1,0,8,1,+7,7,2.33,2,1,0,1,8,4,+4,3,1.50,https://fbref.com/en/squads/d07537b9/Brighton-and-Hove-Albion-Stats
2026-2027,Premier League,results,results_home_away,Premier League Stats _ FBref.com.html,2026-09-20T20:17:23.677208+00:00,Brentford,Brentford,cd051869,4,3,2,1,0,7,1,+6,7,2.33,2,0,2,0,3,3,0,2,1.00,https://fbref.com/en/squads/cd051869/Brentford-Stats
2026-2027,Premier League,results,results_home_away,Premier League Stats _ FBref.com.html,2026-09-20T20:17:23.677208+00:00,Everton,Everton,d3fd31cc,5,3,2,1,0,5,2,+3,7,2.33,2,0,2,0,1,1,0,2,1.00,https://fbref.com/en/squads/d3fd31cc/Everton-Stats
2026-2027,Premier League,results,results_home_away,Premier League Stats _ FBref.com.html,2026-09-20T20:17:23.677208+00:00,Leeds United,Leeds,5bfb9659,6,2,1,1,0,5,2,+3,4,2.00,2,1,1,0,2,1,+1,4,2.00,https://fbref.com/en/squads/5bfb9659/Leeds-United-Stats
2026-2027,Premier League,results,results_home_away,Premier League Stats _ FBref.com.html,2026-09-20T20:17:23.677208+00:00,Hull City,Hull City,bd8769d1,7,2,1,1,0,2,0,+2,4,2.00,3,1,1,1,4,4,0,4,1.33,https://fbref.com/en/squads/bd8769d1/Hull-City-Stats
2026-2027,Premier League,results,results_home_away,Premier League Stats _ FBref.com.html,2026-09-20T20:17:23.677208+00:00,Newcastle,Newcastle,b2b47a98,8,3,1,2,0,6,5,+1,5,1.67,2,1,0,1,3,4,-1,3,1.50,https://fbref.com/en/squads/b2b47a98/Newcastle-United-Stats
2026-2027,Premier League,results,results_home_away,Premier League Stats _ FBref.com.html,2026-09-20T20:17:23.677208+00:00,Chelsea,Chelsea,cff3d9bb,9,2,1,1,0,6,5,+1,4,2.00,3,1,0,2,4,7,-3,3,1.00,https://fbref.com/en/squads/cff3d9bb/Chelsea-Stats
2026-2027,Premier League,results,results_home_away,Premier League Stats _ FBref.com.html,2026-09-20T20:17:23.677208+00:00,Liverpool,Liverpool,822bd0ba,10,2,0,2,0,2,2,0,2,1.00,2,1,1,0,4,2,+2,4,2.00,https://fbref.com/en/squads/822bd0ba/Liverpool-Stats
2026-2027,Premier League,results,results_home_away,Premier League Stats _ FBref.com.html,2026-09-20T20:17:23.677208+00:00,Ipswich Town,Ipswich Town,b74092de,11,2,1,0,1,2,3,-1,3,1.50,3,1,0,2,5,8,-3,3,1.00,https://fbref.com/en/squads/b74092de/Ipswich-Town-Stats
2026-2027,Premier League,results,results_home_away,Premier League Stats _ FBref.com.html,2026-09-20T20:17:23.677208+00:00,Nottingham,Nott'm Forest,e4a775cb,12,3,0,1,2,0,2,-2,1,0.33,2,1,1,0,4,3,+1,4,2.00,https://fbref.com/en/squads/e4a775cb/Nottingham-Forest-Stats
2026-2027,Premier League,results,results_home_away,Premier League Stats _ FBref.com.html,2026-09-20T20:17:23.677208+00:00,Manchester Utd,Man Utd,19538871,13,2,1,0,1,5,3,+2,3,1.50,2,0,1,1,2,4,-2,1,0.50,https://fbref.com/en/squads/19538871/Manchester-United-Stats
2026-2027,Premier League,results,results_home_away,Premier League Stats _ FBref.com.html,2026-09-20T20:17:23.677208+00:00,Sunderland,Sunderland,8ef52968,14,2,1,0,1,1,2,-1,3,1.50,2,0,1,1,2,3,-1,1,0.50,https://fbref.com/en/squads/8ef52968/Sunderland-Stats
