season,competition,category,table_type,source_file,saved_at,team_fbref,team,team_fbref_id,rank,home_games,home_wins,home_ties,home_losses,home_goals_for,home_goals_against,home_goal_diff,home_points,home_points_avg,away_games,away_wins,away_ties,away_losses,away_goals_for,away_goals_against,away_goal_diff,away_points,away_points_avg,team_href
2018-2019,Premier League,results,results_home_away,2018-2019 Premier League Stats _ FBref.com.html,2026-09-20T20:41:51.232150+00:00,Manchester City,Man City,b8fd03ef,1,19,18,0,1,57,12,+45,54,2.84,19,14,2,3,38,11,+27,44,2.32,https://fbref.com/en/squads/b8fd03ef/2018-2019/Manchester-City-Stats
2018-2019,Premier League,results,results_home_away,2018-2019 Premier League Stats _ FBref.com.html,2026-09-20T20:41:51.232150+00:00,Liverpool,Liverpool,822bd0ba,2,19,17,2,0,55,10,+45,53,2.79,19,13,5,1,34,12,+22,44,2.32,https://fbref.com/en/squads/822bd0ba/2018-2019/Liverpool-Stats
2018-2019,Premier League,results,results_home_away,2018-2019 Premier League Stats _ FBref.com.html,2026-09-20T20:41:51.232150+00:00,Chelsea,Chelsea,cff3d9bb,3,19,12,6,1,39,12,+27,42,2.21,19,9,3,7,24,27,-3,30,1.58,https://fbref.com/en/squads/cff3d9bb/2018-2019/Chelsea-Stats
2018-2019,Premier League,results,results_home_away,2018-2019 Premier League Stats _ FBref.com.html,2026-09-20T20:41:51.232150+00:00,Tottenham,Spurs,361ca564,4,19,12,2,5,34,16,+18,38,2.00,19,11,0,8,33,23,+10,33,1.74,https://fbref.com/en/squads/361ca564/2018-2019/Tottenham-Hotspur-Stats
2018-2019,Premier League,results,results_home_away,2018-2019 Premier League Stats _ FBref.com.html,2026-09-20T20:41:51.232150+00:00,Arsenal,Arsenal,18bb7c10,5,19,14,3,2,42,16,+26,45,2.37,19,7,4,8,31,35,-4,25,1.32,https://fbref.com/en/squads/18bb7c10/2018-2019/Arsenal-Stats
2018-2019,Premier League,results,results_home_away,2018-2019 Premier League Stats _ FBref.com.html,2026-09-20T20:41:51.232150+00:00,Manchester Utd,Man Utd,19538871,6,19,10,6,3,33,25,+8,36,1.89,19,9,3,7,32,29,+3,30,1.58,https://fbref.com/en/squads/19538871/2018-2019/Manchester-United-Stats
2018-2019,Premier League,results,results_home_away,2018-2019 Premier League Stats _ FBref.com.html,2026-09-20T20:41:51.232150+00:00,Wolves,Wolves,8cec06e1,7,19,10,4,5,28,21,+7,34,1.79,19,6,5,8,19,25,-6,23,1.21,https://fbref.com/en/squads/8cec06e1/2018-2019/Wolverhampton-Wanderers-Stats
2018-2019,Premier League,results,results_home_away,2018-2019 Premier League Stats _ FBref.com.html,2026-09-20T20:41:51.232150+00:00,Everton,Everton,d3fd31cc,8,19,10,4,5,30,21,+9,34,1.79,19,5,5,9,24,25,-1,20,1.05,https://fbref.com/en/squads/d3fd31cc/2018-2019/Everton-Stats
2018-2019,Premier League,results,results_home_away,2018-2019 Premier League Stats _ FBref.com.html,2026-09-20T20:41:51.232150+00:00,Leicester City,Leicester,a2d435b3,9,19,8,3,8,24,20,+4,27,1.42,19,7,4,8,27,28,-1,25,1.32,https://fbref.com/en/squads/a2d435b3/2018-2019/Leicester-City-Stats
2018-2019,Premier League,results,results_home_away,2018-2019 Premier League Stats _ FBref.com.html,2026-09-20T20:41:51.232150+00:00,West Ham,West Ham,7c21e445,10,19,9,4,6,32,27,+5,31,1.63,19,6,3,10,20,28,-8,21,1.11,https://fbref.com/en/squads/7c21e445/2018-2019/West-Ham-United-Stats
2018-2019,Premier League,results,results_home_away,2018-2019 Premier League Stats _ FBref.com.html,2026-09-20T20:41:51.232150+00:00,Watford,Watford,2abfe087,11,19,8,3,8,26,28,-2,27,1.42,19,6,5,8,26,31,-5,23,1.21,https://fbref.com/en/squads/2abfe087/2018-2019/Watford-Stats
2018-2019,Premier League,results,results_home_away,2018-2019 Premier League Stats _ FBref.com.html,2026-09-20T20:41:51.232150+00:00,Crystal Palace,Crystal Palace,47c64c55,12,19,5,5,9,19,23,-4,20,1.05,19,9,2,8,32,30,+2,29,1.53,https://fbref.com/en/squads/47c64c55/2018-2019/Crystal-Palace-Stats
2018-2019,Premier League,results,results_home_away,2018-2019 Premier League Stats _ FBref.com.html,2026-09-20T20:41:51.232150+00:00,Newcastle,Newcastle,b2b47a98,13,19,8,1,10,24,25,-1,25,1.32,19,4,8,7,18,23,-5,20,1.05,https://fbref.com/en/squads/b2b47a98/2018-2019/Newcastle-United-Stats
2018-2019,Premier League,results,results_home_away,2018-2019 Premier League Stats _ FBref.com.html,2026-09-20T20:41:51.232150+00:00,Bournemouth,Bournemouth,4ba7cbea,14,19,8,5,6,30,25,+5,29,1.53,19,5,1,13,26,45,-19,16,0.84,https://fbref.com/en/squads/4ba7cbea/2018-2019/Bournemouth-Stats
2018-2019,Premier League,results,results_home_away,2018-2019 Premier League Stats _ FBref.com.html,2026-09-20T20:41:51.232150+00:00,Burnley,Burnley,943e8050,15,19,7,2,10,24,32,-8,23,1.21,19,4,5,10,21,36,-15,17,0.89,https://fbref.com/en/squads/943e8050/2018-2019/Burnley-Stats
2018-2019,Premier League,results,results_home_away,2018-2019 Premier League Stats _ FBref.com.html,2026-09-20T20:41:51.232150+00:00,Southampton,Southampton,33c895d4,16,19,5,8,6,27,30,-3,23,1.21,19,4,4,11,18,35,-17,16,0.84,https://fbref.com/en/squads/33c895d4/2018-2019/Southampton-Stats
2018-2019,Premier League,results,results_home_away,2018-2019 Premier League Stats _ FBref.com.html,2026-09-20T20:41:51.232150+00:00,Brighton,Brighton,d07537b9,17,19,6,5,8,19,28,-9,23,1.21,19,3,4,12,16,32,-16,13,0.68,https://fbref.com/en/squads/d07537b9/2018-2019/Brighton-and-Hove-Albion-Stats
2018-2019,Premier League,results,results_home_away,2018-2019 Premier League Stats _ FBref.com.html,2026-09-20T20:41:51.232150+00:00,Cardiff City,Cardiff,75fae011,18,19,6,2,11,21,38,-17,20,1.05,19,4,2,13,13,31,-18,14,0.74,https://fbref.com/en/squads/75fae011/2018-2019/Cardiff-City-Stats
2018-2019,Premier League,results,results_home_away,2018-2019 Premier League Stats _ FBref.com.html,2026-09-20T20:41:51.232150+00:00,Fulham,Fulham,fd962109,19,19,6,3,10,22,36,-14,21,1.11,19,1,2,16,12,45,-33,5,0.26,https://fbref.com/en/squads/fd962109/2018-2019/Fulham-Stats
2018-2019,Premier League,results,results_home_away,2018-2019 Premier League Stats _ FBref.com.html,2026-09-20T20:41:51.232150+00:00,Huddersfield,Huddersfield,f5922ca5,20,19,2,3,14,10,31,-21,9,0.47,19,1,4,14,12,45,-33,7,0.37,https://fbref.com/en/squads/f5922ca5/2018-2019/Huddersfield-Town-Stats
