season,competition,category,table_type,source_file,saved_at,team_fbref,team,team_fbref_id,players_used,gk_games,gk_games_starts,gk_minutes,minutes_90s,gk_goals_against,gk_goals_against_per90,gk_shots_on_target_against,gk_saves,gk_save_pct,gk_wins,gk_ties,gk_losses,gk_clean_sheets,gk_clean_sheets_pct,gk_pens_att,gk_pens_allowed,gk_pens_saved,gk_pens_missed,gk_pens_save_pct,team_href
2020-2021,Premier League,keeper,squad_for,2020-2021 Premier League Stats _ FBref.com.html,2026-09-20T20:41:23.578122+00:00,Arsenal,Arsenal,18bb7c10,3,38,38,"3,417",38.0,39,1.03,132,93,70.5,18,7,13,12,31.6,3,2,1,0,33.3,https://fbref.com/en/squads/18bb7c10/2020-2021/Arsenal-Stats
2020-2021,Premier League,keeper,squad_for,2020-2021 Premier League Stats _ FBref.com.html,2026-09-20T20:41:23.578122+00:00,Aston Villa,Aston Villa,8602292d,1,38,38,"3,420",38.0,46,1.21,186,133,75.3,16,7,15,15,39.5,6,5,1,0,16.7,https://fbref.com/en/squads/8602292d/2020-2021/Aston-Villa-Stats
2020-2021,Premier League,keeper,squad_for,2020-2021 Premier League Stats _ FBref.com.html,2026-09-20T20:41:23.578122+00:00,Brighton,Brighton,d07537b9,2,38,38,"3,420",38.0,46,1.21,125,81,63.2,9,14,15,12,31.6,7,6,0,1,0.0,https://fbref.com/en/squads/d07537b9/2020-2021/Brighton-and-Hove-Albion-Stats
2020-2021,Premier League,keeper,squad_for,2020-2021 Premier League Stats _ FBref.com.html,2026-09-20T20:41:23.578122+00:00,Burnley,Burnley,943e8050,3,38,38,"3,420",38.0,55,1.45,179,125,69.3,10,9,19,11,28.9,3,3,0,0,0.0,https://fbref.com/en/squads/943e8050/2020-2021/Burnley-Stats
2020-2021,Premier League,keeper,squad_for,2020-2021 Premier League Stats _ FBref.com.html,2026-09-20T20:41:23.578122+00:00,Chelsea,Chelsea,cff3d9bb,3,38,38,"3,420",38.0,36,0.95,107,71,66.4,19,10,9,18,47.4,4,3,1,0,25.0,https://fbref.com/en/squads/cff3d9bb/2020-2021/Chelsea-Stats
2020-2021,Premier League,keeper,squad_for,2020-2021 Premier League Stats _ FBref.com.html,2026-09-20T20:41:23.578122+00:00,Crystal Palace,Crystal Palace,47c64c55,2,38,38,"3,420",38.0,66,1.74,174,107,62.1,12,8,18,8,21.1,4,3,1,0,25.0,https://fbref.com/en/squads/47c64c55/2020-2021/Crystal-Palace-Stats
2020-2021,Premier League,keeper,squad_for,2020-2021 Premier League Stats _ FBref.com.html,2026-09-20T20:41:23.578122+00:00,Everton,Everton,d3fd31cc,3,38,38,"3,420",38.0,48,1.26,161,114,70.2,17,8,13,12,31.6,4,3,0,1,0.0,https://fbref.com/en/squads/d3fd31cc/2020-2021/Everton-Stats
2020-2021,Premier League,keeper,squad_for,2020-2021 Premier League Stats _ FBref.com.html,2026-09-20T20:41:23.578122+00:00,Fulham,Fulham,fd962109,2,38,38,"3,420",38.0,53,1.39,170,118,68.8,5,13,20,9,23.7,7,7,0,0,0.0,https://fbref.com/en/squads/fd962109/2020-2021/Fulham-Stats
2020-2021,Premier League,keeper,squad_for,2020-2021 Premier League Stats _ FBref.com.html,2026-09-20T20:41:23.578122+00:00,Leeds United,Leeds,5bfb9659,2,38,38,"3,420",38.0,54,1.42,198,145,72.7,18,5,15,12,31.6,9,8,1,0,11.1,https://fbref.com/en/squads/5bfb9659/2020-2021/Leeds-United-Stats
2020-2021,Premier League,keeper,squad_for,2020-2021 Premier League Stats _ FBref.com.html,2026-09-20T20:41:23.578122+00:00,Leicester City,Leicester,a2d435b3,1,38,38,"3,420",38.0,50,1.32,136,88,63.2,20,6,12,11,28.9,4,4,0,0,0.0,https://fbref.com/en/squads/a2d435b3/2020-2021/Leicester-City-Stats
2020-2021,Premier League,keeper,squad_for,2020-2021 Premier League Stats _ FBref.com.html,2026-09-20T20:41:23.578122+00:00,Liverpool,Liverpool,822bd0ba,3,38,38,"3,420",38.0,42,1.11,140,97,70.0,20,9,9,12,31.6,8,4,1,3,20.0,https://fbref.com/en/squads/822bd0ba/2020-2021/Liverpool-Stats
