season,competition,category,table_type,source_file,saved_at,team_fbref,team,team_fbref_id,players_used,avg_age,possession,games,games_starts,minutes,minutes_90s,goals,assists,goals_assists,goals_pens,pens_made,pens_att,cards_yellow,cards_red,goals_per90,assists_per90,goals_assists_per90,goals_pens_per90,goals_assists_pens_per90,team_href
2018-2019,Premier League,standard,squad_against,2018-2019 Premier League Stats _ FBref.com.html,2026-09-20T20:41:51.232150+00:00,Arsenal,Arsenal,18bb7c10,28,26.8,41.9,38,418,"3,420",38.0,50,32,82,43,7,7,76,2,1.32,0.84,2.16,1.13,1.97,https://fbref.com/en/squads/18bb7c10/2018-2019/Arsenal-Stats
2018-2019,Premier League,standard,squad_against,2018-2019 Premier League Stats _ FBref.com.html,2026-09-20T20:41:51.232150+00:00,Bournemouth,Bournemouth,4ba7cbea,28,26.8,53.1,38,418,"3,420",38.0,67,48,115,62,5,5,91,9,1.76,1.26,3.03,1.63,2.89,https://fbref.com/en/squads/4ba7cbea/2018-2019/Bournemouth-Stats
2018-2019,Premier League,standard,squad_against,2018-2019 Premier League Stats _ FBref.com.html,2026-09-20T20:41:51.232150+00:00,Brighton,Brighton,d07537b9,21,26.8,57.6,38,418,"3,420",38.0,60,39,99,50,10,10,52,2,1.58,1.03,2.61,1.32,2.34,https://fbref.com/en/squads/d07537b9/2018-2019/Brighton-and-Hove-Albion-Stats
2018-2019,Premier League,standard,squad_against,2018-2019 Premier League Stats _ FBref.com.html,2026-09-20T20:41:51.232150+00:00,Burnley,Burnley,943e8050,23,26.7,58.8,38,418,"3,420",38.0,64,43,107,62,2,3,58,3,1.68,1.13,2.82,1.63,2.76,https://fbref.com/en/squads/943e8050/2018-2019/Burnley-Stats
2018-2019,Premier League,standard,squad_against,2018-2019 Premier League Stats _ FBref.com.html,2026-09-20T20:41:51.232150+00:00,Cardiff City,Cardiff,75fae011,25,26.7,64.6,38,418,"3,420",38.0,69,53,122,65,4,7,49,3,1.82,1.39,3.21,1.71,3.11,https://fbref.com/en/squads/75fae011/2018-2019/Cardiff-City-Stats
2018-2019,Premier League,standard,squad_against,2018-2019 Premier League Stats _ FBref.com.html,2026-09-20T20:41:51.232150+00:00,Chelsea,Chelsea,cff3d9bb,24,26.8,37.1,38,418,"3,420",38.0,39,30,69,38,1,2,63,0,1.03,0.79,1.82,1.00,1.79,https://fbref.com/en/squads/cff3d9bb/2018-2019/Chelsea-Stats
2018-2019,Premier League,standard,squad_against,2018-2019 Premier League Stats _ FBref.com.html,2026-09-20T20:41:51.232150+00:00,Crystal Palace,Crystal Palace,47c64c55,26,26.7,54.8,38,418,"3,420",38.0,52,35,87,48,4,5,62,2,1.37,0.92,2.29,1.26,2.18,https://fbref.com/en/squads/47c64c55/2018-2019/Crystal-Palace-Stats
2018-2019,Premier League,standard,squad_against,2018-2019 Premier League Stats _ FBref.com.html,2026-09-20T20:41:51.232150+00:00,Everton,Everton,d3fd31cc,23,26.8,48.5,38,418,"3,420",38.0,44,24,68,42,2,5,77,2,1.16,0.63,1.79,1.11,1.74,https://fbref.com/en/squads/d3fd31cc/2018-2019/Everton-Stats
2018-2019,Premier League,standard,squad_against,2018-2019 Premier League Stats _ FBref.com.html,2026-09-20T20:41:51.232150+00:00,Fulham,Fulham,fd962109,28,26.8,51.2,38,418,"3,420",38.0,79,59,138,74,5,7,43,0,2.08,1.55,3.63,1.95,3.50,https://fbref.com/en/squads/fd962109/2018-2019/Fulham-Stats
2018-2019,Premier League,standard,squad_against,2018-2019 Premier League Stats _ FBref.com.html,2026-09-20T20:41:51.232150+00:00,Huddersfield,Huddersfield,f5922ca5,31,26.5,52.8,38,418,"3,420",38.0,75,56,131,68,7,8,66,2,1.97,1.47,3.45,1.79,3.26,https://fbref.com/en/squads/f5922ca5/2018-2019/Huddersfield-Town-Stats
2018-2019,Premier League,standard,squad_against,2018-2019 Premier League Stats _ FBref.com.html,2026-09-20T20:41:51.232150+00:00,Leicester City,Leicester,a2d435b3,25,26.8,49.1,38,418,"3,420",38.0,48,36,84,43,5,5,70,6,1.26,0.95,2.21,1.13,2.08,https://fbref.com/en/squads/a2d435b3/2018-2019/Leicester-City-Stats
2018-2019,Premier League,standard,squad_against,2018-2019 Premier League Stats _ FBref.com.html,2026-09-20T20:41:51.232150+00:00,Liverpool,Liverpool,822bd0ba,23,26.9,38.2,38,418,"3,420",38.0,22,16,38,22,0,1,48,1,0.58,0.42,1.00,0.58,1.00,https://fbref.com/en/squads/822bd0ba/2018-2019/Liverpool-Stats
2018-2019,Premier League,standard,squad_against,2018-2019 Premier League Stats _ FBref.com.html,2026-09-20T20:41:51.232150+00:00,Manchester City,Man City,b8fd03ef,21,26.6,32.1,38,418,"3,420",38.0,23,14,37,19,4,4,54,2,0.61,0.37,0.97,0.50,0.87,https://fbref.com/en/squads/b8fd03ef/2018-2019/Manchester-City-Stats
2018-2019,Premier League,standard,squad_against,2018-2019 Premier League Stats _ FBref.com.html,2026-09-20T20:41:51.232150+00:00,Manchester Utd,Man Utd,19538871,28,26.9,45.3,38,418,"3,420",38.0,51,37,88,45,6,6,67,1,1.34,0.97,2.32,1.18,2.16,https://fbref.com/en/squads/19538871/2018-2019/Manchester-United-Stats
2018-2019,Premier League,standard,squad_against,2018-2019 Premier League Stats _ FBref.com.html,2026-09-20T20:41:51.232150+00:00,Newcastle,Newcastle,b2b47a98,24,26.8,59.6,38,418,"3,420",38.0,47,32,79,41,6,6,58,1,1.24,0.84,2.08,1.08,1.92,https://fbref.com/en/squads/b2b47a98/2018-2019/Newcastle-United-Stats
2018-2019,Premier League,standard,squad_against,2018-2019 Premier League Stats _ FBref.com.html,2026-09-20T20:41:51.232150+00:00,Southampton,Southampton,33c895d4,30,26.7,56.6,38,418,"3,420",38.0,62,49,111,60,2,3,62,1,1.63,1.29,2.92,1.58,2.87,https://fbref.com/en/squads/33c895d4/2018-2019/Southampton-Stats
2018-2019,Premier League,standard,squad_against,2018-2019 Premier League Stats _ FBref.com.html,2026-09-20T20:41:51.232150+00:00,Tottenham,Spurs,361ca564,28,26.7,41.0,38,418,"3,420",38.0,36,28,64,33,3,5,61,2,0.95,0.74,1.68,0.87,1.61,https://fbref.com/en/squads/361ca564/2018-2019/Tottenham-Hotspur-Stats
2018-2019,Premier League,standard,squad_against,2018-2019 Premier League Stats _ FBref.com.html,2026-09-20T20:41:51.232150+00:00,Watford,Watford,2abfe087,25,26.8,53.3,38,418,"3,420",38.0,56,38,94,52,4,5,50,3,1.47,1.00,2.47,1.37,2.37,https://fbref.com/en/squads/2abfe087/2018-2019/Watford-Stats
2018-2019,Premier League,standard,squad_against,2018-2019 Premier League Stats _ FBref.com.html,2026-09-20T20:41:51.232150+00:00,West Ham,West Ham,7c21e445,26,26.7,51.4,38,418,"3,420",38.0,54,40,94,50,4,5,57,1,1.42,1.05,2.47,1.32,2.37,https://fbref.com/en/squads/7c21e445/2018-2019/West-Ham-United-Stats
2018-2019,Premier League,standard,squad_against,2018-2019 Premier League Stats _ FBref.com.html,2026-09-20T20:41:51.232150+00:00,Wolves,Wolves,8cec06e1,21,26.8,53.2,38,418,"3,420",38.0,42,32,74,39,3,4,76,4,1.11,0.84,1.95,1.03,1.87,https://fbref.com/en/squads/8cec06e1/2018-2019/Wolverhampton-Wanderers-Stats
