season,competition,category,table_type,source_file,saved_at,team_fbref,team,team_fbref_id,players_used,avg_age,possession,games,games_starts,minutes,minutes_90s,goals,assists,goals_assists,goals_pens,pens_made,pens_att,cards_yellow,cards_red,goals_per90,assists_per90,goals_assists_per90,goals_pens_per90,goals_assists_pens_per90,team_href
2018-2019,Premier League,standard,squad_for,2018-2019 Premier League Stats _ FBref.com.html,2026-09-20T20:41:51.232150+00:00,Arsenal,Arsenal,18bb7c10,28,26.7,58.1,38,418,"3,420",38.0,69,52,121,65,4,5,74,2,1.82,1.37,3.18,1.71,3.08,https://fbref.com/en/squads/18bb7c10/2018-2019/Arsenal-Stats
2018-2019,Premier League,standard,squad_for,2018-2019 Premier League Stats _ FBref.com.html,2026-09-20T20:41:51.232150+00:00,Bournemouth,Bournemouth,4ba7cbea,28,26.6,46.9,38,418,"3,420",38.0,55,43,98,48,7,9,60,1,1.45,1.13,2.58,1.26,2.39,https://fbref.com/en/squads/4ba7cbea/2018-2019/Bournemouth-Stats
2018-2019,Premier League,standard,squad_for,2018-2019 Premier League Stats _ FBref.com.html,2026-09-20T20:41:51.232150+00:00,Brighton,Brighton,d07537b9,21,27.4,42.4,38,418,"3,420",38.0,35,24,59,30,5,6,62,4,0.92,0.63,1.55,0.79,1.42,https://fbref.com/en/squads/d07537b9/2018-2019/Brighton-and-Hove-Albion-Stats
2018-2019,Premier League,standard,squad_for,2018-2019 Premier League Stats _ FBref.com.html,2026-09-20T20:41:51.232150+00:00,Burnley,Burnley,943e8050,23,28.0,41.2,38,418,"3,420",38.0,43,32,75,41,2,2,75,1,1.13,0.84,1.97,1.08,1.92,https://fbref.com/en/squads/943e8050/2018-2019/Burnley-Stats
2018-2019,Premier League,standard,squad_for,2018-2019 Premier League Stats _ FBref.com.html,2026-09-20T20:41:51.232150+00:00,Cardiff City,Cardiff,75fae011,25,27.7,35.4,38,418,"3,420",38.0,33,20,53,30,3,4,66,1,0.87,0.53,1.39,0.79,1.32,https://fbref.com/en/squads/75fae011/2018-2019/Cardiff-City-Stats
2018-2019,Premier League,standard,squad_for,2018-2019 Premier League Stats _ FBref.com.html,2026-09-20T20:41:51.232150+00:00,Chelsea,Chelsea,cff3d9bb,24,27.3,62.9,38,418,"3,420",38.0,61,52,113,56,5,5,49,0,1.61,1.37,2.97,1.47,2.84,https://fbref.com/en/squads/cff3d9bb/2018-2019/Chelsea-Stats
2018-2019,Premier League,standard,squad_for,2018-2019 Premier League Stats _ FBref.com.html,2026-09-20T20:41:51.232150+00:00,Crystal Palace,Crystal Palace,47c64c55,26,27.4,45.2,38,418,"3,420",38.0,48,33,81,38,10,11,59,2,1.26,0.87,2.13,1.00,1.87,https://fbref.com/en/squads/47c64c55/2018-2019/Crystal-Palace-Stats
2018-2019,Premier League,standard,squad_for,2018-2019 Premier League Stats _ FBref.com.html,2026-09-20T20:41:51.232150+00:00,Everton,Everton,d3fd31cc,23,25.7,51.5,38,418,"3,420",38.0,53,34,87,51,2,5,57,4,1.39,0.89,2.29,1.34,2.24,https://fbref.com/en/squads/d3fd31cc/2018-2019/Everton-Stats
2018-2019,Premier League,standard,squad_for,2018-2019 Premier League Stats _ FBref.com.html,2026-09-20T20:41:51.232150+00:00,Fulham,Fulham,fd962109,28,26.0,48.8,38,418,"3,420",38.0,33,24,57,31,2,3,72,2,0.87,0.63,1.50,0.82,1.45,https://fbref.com/en/squads/fd962109/2018-2019/Fulham-Stats
2018-2019,Premier League,standard,squad_for,2018-2019 Premier League Stats _ FBref.com.html,2026-09-20T20:41:51.232150+00:00,Huddersfield,Huddersfield,f5922ca5,31,26.2,47.2,38,418,"3,420",38.0,21,13,34,20,1,1,57,4,0.55,0.34,0.89,0.53,0.87,https://fbref.com/en/squads/f5922ca5/2018-2019/Huddersfield-Town-Stats
