season,competition,category,table_type,source_file,saved_at,team_fbref,team,team_fbref_id,players_used,avg_age,possession,games,games_starts,minutes,minutes_90s,goals,assists,goals_assists,goals_pens,pens_made,pens_att,cards_yellow,cards_red,goals_per90,assists_per90,goals_assists_per90,goals_pens_per90,goals_assists_pens_per90,team_href
2023-2024,Premier League,standard,squad_for,2023-2024 Premier League Stats _ FBref.com.html,2026-09-20T20:39:02.383394+00:00,Arsenal,Arsenal,18bb7c10,25,25.0,58.2,38,418,"3,420",38.0,86,62,148,76,10,10,64,2,2.26,1.63,3.89,2.00,3.63,https://fbref.com/en/squads/18bb7c10/2023-2024/Arsenal-Stats
2023-2024,Premier League,standard,squad_for,2023-2024 Premier League Stats _ FBref.com.html,2026-09-20T20:39:02.383394+00:00,Aston Villa,Aston Villa,8602292d,31,26.9,53.1,38,418,"3,420",38.0,72,55,127,68,4,4,94,2,1.89,1.45,3.34,1.79,3.24,https://fbref.com/en/squads/8602292d/2023-2024/Aston-Villa-Stats
2023-2024,Premier League,standard,squad_for,2023-2024 Premier League Stats _ FBref.com.html,2026-09-20T20:39:02.383394+00:00,Bournemouth,Bournemouth,4ba7cbea,30,25.7,44.4,38,418,"3,420",38.0,52,39,91,50,2,3,79,3,1.37,1.03,2.39,1.32,2.34,https://fbref.com/en/squads/4ba7cbea/2023-2024/Bournemouth-Stats
2023-2024,Premier League,standard,squad_for,2023-2024 Premier League Stats _ FBref.com.html,2026-09-20T20:39:02.383394+00:00,Brentford,Brentford,cd051869,28,26.6,45.2,38,418,"3,420",38.0,54,38,92,51,3,3,89,2,1.42,1.00,2.42,1.34,2.34,https://fbref.com/en/squads/cd051869/2023-2024/Brentford-Stats
2023-2024,Premier League,standard,squad_for,2023-2024 Premier League Stats _ FBref.com.html,2026-09-20T20:39:02.383394+00:00,Brighton,Brighton,d07537b9,30,25.9,59.8,38,418,"3,420",38.0,50,36,86,45,5,6,90,3,1.32,0.95,2.26,1.18,2.13,https://fbref.com/en/squads/d07537b9/2023-2024/Brighton-and-Hove-Albion-Stats
2023-2024,Premier League,standard,squad_for,2023-2024 Premier League Stats _ FBref.com.html,2026-09-20T20:39:02.383394+00:00,Burnley,Burnley,943e8050,31,24.5,47.4,38,418,"3,420",38.0,40,30,70,37,3,3,77,7,1.05,0.79,1.84,0.97,1.76,https://fbref.com/en/squads/943e8050/2023-2024/Burnley-Stats
2023-2024,Premier League,standard,squad_for,2023-2024 Premier League Stats _ FBref.com.html,2026-09-20T20:39:02.383394+00:00,Chelsea,Chelsea,cff3d9bb,32,24.2,58.6,38,418,"3,420",38.0,76,51,127,65,11,12,109,4,2.00,1.34,3.34,1.71,3.05,https://fbref.com/en/squads/cff3d9bb/2023-2024/Chelsea-Stats
2023-2024,Premier League,standard,squad_for,2023-2024 Premier League Stats _ FBref.com.html,2026-09-20T20:39:02.383394+00:00,Crystal Palace,Crystal Palace,47c64c55,26,26.8,42.3,38,418,"3,420",38.0,56,43,99,52,4,4,73,2,1.47,1.13,2.61,1.37,2.50,https://fbref.com/en/squads/47c64c55/2023-2024/Crystal-Palace-Stats
2023-2024,Premier League,standard,squad_for,2023-2024 Premier League Stats _ FBref.com.html,2026-09-20T20:39:02.383394+00:00,Everton,Everton,d3fd31cc,26,27.1,40.8,38,418,"3,420",38.0,40,17,57,38,2,3,82,1,1.05,0.45,1.50,1.00,1.45,https://fbref.com/en/squads/d3fd31cc/2023-2024/Everton-Stats
2023-2024,Premier League,standard,squad_for,2023-2024 Premier League Stats _ FBref.com.html,2026-09-20T20:39:02.383394+00:00,Fulham,Fulham,fd962109,25,28.4,50.6,38,418,"3,420",38.0,54,40,94,52,2,2,84,4,1.42,1.05,2.47,1.37,2.42,https://fbref.com/en/squads/fd962109/2023-2024/Fulham-Stats
2023-2024,Premier League,standard,squad_for,2023-2024 Premier League Stats _ FBref.com.html,2026-09-20T20:39:02.383394+00:00,Liverpool,Liverpool,822bd0ba,30,26.3,61.3,38,418,"3,420",38.0,80,60,140,74,6,9,69,5,2.11,1.58,3.68,1.95,3.53,https://fbref.com/en/squads/822bd0ba/2023-2024/Liverpool-Stats
2023-2024,Premier League,standard,squad_for,2023-2024 Premier League Stats _ FBref.com.html,2026-09-20T20:39:02.383394+00:00,Luton Town,Luton,e297cd13,28,26.7,42.4,38,418,"3,420",38.0,49,33,82,44,5,5,71,0,1.29,0.87,2.16,1.16,2.03,https://fbref.com/en/squads/e297cd13/2023-2024/Luton-Town-Stats
2023-2024,Premier League,standard,squad_for,2023-2024 Premier League Stats _ FBref.com.html,2026-09-20T20:39:02.383394+00:00,Manchester City,Man City,b8fd03ef,25,26.6,65.2,38,418,"3,420",38.0,94,69,163,85,9,10,53,2,2.47,1.82,4.29,2.24,4.05,https://fbref.com/en/squads/b8fd03ef/2023-2024/Manchester-City-Stats
2023-2024,Premier League,standard,squad_for,2023-2024 Premier League Stats _ FBref.com.html,2026-09-20T20:39:02.383394+00:00,Manchester Utd,Man Utd,19538871,31,26.1,50.6,38,418,"3,420",38.0,57,36,93,51,6,7,83,1,1.50,0.95,2.45,1.34,2.29,https://fbref.com/en/squads/19538871/2023-2024/Manchester-United-Stats
