season,competition,category,table_type,source_file,saved_at,team_fbref,team,team_fbref_id,players_used,avg_age,games,minutes,minutes_per_game,minutes_pct,minutes_90s,games_starts,minutes_per_start,games_complete,games_subs,minutes_per_sub,unused_subs,points_per_game,on_goals_for,on_goals_against,plus_minus,plus_minus_per90,team_href
2021-2022,Premier League,playing_time,squad_for,2021-2022 Premier League Stats _ FBref.com.html,2026-09-20T20:41:03.543264+00:00,Arsenal,Arsenal,18bb7c10,27,24.4,38,"3,420",90,100,38.0,418,85,304,110,17,232,1.82,61,48,+13,+0.34,https://fbref.com/en/squads/18bb7c10/2021-2022/Arsenal-Stats
2021-2022,Premier League,playing_time,squad_for,2021-2022 Premier League Stats _ FBref.com.html,2026-09-20T20:41:03.543264+00:00,Aston Villa,Aston Villa,8602292d,31,26.1,38,"3,420",90,100,38.0,418,85,304,113,20,228,1.18,52,54,-2,-0.05,https://fbref.com/en/squads/8602292d/2021-2022/Aston-Villa-Stats
2021-2022,Premier League,playing_time,squad_for,2021-2022 Premier League Stats _ FBref.com.html,2026-09-20T20:41:03.543264+00:00,Brentford,Brentford,cd051869,29,25.4,38,"3,420",90,100,38.0,418,84,304,114,22,223,1.21,48,56,-8,-0.21,https://fbref.com/en/squads/cd051869/2021-2022/Brentford-Stats
2021-2022,Premier League,playing_time,squad_for,2021-2022 Premier League Stats _ FBref.com.html,2026-09-20T20:41:03.543264+00:00,Brighton,Brighton,d07537b9,26,26.2,38,"3,420",90,100,38.0,418,84,308,111,22,231,1.34,42,44,-2,-0.05,https://fbref.com/en/squads/d07537b9/2021-2022/Brighton-and-Hove-Albion-Stats
2021-2022,Premier League,playing_time,squad_for,2021-2022 Premier League Stats _ FBref.com.html,2026-09-20T20:41:03.543264+00:00,Burnley,Burnley,943e8050,23,28.5,38,"3,420",90,100,38.0,418,86,321,96,19,244,0.92,34,53,-19,-0.50,https://fbref.com/en/squads/943e8050/2021-2022/Burnley-Stats
2021-2022,Premier League,playing_time,squad_for,2021-2022 Premier League Stats _ FBref.com.html,2026-09-20T20:41:03.543264+00:00,Chelsea,Chelsea,cff3d9bb,26,27.4,38,"3,420",90,100,38.0,418,84,306,111,22,226,1.95,76,33,+43,+1.13,https://fbref.com/en/squads/cff3d9bb/2021-2022/Chelsea-Stats
2021-2022,Premier League,playing_time,squad_for,2021-2022 Premier League Stats _ FBref.com.html,2026-09-20T20:41:03.543264+00:00,Crystal Palace,Crystal Palace,47c64c55,24,27.1,38,"3,420",90,100,38.0,418,85,309,108,18,229,1.26,50,46,+4,+0.11,https://fbref.com/en/squads/47c64c55/2021-2022/Crystal-Palace-Stats
2021-2022,Premier League,playing_time,squad_for,2021-2022 Premier League Stats _ FBref.com.html,2026-09-20T20:41:03.543264+00:00,Everton,Everton,d3fd31cc,33,26.7,38,"3,420",90,100,38.0,418,85,317,97,21,240,1.03,43,66,-23,-0.61,https://fbref.com/en/squads/d3fd31cc/2021-2022/Everton-Stats
2021-2022,Premier League,playing_time,squad_for,2021-2022 Premier League Stats _ FBref.com.html,2026-09-20T20:41:03.543264+00:00,Leeds United,Leeds,5bfb9659,29,26.1,38,"3,420",90,100,38.0,418,82,312,106,29,234,1.00,42,79,-37,-0.97,https://fbref.com/en/squads/5bfb9659/2021-2022/Leeds-United-Stats
2021-2022,Premier League,playing_time,squad_for,2021-2022 Premier League Stats _ FBref.com.html,2026-09-20T20:41:03.543264+00:00,Leicester City,Leicester,a2d435b3,28,26.5,38,"3,420",90,100,38.0,418,84,308,109,23,232,1.37,62,59,+3,+0.08,https://fbref.com/en/squads/a2d435b3/2021-2022/Leicester-City-Stats
2021-2022,Premier League,playing_time,squad_for,2021-2022 Premier League Stats _ FBref.com.html,2026-09-20T20:41:03.543264+00:00,Liverpool,Liverpool,822bd0ba,27,27.7,38,"3,420",90,100,38.0,418,85,306,111,19,231,2.42,94,26,+68,+1.79,https://fbref.com/en/squads/822bd0ba/2021-2022/Liverpool-Stats
2021-2022,Premier League,playing_time,squad_for,2021-2022 Premier League Stats _ FBref.com.html,2026-09-20T20:41:03.543264+00:00,Manchester City,Man City,b8fd03ef,26,27.0,38,"3,420",90,100,38.0,418,86,338,79,20,261,2.45,99,26,+73,+1.92,https://fbref.com/en/squads/b8fd03ef/2021-2022/Manchester-City-Stats
2021-2022,Premier League,playing_time,squad_for,2021-2022 Premier League Stats _ FBref.com.html,2026-09-20T20:41:03.543264+00:00,Manchester Utd,Man Utd,19538871,29,27.2,38,"3,420",90,100,38.0,418,85,303,114,20,227,1.53,57,57,0,0.00,https://fbref.com/en/squads/19538871/2021-2022/Manchester-United-Stats
2021-2022,Premier League,playing_time,squad_for,2021-2022 Premier League Stats _ FBref.com.html,2026-09-20T20:41:03.543264+00:00,Newcastle,Newcastle,b2b47a98,29,27.5,38,"3,420",90,100,38.0,418,85,309,108,18,233,1.29,44,62,-18,-0.47,https://fbref.com/en/squads/b2b47a98/2021-2022/Newcastle-United-Stats
2021-2022,Premier League,playing_time,squad_for,2021-2022 Premier League Stats _ FBref.com.html,2026-09-20T20:41:03.543264+00:00,Norwich City,Norwich,1c781004,28,26.2,38,"3,420",90,100,38.0,418,84,304,114,21,227,0.58,23,84,-61,-1.61,https://fbref.com/en/squads/1c781004/2021-2022/Norwich-City-Stats
2021-2022,Premier League,playing_time,squad_for,2021-2022 Premier League Stats _ FBref.com.html,2026-09-20T20:41:03.543264+00:00,Southampton,Southampton,33c895d4,25,25.7,38,"3,420",90,100,38.0,418,85,307,110,19,232,1.05,43,67,-24,-0.63,https://fbref.com/en/squads/33c895d4/2021-2022/Southampton-Stats
2021-2022,Premier League,playing_time,squad_for,2021-2022 Premier League Stats _ FBref.com.html,2026-09-20T20:41:03.543264+00:00,Tottenham,Spurs,361ca564,25,26.5,38,"3,420",90,100,38.0,418,85,311,106,18,236,1.87,69,40,+29,+0.76,https://fbref.com/en/squads/361ca564/2021-2022/Tottenham-Hotspur-Stats
2021-2022,Premier League,playing_time,squad_for,2021-2022 Premier League Stats _ FBref.com.html,2026-09-20T20:41:03.543264+00:00,Watford,Watford,2abfe087,30,28.4,38,"3,420",90,100,38.0,418,84,309,106,23,234,0.61,34,77,-43,-1.13,https://fbref.com/en/squads/2abfe087/2021-2022/Watford-Stats
2021-2022,Premier League,playing_time,squad_for,2021-2022 Premier League Stats _ FBref.com.html,2026-09-20T20:41:03.543264+00:00,West Ham,West Ham,7c21e445,25,28.2,38,"3,420",90,100,38.0,418,86,320,95,17,247,1.47,60,51,+9,+0.24,https://fbref.com/en/squads/7c21e445/2021-2022/West-Ham-United-Stats
2021-2022,Premier League,playing_time,squad_for,2021-2022 Premier League Stats _ FBref.com.html,2026-09-20T20:41:03.543264+00:00,Wolves,Wolves,8cec06e1,26,27.3,38,"3,420",90,100,38.0,418,86,310,107,16,230,1.34,38,43,-5,-0.13,https://fbref.com/en/squads/8cec06e1/2021-2022/Wolverhampton-Wanderers-Stats
