season,competition,category,table_type,source_file,saved_at,team_fbref,team,team_fbref_id,players_used,gk_games,gk_games_starts,gk_minutes,minutes_90s,gk_goals_against,gk_goals_against_per90,gk_shots_on_target_against,gk_saves,gk_save_pct,gk_wins,gk_ties,gk_losses,gk_clean_sheets,gk_clean_sheets_pct,gk_pens_att,gk_pens_allowed,gk_pens_saved,gk_pens_missed,gk_pens_save_pct,team_href
2025-2026,Premier League,keeper,squad_for,2025-2026 Premier League Stats _ FBref.com.html,2026-09-20T20:38:40.531517+00:00,Arsenal,Arsenal,18bb7c10,2,38,38,"3,420",38.0,27,0.71,89,61,69.7,26,7,5,19,50.0,0,0,0,0,,https://fbref.com/en/squads/18bb7c10/2025-2026/Arsenal-Stats
2025-2026,Premier League,keeper,squad_for,2025-2026 Premier League Stats _ FBref.com.html,2026-09-20T20:38:40.531517+00:00,Aston Villa,Aston Villa,8602292d,2,38,38,"3,420",38.0,49,1.29,163,114,69.9,19,8,11,9,23.7,2,1,1,0,50.0,https://fbref.com/en/squads/8602292d/2025-2026/Aston-Villa-Stats
2025-2026,Premier League,keeper,squad_for,2025-2026 Premier League Stats _ FBref.com.html,2026-09-20T20:38:40.531517+00:00,Bournemouth,Bournemouth,4ba7cbea,1,38,38,"3,420",38.0,54,1.42,163,109,66.9,13,18,7,11,28.9,6,6,0,0,0.0,https://fbref.com/en/squads/4ba7cbea/2025-2026/Bournemouth-Stats
2025-2026,Premier League,keeper,squad_for,2025-2026 Premier League Stats _ FBref.com.html,2026-09-20T20:38:40.531517+00:00,Brentford,Brentford,cd051869,2,38,38,"3,420",38.0,52,1.37,158,106,67.1,14,11,13,10,26.3,8,5,3,0,37.5,https://fbref.com/en/squads/cd051869/2025-2026/Brentford-Stats
2025-2026,Premier League,keeper,squad_for,2025-2026 Premier League Stats _ FBref.com.html,2026-09-20T20:38:40.531517+00:00,Brighton,Brighton,d07537b9,1,38,38,"3,420",38.0,46,1.21,151,103,69.5,14,11,13,10,26.3,6,5,1,0,16.7,https://fbref.com/en/squads/d07537b9/2025-2026/Brighton-and-Hove-Albion-Stats
2025-2026,Premier League,keeper,squad_for,2025-2026 Premier League Stats _ FBref.com.html,2026-09-20T20:38:40.531517+00:00,Burnley,Burnley,943e8050,2,38,38,"3,420",38.0,75,1.97,212,137,64.6,4,10,24,4,10.5,8,7,0,1,0.0,https://fbref.com/en/squads/943e8050/2025-2026/Burnley-Stats
2025-2026,Premier League,keeper,squad_for,2025-2026 Premier League Stats _ FBref.com.html,2026-09-20T20:38:40.531517+00:00,Chelsea,Chelsea,cff3d9bb,2,38,38,"3,418",38.0,54,1.42,160,105,66.3,14,10,14,9,23.7,2,2,0,0,0.0,https://fbref.com/en/squads/cff3d9bb/2025-2026/Chelsea-Stats
2025-2026,Premier League,keeper,squad_for,2025-2026 Premier League Stats _ FBref.com.html,2026-09-20T20:38:40.531517+00:00,Crystal Palace,Crystal Palace,47c64c55,2,38,38,"3,420",38.0,51,1.34,159,107,67.9,11,12,15,12,31.6,7,5,1,1,16.7,https://fbref.com/en/squads/47c64c55/2025-2026/Crystal-Palace-Stats
2025-2026,Premier League,keeper,squad_for,2025-2026 Premier League Stats _ FBref.com.html,2026-09-20T20:38:40.531517+00:00,Everton,Everton,d3fd31cc,1,38,38,"3,420",38.0,50,1.32,149,99,66.4,13,10,15,11,28.9,4,3,1,0,25.0,https://fbref.com/en/squads/d3fd31cc/2025-2026/Everton-Stats
2025-2026,Premier League,keeper,squad_for,2025-2026 Premier League Stats _ FBref.com.html,2026-09-20T20:38:40.531517+00:00,Fulham,Fulham,fd962109,1,38,38,"3,420",38.0,51,1.34,149,98,65.8,15,7,16,9,23.7,4,3,0,1,0.0,https://fbref.com/en/squads/fd962109/2025-2026/Fulham-Stats
