season,competition,category,table_type,source_file,saved_at,team_fbref,team,team_fbref_id,rank,home_games,home_wins,home_ties,home_losses,home_goals_for,home_goals_against,home_goal_diff,home_points,home_points_avg,away_games,away_wins,away_ties,away_losses,away_goals_for,away_goals_against,away_goal_diff,away_points,away_points_avg,team_href
2021-2022,Premier League,results,results_home_away,2021-2022 Premier League Stats _ FBref.com.html,2026-09-20T20:41:03.543264+00:00,Manchester City,Man City,b8fd03ef,1,19,15,2,2,58,15,+43,47,2.47,19,14,4,1,41,11,+30,46,2.42,https://fbref.com/en/squads/b8fd03ef/2021-2022/Manchester-City-Stats
2021-2022,Premier League,results,results_home_away,2021-2022 Premier League Stats _ FBref.com.html,2026-09-20T20:41:03.543264+00:00,Liverpool,Liverpool,822bd0ba,2,19,15,4,0,49,9,+40,49,2.58,19,13,4,2,45,17,+28,43,2.26,https://fbref.com/en/squads/822bd0ba/2021-2022/Liverpool-Stats
2021-2022,Premier League,results,results_home_away,2021-2022 Premier League Stats _ FBref.com.html,2026-09-20T20:41:03.543264+00:00,Chelsea,Chelsea,cff3d9bb,3,19,9,7,3,37,22,+15,34,1.79,19,12,4,3,39,11,+28,40,2.11,https://fbref.com/en/squads/cff3d9bb/2021-2022/Chelsea-Stats
2021-2022,Premier League,results,results_home_away,2021-2022 Premier League Stats _ FBref.com.html,2026-09-20T20:41:03.543264+00:00,Tottenham,Spurs,361ca564,4,19,13,1,5,38,19,+19,40,2.11,19,9,4,6,31,21,+10,31,1.63,https://fbref.com/en/squads/361ca564/2021-2022/Tottenham-Hotspur-Stats
2021-2022,Premier League,results,results_home_away,2021-2022 Premier League Stats _ FBref.com.html,2026-09-20T20:41:03.543264+00:00,Arsenal,Arsenal,18bb7c10,5,19,13,2,4,35,17,+18,41,2.16,19,9,1,9,26,31,-5,28,1.47,https://fbref.com/en/squads/18bb7c10/2021-2022/Arsenal-Stats
2021-2022,Premier League,results,results_home_away,2021-2022 Premier League Stats _ FBref.com.html,2026-09-20T20:41:03.543264+00:00,Manchester Utd,Man Utd,19538871,6,19,10,5,4,32,22,+10,35,1.84,19,6,5,8,25,35,-10,23,1.21,https://fbref.com/en/squads/19538871/2021-2022/Manchester-United-Stats
2021-2022,Premier League,results,results_home_away,2021-2022 Premier League Stats _ FBref.com.html,2026-09-20T20:41:03.543264+00:00,West Ham,West Ham,7c21e445,7,19,9,5,5,33,26,+7,32,1.68,19,7,3,9,27,25,+2,24,1.26,https://fbref.com/en/squads/7c21e445/2021-2022/West-Ham-United-Stats
2021-2022,Premier League,results,results_home_away,2021-2022 Premier League Stats _ FBref.com.html,2026-09-20T20:41:03.543264+00:00,Leicester City,Leicester,a2d435b3,8,19,10,4,5,34,23,+11,34,1.79,19,4,6,9,28,36,-8,18,0.95,https://fbref.com/en/squads/a2d435b3/2021-2022/Leicester-City-Stats
2021-2022,Premier League,results,results_home_away,2021-2022 Premier League Stats _ FBref.com.html,2026-09-20T20:41:03.543264+00:00,Brighton,Brighton,d07537b9,9,19,5,7,7,19,23,-4,22,1.16,19,7,8,4,23,21,+2,29,1.53,https://fbref.com/en/squads/d07537b9/2021-2022/Brighton-and-Hove-Albion-Stats
2021-2022,Premier League,results,results_home_away,2021-2022 Premier League Stats _ FBref.com.html,2026-09-20T20:41:03.543264+00:00,Wolves,Wolves,8cec06e1,10,19,7,3,9,20,25,-5,24,1.26,19,8,3,8,18,18,0,27,1.42,https://fbref.com/en/squads/8cec06e1/2021-2022/Wolverhampton-Wanderers-Stats
2021-2022,Premier League,results,results_home_away,2021-2022 Premier League Stats _ FBref.com.html,2026-09-20T20:41:03.543264+00:00,Newcastle,Newcastle,b2b47a98,11,19,8,6,5,26,27,-1,30,1.58,19,5,4,10,18,35,-17,19,1.00,https://fbref.com/en/squads/b2b47a98/2021-2022/Newcastle-United-Stats
2021-2022,Premier League,results,results_home_away,2021-2022 Premier League Stats _ FBref.com.html,2026-09-20T20:41:03.543264+00:00,Crystal Palace,Crystal Palace,47c64c55,12,19,7,8,4,27,17,+10,29,1.53,19,4,7,8,23,29,-6,19,1.00,https://fbref.com/en/squads/47c64c55/2021-2022/Crystal-Palace-Stats
2021-2022,Premier League,results,results_home_away,2021-2022 Premier League Stats _ FBref.com.html,2026-09-20T20:41:03.543264+00:00,Brentford,Brentford,cd051869,13,19,7,3,9,22,21,+1,24,1.26,19,6,4,9,26,35,-9,22,1.16,https://fbref.com/en/squads/cd051869/2021-2022/Brentford-Stats
2021-2022,Premier League,results,results_home_away,2021-2022 Premier League Stats _ FBref.com.html,2026-09-20T20:41:03.543264+00:00,Aston Villa,Aston Villa,8602292d,14,19,6,5,8,29,29,0,23,1.21,19,7,1,11,23,25,-2,22,1.16,https://fbref.com/en/squads/8602292d/2021-2022/Aston-Villa-Stats
2021-2022,Premier League,results,results_home_away,2021-2022 Premier League Stats _ FBref.com.html,2026-09-20T20:41:03.543264+00:00,Southampton,Southampton,33c895d4,15,19,6,7,6,23,24,-1,25,1.32,19,3,6,10,20,43,-23,15,0.79,https://fbref.com/en/squads/33c895d4/2021-2022/Southampton-Stats
2021-2022,Premier League,results,results_home_away,2021-2022 Premier League Stats _ FBref.com.html,2026-09-20T20:41:03.543264+00:00,Everton,Everton,d3fd31cc,16,19,9,2,8,27,25,+2,29,1.53,19,2,4,13,16,41,-25,10,0.53,https://fbref.com/en/squads/d3fd31cc/2021-2022/Everton-Stats
2021-2022,Premier League,results,results_home_away,2021-2022 Premier League Stats _ FBref.com.html,2026-09-20T20:41:03.543264+00:00,Leeds United,Leeds,5bfb9659,17,19,4,6,9,19,38,-19,18,0.95,19,5,5,9,23,41,-18,20,1.05,https://fbref.com/en/squads/5bfb9659/2021-2022/Leeds-United-Stats
2021-2022,Premier League,results,results_home_away,2021-2022 Premier League Stats _ FBref.com.html,2026-09-20T20:41:03.543264+00:00,Burnley,Burnley,943e8050,18,19,5,6,8,18,25,-7,21,1.11,19,2,8,9,16,28,-12,14,0.74,https://fbref.com/en/squads/943e8050/2021-2022/Burnley-Stats
2021-2022,Premier League,results,results_home_away,2021-2022 Premier League Stats _ FBref.com.html,2026-09-20T20:41:03.543264+00:00,Watford,Watford,2abfe087,19,19,2,2,15,17,46,-29,8,0.42,19,4,3,12,17,31,-14,15,0.79,https://fbref.com/en/squads/2abfe087/2021-2022/Watford-Stats
2021-2022,Premier League,results,results_home_away,2021-2022 Premier League Stats _ FBref.com.html,2026-09-20T20:41:03.543264+00:00,Norwich City,Norwich,1c781004,20,19,3,3,13,12,43,-31,12,0.63,19,2,4,13,11,41,-30,10,0.53,https://fbref.com/en/squads/1c781004/2021-2022/Norwich-City-Stats
