season,competition,category,table_type,source_file,saved_at,team_fbref,team,team_fbref_id,players_used,avg_age,possession,games,games_starts,minutes,minutes_90s,goals,assists,goals_assists,goals_pens,pens_made,pens_att,cards_yellow,cards_red,goals_per90,assists_per90,goals_assists_per90,goals_pens_per90,goals_assists_pens_per90,team_href
2022-2023,Premier League,standard,squad_against,2022-2023 Premier League Stats _ FBref.com.html,2026-09-20T20:39:13.143768+00:00,Arsenal,Arsenal,18bb7c10,26,26.7,40.1,38,418,"3,420",38.0,42,27,69,39,3,5,84,1,1.11,0.71,1.82,1.03,1.74,https://fbref.com/en/squads/18bb7c10/2022-2023/Arsenal-Stats
2022-2023,Premier League,standard,squad_against,2022-2023 Premier League Stats _ FBref.com.html,2026-09-20T20:39:13.143768+00:00,Aston Villa,Aston Villa,8602292d,26,26.5,50.6,38,418,"3,420",38.0,42,25,67,37,5,6,85,3,1.11,0.66,1.76,0.97,1.63,https://fbref.com/en/squads/8602292d/2022-2023/Aston-Villa-Stats
2022-2023,Premier League,standard,squad_against,2022-2023 Premier League Stats _ FBref.com.html,2026-09-20T20:39:13.143768+00:00,Bournemouth,Bournemouth,4ba7cbea,31,26.6,59.9,38,418,"3,420",38.0,68,49,117,62,6,7,51,0,1.79,1.29,3.08,1.63,2.92,https://fbref.com/en/squads/4ba7cbea/2022-2023/Bournemouth-Stats
2022-2023,Premier League,standard,squad_against,2022-2023 Premier League Stats _ FBref.com.html,2026-09-20T20:39:13.143768+00:00,Brentford,Brentford,cd051869,25,26.6,56.6,38,418,"3,420",38.0,43,30,73,41,2,2,61,1,1.13,0.79,1.92,1.08,1.87,https://fbref.com/en/squads/cd051869/2022-2023/Brentford-Stats
2022-2023,Premier League,standard,squad_against,2022-2023 Premier League Stats _ FBref.com.html,2026-09-20T20:39:13.143768+00:00,Brighton,Brighton,d07537b9,29,26.5,39.5,38,418,"3,420",38.0,47,34,81,41,6,8,92,1,1.24,0.89,2.13,1.08,1.97,https://fbref.com/en/squads/d07537b9/2022-2023/Brighton-and-Hove-Albion-Stats
2022-2023,Premier League,standard,squad_against,2022-2023 Premier League Stats _ FBref.com.html,2026-09-20T20:39:13.143768+00:00,Chelsea,Chelsea,cff3d9bb,32,26.6,41.0,38,418,"3,420",38.0,44,32,76,43,1,1,69,1,1.16,0.84,2.00,1.13,1.97,https://fbref.com/en/squads/cff3d9bb/2022-2023/Chelsea-Stats
2022-2023,Premier League,standard,squad_against,2022-2023 Premier League Stats _ FBref.com.html,2026-09-20T20:39:13.143768+00:00,Crystal Palace,Crystal Palace,47c64c55,26,26.6,53.9,38,418,"3,420",38.0,46,32,78,42,4,4,83,3,1.21,0.84,2.05,1.11,1.95,https://fbref.com/en/squads/47c64c55/2022-2023/Crystal-Palace-Stats
2022-2023,Premier League,standard,squad_against,2022-2023 Premier League Stats _ FBref.com.html,2026-09-20T20:39:13.143768+00:00,Everton,Everton,d3fd31cc,28,26.5,57.4,38,418,"3,420",38.0,57,36,93,52,5,6,76,1,1.50,0.95,2.45,1.37,2.32,https://fbref.com/en/squads/d3fd31cc/2022-2023/Everton-Stats
2022-2023,Premier League,standard,squad_against,2022-2023 Premier League Stats _ FBref.com.html,2026-09-20T20:39:13.143768+00:00,Fulham,Fulham,fd962109,29,26.7,51.3,38,418,"3,420",38.0,51,30,81,44,7,8,57,5,1.34,0.79,2.13,1.16,1.95,https://fbref.com/en/squads/fd962109/2022-2023/Fulham-Stats
2022-2023,Premier League,standard,squad_against,2022-2023 Premier League Stats _ FBref.com.html,2026-09-20T20:39:13.143768+00:00,Leeds United,Leeds,5bfb9659,29,26.7,53.1,38,418,"3,420",38.0,77,50,127,72,5,6,66,3,2.03,1.32,3.34,1.89,3.21,https://fbref.com/en/squads/5bfb9659/2022-2023/Leeds-United-Stats
2022-2023,Premier League,standard,squad_against,2022-2023 Premier League Stats _ FBref.com.html,2026-09-20T20:39:13.143768+00:00,Leicester City,Leicester,a2d435b3,28,26.6,52.4,38,418,"3,420",38.0,63,46,109,59,4,5,64,2,1.66,1.21,2.87,1.55,2.76,https://fbref.com/en/squads/a2d435b3/2022-2023/Leicester-City-Stats
