season,competition,category,table_type,source_file,saved_at,team_fbref,team,team_fbref_id,players_used,avg_age,games,minutes,minutes_per_game,minutes_pct,minutes_90s,games_starts,minutes_per_start,games_complete,games_subs,minutes_per_sub,unused_subs,points_per_game,on_goals_for,on_goals_against,plus_minus,plus_minus_per90,team_href
2019-2020,Premier League,playing_time,squad_for,2019-2020 Premier League Stats _ FBref.com.html,2026-09-20T20:41:35.989478+00:00,Arsenal,Arsenal,18bb7c10,29,25.8,38,"3,420",90,100,38.0,418,83,,123,21,163,1.47,56,48,+8,+0.21,https://fbref.com/en/squads/18bb7c10/2019-2020/Arsenal-Stats
2019-2020,Premier League,playing_time,squad_for,2019-2020 Premier League Stats _ FBref.com.html,2026-09-20T20:41:35.989478+00:00,Aston Villa,Aston Villa,8602292d,28,25.7,38,"3,420",90,100,38.0,418,84,,113,22,173,0.92,41,67,-26,-0.68,https://fbref.com/en/squads/8602292d/2019-2020/Aston-Villa-Stats
2019-2020,Premier League,playing_time,squad_for,2019-2020 Premier League Stats _ FBref.com.html,2026-09-20T20:41:35.989478+00:00,Bournemouth,Bournemouth,4ba7cbea,27,25.2,38,"3,420",90,100,38.0,418,84,,108,23,176,0.89,40,65,-25,-0.66,https://fbref.com/en/squads/4ba7cbea/2019-2020/Bournemouth-Stats
2019-2020,Premier League,playing_time,squad_for,2019-2020 Premier League Stats _ FBref.com.html,2026-09-20T20:41:35.989478+00:00,Brighton,Brighton,d07537b9,25,26.4,38,"3,420",90,100,38.0,418,84,,128,20,155,1.08,39,54,-15,-0.39,https://fbref.com/en/squads/d07537b9/2019-2020/Brighton-and-Hove-Albion-Stats
2019-2020,Premier League,playing_time,squad_for,2019-2020 Premier League Stats _ FBref.com.html,2026-09-20T20:41:35.989478+00:00,Burnley,Burnley,943e8050,22,28.0,38,"3,420",90,100,38.0,418,86,,74,20,206,1.42,43,50,-7,-0.18,https://fbref.com/en/squads/943e8050/2019-2020/Burnley-Stats
2019-2020,Premier League,playing_time,squad_for,2019-2020 Premier League Stats _ FBref.com.html,2026-09-20T20:41:35.989478+00:00,Chelsea,Chelsea,cff3d9bb,27,25.5,38,"3,420",90,100,38.0,418,84,,117,20,166,1.74,69,54,+15,+0.39,https://fbref.com/en/squads/cff3d9bb/2019-2020/Chelsea-Stats
2019-2020,Premier League,playing_time,squad_for,2019-2020 Premier League Stats _ FBref.com.html,2026-09-20T20:41:35.989478+00:00,Crystal Palace,Crystal Palace,47c64c55,25,29.4,38,"3,420",90,100,38.0,418,85,,98,20,185,1.13,31,50,-19,-0.50,https://fbref.com/en/squads/47c64c55/2019-2020/Crystal-Palace-Stats
2019-2020,Premier League,playing_time,squad_for,2019-2020 Premier League Stats _ FBref.com.html,2026-09-20T20:41:35.989478+00:00,Everton,Everton,d3fd31cc,24,25.5,38,"3,420",90,100,38.0,418,83,,120,24,164,1.29,44,56,-12,-0.32,https://fbref.com/en/squads/d3fd31cc/2019-2020/Everton-Stats
2019-2020,Premier League,playing_time,squad_for,2019-2020 Premier League Stats _ FBref.com.html,2026-09-20T20:41:35.989478+00:00,Leicester City,Leicester,a2d435b3,24,26.1,38,"3,420",90,100,38.0,418,84,,112,21,172,1.63,67,41,+26,+0.68,https://fbref.com/en/squads/a2d435b3/2019-2020/Leicester-City-Stats
2019-2020,Premier League,playing_time,squad_for,2019-2020 Premier League Stats _ FBref.com.html,2026-09-20T20:41:35.989478+00:00,Liverpool,Liverpool,822bd0ba,24,26.6,38,"3,420",90,100,38.0,418,85,,127,17,157,2.61,85,33,+52,+1.37,https://fbref.com/en/squads/822bd0ba/2019-2020/Liverpool-Stats
2019-2020,Premier League,playing_time,squad_for,2019-2020 Premier League Stats _ FBref.com.html,2026-09-20T20:41:35.989478+00:00,Manchester City,Man City,b8fd03ef,24,26.9,38,"3,420",90,100,38.0,418,83,,120,22,166,2.13,102,35,+67,+1.76,https://fbref.com/en/squads/b8fd03ef/2019-2020/Manchester-City-Stats
2019-2020,Premier League,playing_time,squad_for,2019-2020 Premier League Stats _ FBref.com.html,2026-09-20T20:41:35.989478+00:00,Manchester Utd,Man Utd,19538871,29,24.8,38,"3,420",90,100,38.0,418,85,,119,16,165,1.74,66,36,+30,+0.79,https://fbref.com/en/squads/19538871/2019-2020/Manchester-United-Stats
2019-2020,Premier League,playing_time,squad_for,2019-2020 Premier League Stats _ FBref.com.html,2026-09-20T20:41:35.989478+00:00,Newcastle,Newcastle,b2b47a98,28,26.5,38,"3,420",90,100,38.0,418,84,,118,20,166,1.16,38,58,-20,-0.53,https://fbref.com/en/squads/b2b47a98/2019-2020/Newcastle-United-Stats
2019-2020,Premier League,playing_time,squad_for,2019-2020 Premier League Stats _ FBref.com.html,2026-09-20T20:41:35.989478+00:00,Norwich City,Norwich,1c781004,30,26.0,38,"3,420",90,100,38.0,418,85,,126,17,157,0.55,26,75,-49,-1.29,https://fbref.com/en/squads/1c781004/2019-2020/Norwich-City-Stats
2019-2020,Premier League,playing_time,squad_for,2019-2020 Premier League Stats _ FBref.com.html,2026-09-20T20:41:35.989478+00:00,Sheffield United,Sheffield Utd,1df6b87e,26,26.9,38,"3,420",90,100,38.0,418,84,,110,22,171,1.42,39,39,0,0.00,https://fbref.com/en/squads/1df6b87e/2019-2020/Sheffield-United-Stats
2019-2020,Premier League,playing_time,squad_for,2019-2020 Premier League Stats _ FBref.com.html,2026-09-20T20:41:35.989478+00:00,Southampton,Southampton,33c895d4,25,25.9,38,"3,420",90,100,38.0,418,85,,111,18,171,1.37,51,60,-9,-0.24,https://fbref.com/en/squads/33c895d4/2019-2020/Southampton-Stats
2019-2020,Premier League,playing_time,squad_for,2019-2020 Premier League Stats _ FBref.com.html,2026-09-20T20:41:35.989478+00:00,Tottenham,Spurs,361ca564,29,26.7,38,"3,420",90,100,38.0,418,85,,113,18,171,1.55,61,47,+14,+0.37,https://fbref.com/en/squads/361ca564/2019-2020/Tottenham-Hotspur-Stats
2019-2020,Premier League,playing_time,squad_for,2019-2020 Premier League Stats _ FBref.com.html,2026-09-20T20:41:35.989478+00:00,Watford,Watford,2abfe087,26,28.9,38,"3,420",90,100,38.0,418,84,,113,20,171,0.89,36,64,-28,-0.74,https://fbref.com/en/squads/2abfe087/2019-2020/Watford-Stats
2019-2020,Premier League,playing_time,squad_for,2019-2020 Premier League Stats _ FBref.com.html,2026-09-20T20:41:35.989478+00:00,West Ham,West Ham,7c21e445,29,27.4,38,"3,420",90,100,38.0,418,85,,107,21,177,1.03,49,62,-13,-0.34,https://fbref.com/en/squads/7c21e445/2019-2020/West-Ham-United-Stats
