season,competition,category,table_type,source_file,saved_at,team_fbref,team,team_fbref_id,players_used,gk_games,gk_games_starts,gk_minutes,minutes_90s,gk_goals_against,gk_goals_against_per90,gk_shots_on_target_against,gk_saves,gk_save_pct,gk_wins,gk_ties,gk_losses,gk_clean_sheets,gk_clean_sheets_pct,gk_pens_att,gk_pens_allowed,gk_pens_saved,gk_pens_missed,gk_pens_save_pct,team_href
2022-2023,Premier League,keeper,squad_against,2022-2023 Premier League Stats _ FBref.com.html,2026-09-20T20:39:13.143768+00:00,Arsenal,Arsenal,18bb7c10,1,38,38,"3,420",38.0,88,2.32,197,113,55.3,6,6,26,4,10.5,4,3,0,1,0.0,https://fbref.com/en/squads/18bb7c10/2022-2023/Arsenal-Stats
2022-2023,Premier League,keeper,squad_against,2022-2023 Premier League Stats _ FBref.com.html,2026-09-20T20:39:13.143768+00:00,Aston Villa,Aston Villa,8602292d,2,38,38,"3,420",38.0,51,1.34,148,99,65.5,13,7,18,8,21.1,4,3,0,1,0.0,https://fbref.com/en/squads/8602292d/2022-2023/Aston-Villa-Stats
2022-2023,Premier League,keeper,squad_against,2022-2023 Premier League Stats _ FBref.com.html,2026-09-20T20:39:13.143768+00:00,Bournemouth,Bournemouth,4ba7cbea,2,38,38,"3,420",38.0,37,0.97,126,89,70.6,21,6,11,18,47.4,0,0,0,0,,https://fbref.com/en/squads/4ba7cbea/2022-2023/Bournemouth-Stats
2022-2023,Premier League,keeper,squad_against,2022-2023 Premier League Stats _ FBref.com.html,2026-09-20T20:39:13.143768+00:00,Brentford,Brentford,cd051869,1,38,38,"3,420",38.0,58,1.53,155,98,62.6,9,14,15,9,23.7,8,7,1,0,12.5,https://fbref.com/en/squads/cd051869/2022-2023/Brentford-Stats
2022-2023,Premier League,keeper,squad_against,2022-2023 Premier League Stats _ FBref.com.html,2026-09-20T20:39:13.143768+00:00,Brighton,Brighton,d07537b9,2,38,38,"3,420",38.0,72,1.89,225,157,68.0,12,8,18,5,13.2,6,6,0,0,0.0,https://fbref.com/en/squads/d07537b9/2022-2023/Brighton-and-Hove-Albion-Stats
2022-2023,Premier League,keeper,squad_against,2022-2023 Premier League Stats _ FBref.com.html,2026-09-20T20:39:13.143768+00:00,Chelsea,Chelsea,cff3d9bb,2,38,38,"3,420",38.0,38,1.00,154,116,75.3,16,11,11,14,36.8,3,3,0,0,0.0,https://fbref.com/en/squads/cff3d9bb/2022-2023/Chelsea-Stats
2022-2023,Premier League,keeper,squad_against,2022-2023 Premier League Stats _ FBref.com.html,2026-09-20T20:39:13.143768+00:00,Crystal Palace,Crystal Palace,47c64c55,3,38,38,"3,420",38.0,40,1.05,135,96,70.4,15,12,11,16,42.1,3,1,1,1,50.0,https://fbref.com/en/squads/47c64c55/2022-2023/Crystal-Palace-Stats
2022-2023,Premier League,keeper,squad_against,2022-2023 Premier League Stats _ FBref.com.html,2026-09-20T20:39:13.143768+00:00,Everton,Everton,d3fd31cc,2,38,38,"3,420",38.0,34,0.89,146,114,76.7,18,12,8,14,36.8,3,3,0,0,0.0,https://fbref.com/en/squads/d3fd31cc/2022-2023/Everton-Stats
2022-2023,Premier League,keeper,squad_against,2022-2023 Premier League Stats _ FBref.com.html,2026-09-20T20:39:13.143768+00:00,Fulham,Fulham,fd962109,2,38,38,"3,420",38.0,55,1.45,145,90,62.1,16,7,15,9,23.7,9,5,3,1,37.5,https://fbref.com/en/squads/fd962109/2022-2023/Fulham-Stats
2022-2023,Premier League,keeper,squad_against,2022-2023 Premier League Stats _ FBref.com.html,2026-09-20T20:39:13.143768+00:00,Leeds United,Leeds,5bfb9659,2,38,38,"3,420",38.0,48,1.26,145,97,66.9,21,10,7,10,26.3,3,1,1,1,50.0,https://fbref.com/en/squads/5bfb9659/2022-2023/Leeds-United-Stats
2022-2023,Premier League,keeper,squad_against,2022-2023 Premier League Stats _ FBref.com.html,2026-09-20T20:39:13.143768+00:00,Leicester City,Leicester,a2d435b3,2,38,38,"3,420",38.0,51,1.34,148,96,65.5,22,7,9,12,31.6,6,3,3,0,50.0,https://fbref.com/en/squads/a2d435b3/2022-2023/Leicester-City-Stats
2022-2023,Premier League,keeper,squad_against,2022-2023 Premier League Stats _ FBref.com.html,2026-09-20T20:39:13.143768+00:00,Liverpool,Liverpool,822bd0ba,2,38,38,"3,418",38.0,75,1.97,205,134,63.4,9,10,19,8,21.1,4,2,0,2,0.0,https://fbref.com/en/squads/822bd0ba/2022-2023/Liverpool-Stats
2022-2023,Premier League,keeper,squad_against,2022-2023 Premier League Stats _ FBref.com.html,2026-09-20T20:39:13.143768+00:00,Manchester City,Man City,b8fd03ef,2,38,38,"3,420",38.0,94,2.47,214,122,56.1,5,5,28,3,7.9,10,9,0,1,0.0,https://fbref.com/en/squads/b8fd03ef/2022-2023/Manchester-City-Stats
