season,competition,category,table_type,source_file,saved_at,team_fbref,team,team_fbref_id,players_used,minutes_90s,goals,shots,shots_on_target,shots_on_target_pct,shots_per90,shots_on_target_per90,goals_per_shot,goals_per_shot_on_target,pens_made,pens_att,team_href
2016-2017,Premier League,shooting,squad_against,2016-2017 Premier League Stats _ FBref.com.html,2026-09-20T20:42:19.700222+00:00,Arsenal,Arsenal,18bb7c10,29,38.0,43,433,168,38.8,11.39,4.42,0.10,0.26,10,10,https://fbref.com/en/squads/18bb7c10/2016-2017/Arsenal-Stats
2016-2017,Premier League,shooting,squad_against,2016-2017 Premier League Stats _ FBref.com.html,2026-09-20T20:42:19.700222+00:00,Bournemouth,Bournemouth,4ba7cbea,27,38.0,63,552,189,34.2,14.53,4.97,0.11,0.33,2,5,https://fbref.com/en/squads/4ba7cbea/2016-2017/Bournemouth-Stats
2016-2017,Premier League,shooting,squad_against,2016-2017 Premier League Stats _ FBref.com.html,2026-09-20T20:42:19.700222+00:00,Burnley,Burnley,943e8050,27,38.0,53,670,212,31.6,17.63,5.58,0.08,0.25,4,5,https://fbref.com/en/squads/943e8050/2016-2017/Burnley-Stats
2016-2017,Premier League,shooting,squad_against,2016-2017 Premier League Stats _ FBref.com.html,2026-09-20T20:42:19.700222+00:00,Chelsea,Chelsea,cff3d9bb,24,38.0,32,324,106,32.7,8.53,2.79,0.10,0.30,2,2,https://fbref.com/en/squads/cff3d9bb/2016-2017/Chelsea-Stats
2016-2017,Premier League,shooting,squad_against,2016-2017 Premier League Stats _ FBref.com.html,2026-09-20T20:42:19.700222+00:00,Crystal Palace,Crystal Palace,47c64c55,31,38.0,63,517,177,34.2,13.61,4.66,0.12,0.36,2,2,https://fbref.com/en/squads/47c64c55/2016-2017/Crystal-Palace-Stats
2016-2017,Premier League,shooting,squad_against,2016-2017 Premier League Stats _ FBref.com.html,2026-09-20T20:42:19.700222+00:00,Everton,Everton,d3fd31cc,27,38.0,43,447,153,34.2,11.76,4.03,0.10,0.28,3,5,https://fbref.com/en/squads/d3fd31cc/2016-2017/Everton-Stats
2016-2017,Premier League,shooting,squad_against,2016-2017 Premier League Stats _ FBref.com.html,2026-09-20T20:42:19.700222+00:00,Hull City,Hull,bd8769d1,28,38.0,75,632,217,34.3,16.63,5.71,0.12,0.35,11,13,https://fbref.com/en/squads/bd8769d1/2016-2017/Hull-City-Stats
2016-2017,Premier League,shooting,squad_against,2016-2017 Premier League Stats _ FBref.com.html,2026-09-20T20:42:19.700222+00:00,Leicester City,Leicester,a2d435b3,25,38.0,61,555,192,34.6,14.61,5.05,0.11,0.32,3,3,https://fbref.com/en/squads/a2d435b3/2016-2017/Leicester-City-Stats
2016-2017,Premier League,shooting,squad_against,2016-2017 Premier League Stats _ FBref.com.html,2026-09-20T20:42:19.700222+00:00,Liverpool,Liverpool,822bd0ba,23,38.0,42,309,114,36.9,8.13,3.00,0.14,0.37,3,5,https://fbref.com/en/squads/822bd0ba/2016-2017/Liverpool-Stats
2016-2017,Premier League,shooting,squad_against,2016-2017 Premier League Stats _ FBref.com.html,2026-09-20T20:42:19.700222+00:00,Manchester City,Man City,b8fd03ef,25,38.0,38,303,106,35.0,7.97,2.79,0.13,0.36,2,5,https://fbref.com/en/squads/b8fd03ef/2016-2017/Manchester-City-Stats
2016-2017,Premier League,shooting,squad_against,2016-2017 Premier League Stats _ FBref.com.html,2026-09-20T20:42:19.700222+00:00,Manchester Utd,Man Utd,19538871,31,38.0,28,361,114,31.6,9.50,3.00,0.08,0.25,4,5,https://fbref.com/en/squads/19538871/2016-2017/Manchester-United-Stats
2016-2017,Premier League,shooting,squad_against,2016-2017 Premier League Stats _ FBref.com.html,2026-09-20T20:42:19.700222+00:00,Middlesbrough,Middlesbrough,7f59c601,27,38.0,53,552,172,31.2,14.53,4.53,0.10,0.31,4,5,https://fbref.com/en/squads/7f59c601/2016-2017/Middlesbrough-Stats
2016-2017,Premier League,shooting,squad_against,2016-2017 Premier League Stats _ FBref.com.html,2026-09-20T20:42:19.700222+00:00,Southampton,Southampton,33c895d4,26,38.0,48,434,129,29.7,11.42,3.39,0.11,0.37,6,9,https://fbref.com/en/squads/33c895d4/2016-2017/Southampton-Stats
2016-2017,Premier League,shooting,squad_against,2016-2017 Premier League Stats _ FBref.com.html,2026-09-20T20:42:19.700222+00:00,Stoke City,Stoke,17892952,26,38.0,51,537,183,34.1,14.13,4.82,0.09,0.28,1,2,https://fbref.com/en/squads/17892952/2016-2017/Stoke-City-Stats
2016-2017,Premier League,shooting,squad_against,2016-2017 Premier League Stats _ FBref.com.html,2026-09-20T20:42:19.700222+00:00,Sunderland,Sunderland,8ef52968,31,38.0,67,678,248,36.6,17.84,6.53,0.10,0.27,4,4,https://fbref.com/en/squads/8ef52968/2016-2017/Sunderland-Stats
2016-2017,Premier League,shooting,squad_against,2016-2017 Premier League Stats _ FBref.com.html,2026-09-20T20:42:19.700222+00:00,Swansea City,Swansea,fb10988f,27,38.0,65,520,187,36.0,13.68,4.92,0.13,0.35,6,8,https://fbref.com/en/squads/fb10988f/2016-2017/Swansea-City-Stats
2016-2017,Premier League,shooting,squad_against,2016-2017 Premier League Stats _ FBref.com.html,2026-09-20T20:42:19.700222+00:00,Tottenham,Spurs,361ca564,24,38.0,25,348,112,32.2,9.16,2.95,0.07,0.22,2,2,https://fbref.com/en/squads/361ca564/2016-2017/Tottenham-Hotspur-Stats
2016-2017,Premier League,shooting,squad_against,2016-2017 Premier League Stats _ FBref.com.html,2026-09-20T20:42:19.700222+00:00,Watford,Watford,2abfe087,33,38.0,66,538,190,35.3,14.16,5.00,0.12,0.35,3,4,https://fbref.com/en/squads/2abfe087/2016-2017/Watford-Stats
2016-2017,Premier League,shooting,squad_against,2016-2017 Premier League Stats _ FBref.com.html,2026-09-20T20:42:19.700222+00:00,West Brom,West Brom,60c6b05f,23,38.0,50,518,163,31.5,13.63,4.29,0.10,0.31,3,3,https://fbref.com/en/squads/60c6b05f/2016-2017/West-Bromwich-Albion-Stats
2016-2017,Premier League,shooting,squad_against,2016-2017 Premier League Stats _ FBref.com.html,2026-09-20T20:42:19.700222+00:00,West Ham,West Ham,7c21e445,29,38.0,64,503,182,36.2,13.24,4.79,0.13,0.35,5,8,https://fbref.com/en/squads/7c21e445/2016-2017/West-Ham-United-Stats
