season,competition,category,table_type,source_file,saved_at,team_fbref,team,team_fbref_id,players_used,minutes_90s,goals,shots,shots_on_target,shots_on_target_pct,shots_per90,shots_on_target_per90,goals_per_shot,goals_per_shot_on_target,pens_made,pens_att,team_href
2018-2019,Premier League,shooting,squad_for,2018-2019 Premier League Stats _ FBref.com.html,2026-09-20T20:41:51.232150+00:00,Arsenal,Arsenal,18bb7c10,28,38.0,69,462,159,34.4,12.16,4.18,0.15,0.43,4,5,https://fbref.com/en/squads/18bb7c10/2018-2019/Arsenal-Stats
2018-2019,Premier League,shooting,squad_for,2018-2019 Premier League Stats _ FBref.com.html,2026-09-20T20:41:51.232150+00:00,Bournemouth,Bournemouth,4ba7cbea,28,38.0,55,437,153,35.0,11.50,4.03,0.13,0.36,7,9,https://fbref.com/en/squads/4ba7cbea/2018-2019/Bournemouth-Stats
2018-2019,Premier League,shooting,squad_for,2018-2019 Premier League Stats _ FBref.com.html,2026-09-20T20:41:51.232150+00:00,Brighton,Brighton,d07537b9,21,38.0,35,364,99,27.2,9.58,2.61,0.10,0.35,5,6,https://fbref.com/en/squads/d07537b9/2018-2019/Brighton-and-Hove-Albion-Stats
2018-2019,Premier League,shooting,squad_for,2018-2019 Premier League Stats _ FBref.com.html,2026-09-20T20:41:51.232150+00:00,Burnley,Burnley,943e8050,23,38.0,43,358,112,31.3,9.42,2.95,0.12,0.38,2,2,https://fbref.com/en/squads/943e8050/2018-2019/Burnley-Stats
2018-2019,Premier League,shooting,squad_for,2018-2019 Premier League Stats _ FBref.com.html,2026-09-20T20:41:51.232150+00:00,Cardiff City,Cardiff,75fae011,25,38.0,33,413,113,27.4,10.87,2.97,0.08,0.29,3,4,https://fbref.com/en/squads/75fae011/2018-2019/Cardiff-City-Stats
2018-2019,Premier League,shooting,squad_for,2018-2019 Premier League Stats _ FBref.com.html,2026-09-20T20:41:51.232150+00:00,Chelsea,Chelsea,cff3d9bb,24,38.0,61,602,192,31.9,15.84,5.05,0.10,0.32,5,5,https://fbref.com/en/squads/cff3d9bb/2018-2019/Chelsea-Stats
2018-2019,Premier League,shooting,squad_for,2018-2019 Premier League Stats _ FBref.com.html,2026-09-20T20:41:51.232150+00:00,Crystal Palace,Crystal Palace,47c64c55,26,38.0,48,482,135,28.0,12.68,3.55,0.10,0.36,10,11,https://fbref.com/en/squads/47c64c55/2018-2019/Crystal-Palace-Stats
2018-2019,Premier League,shooting,squad_for,2018-2019 Premier League Stats _ FBref.com.html,2026-09-20T20:41:51.232150+00:00,Everton,Everton,d3fd31cc,23,38.0,53,493,163,33.1,12.97,4.29,0.11,0.33,2,5,https://fbref.com/en/squads/d3fd31cc/2018-2019/Everton-Stats
2018-2019,Premier League,shooting,squad_for,2018-2019 Premier League Stats _ FBref.com.html,2026-09-20T20:41:51.232150+00:00,Fulham,Fulham,fd962109,28,38.0,33,451,140,31.0,11.87,3.68,0.07,0.24,2,3,https://fbref.com/en/squads/fd962109/2018-2019/Fulham-Stats
2018-2019,Premier League,shooting,squad_for,2018-2019 Premier League Stats _ FBref.com.html,2026-09-20T20:41:51.232150+00:00,Huddersfield,Huddersfield,f5922ca5,31,38.0,21,400,116,29.0,10.53,3.05,0.05,0.18,1,1,https://fbref.com/en/squads/f5922ca5/2018-2019/Huddersfield-Town-Stats
2018-2019,Premier League,shooting,squad_for,2018-2019 Premier League Stats _ FBref.com.html,2026-09-20T20:41:51.232150+00:00,Leicester City,Leicester,a2d435b3,25,38.0,48,508,173,34.1,13.37,4.55,0.09,0.28,5,7,https://fbref.com/en/squads/a2d435b3/2018-2019/Leicester-City-Stats
