season,competition,category,table_type,source_file,saved_at,team_fbref,team,team_fbref_id,players_used,minutes_90s,cards_yellow,cards_red,cards_yellow_red,fouls,fouled,offsides,crosses,interceptions,tackles_won,pens_won,pens_conceded,own_goals,team_href
2023-2024,Premier League,misc,squad_for,2023-2024 Premier League Stats _ FBref.com.html,2026-09-20T20:39:02.383394+00:00,Arsenal,Arsenal,18bb7c10,25,38.0,64,2,1,391,394,87,670,292,348,9,3,1,https://fbref.com/en/squads/18bb7c10/2023-2024/Arsenal-Stats
2023-2024,Premier League,misc,squad_for,2023-2024 Premier League Stats _ FBref.com.html,2026-09-20T20:39:02.383394+00:00,Aston Villa,Aston Villa,8602292d,31,38.0,94,2,0,412,473,47,651,236,311,4,2,4,https://fbref.com/en/squads/8602292d/2023-2024/Aston-Villa-Stats
2023-2024,Premier League,misc,squad_for,2023-2024 Premier League Stats _ FBref.com.html,2026-09-20T20:39:02.383394+00:00,Bournemouth,Bournemouth,4ba7cbea,30,38.0,79,3,0,507,376,56,709,357,410,3,7,1,https://fbref.com/en/squads/4ba7cbea/2023-2024/Bournemouth-Stats
2023-2024,Premier League,misc,squad_for,2023-2024 Premier League Stats _ FBref.com.html,2026-09-20T20:39:02.383394+00:00,Brentford,Brentford,cd051869,28,38.0,89,2,0,385,419,70,706,378,399,3,2,0,https://fbref.com/en/squads/cd051869/2023-2024/Brentford-Stats
2023-2024,Premier League,misc,squad_for,2023-2024 Premier League Stats _ FBref.com.html,2026-09-20T20:39:02.383394+00:00,Brighton,Brighton,d07537b9,30,38.0,90,3,0,414,454,84,671,288,366,6,6,2,https://fbref.com/en/squads/d07537b9/2023-2024/Brighton-and-Hove-Albion-Stats
2023-2024,Premier League,misc,squad_for,2023-2024 Premier League Stats _ FBref.com.html,2026-09-20T20:39:02.383394+00:00,Burnley,Burnley,943e8050,31,38.0,77,7,3,429,353,76,550,280,342,3,7,3,https://fbref.com/en/squads/943e8050/2023-2024/Burnley-Stats
2023-2024,Premier League,misc,squad_for,2023-2024 Premier League Stats _ FBref.com.html,2026-09-20T20:39:02.383394+00:00,Chelsea,Chelsea,cff3d9bb,32,38.0,109,4,2,446,451,85,558,298,376,11,5,3,https://fbref.com/en/squads/cff3d9bb/2023-2024/Chelsea-Stats
2023-2024,Premier League,misc,squad_for,2023-2024 Premier League Stats _ FBref.com.html,2026-09-20T20:39:02.383394+00:00,Crystal Palace,Crystal Palace,47c64c55,26,38.0,73,2,2,457,427,72,583,323,464,4,3,2,https://fbref.com/en/squads/47c64c55/2023-2024/Crystal-Palace-Stats
2023-2024,Premier League,misc,squad_for,2023-2024 Premier League Stats _ FBref.com.html,2026-09-20T20:39:02.383394+00:00,Everton,Everton,d3fd31cc,26,38.0,82,1,1,457,361,89,752,358,442,2,8,3,https://fbref.com/en/squads/d3fd31cc/2023-2024/Everton-Stats
2023-2024,Premier League,misc,squad_for,2023-2024 Premier League Stats _ FBref.com.html,2026-09-20T20:39:02.383394+00:00,Fulham,Fulham,fd962109,25,38.0,84,4,3,384,364,51,736,371,384,2,8,4,https://fbref.com/en/squads/fd962109/2023-2024/Fulham-Stats
2023-2024,Premier League,misc,squad_for,2023-2024 Premier League Stats _ FBref.com.html,2026-09-20T20:39:02.383394+00:00,Liverpool,Liverpool,822bd0ba,30,38.0,69,5,2,463,376,100,817,292,418,8,1,2,https://fbref.com/en/squads/822bd0ba/2023-2024/Liverpool-Stats
