season,competition,category,table_type,source_file,saved_at,team_fbref,team,team_fbref_id,players_used,minutes_90s,cards_yellow,cards_red,cards_yellow_red,fouls,fouled,offsides,crosses,interceptions,tackles_won,pens_won,pens_conceded,own_goals,team_href
2021-2022,Premier League,misc,squad_against,2021-2022 Premier League Stats _ FBref.com.html,2026-09-20T20:41:03.543264+00:00,Arsenal,Arsenal,18bb7c10,27,38.0,69,3,2,375,346,64,606,364,339,5,8,1,https://fbref.com/en/squads/18bb7c10/2021-2022/Arsenal-Stats
2021-2022,Premier League,misc,squad_against,2021-2022 Premier League Stats _ FBref.com.html,2026-09-20T20:41:03.543264+00:00,Aston Villa,Aston Villa,8602292d,31,38.0,83,1,0,512,392,39,685,339,343,5,3,2,https://fbref.com/en/squads/8602292d/2021-2022/Aston-Villa-Stats
2021-2022,Premier League,misc,squad_against,2021-2022 Premier League Stats _ FBref.com.html,2026-09-20T20:41:03.543264+00:00,Brentford,Brentford,cd051869,29,38.0,50,3,0,377,357,71,812,381,285,5,6,2,https://fbref.com/en/squads/cd051869/2021-2022/Brentford-Stats
2021-2022,Premier League,misc,squad_against,2021-2022 Premier League Stats _ FBref.com.html,2026-09-20T20:41:03.543264+00:00,Brighton,Brighton,d07537b9,26,38.0,80,0,0,373,373,42,680,389,358,3,7,2,https://fbref.com/en/squads/d07537b9/2021-2022/Brighton-and-Hove-Albion-Stats
2021-2022,Premier League,misc,squad_against,2021-2022 Premier League Stats _ FBref.com.html,2026-09-20T20:41:03.543264+00:00,Burnley,Burnley,943e8050,23,38.0,44,0,0,339,381,54,861,280,306,3,2,2,https://fbref.com/en/squads/943e8050/2021-2022/Burnley-Stats
2021-2022,Premier League,misc,squad_against,2021-2022 Premier League Stats _ FBref.com.html,2026-09-20T20:41:03.543264+00:00,Chelsea,Chelsea,cff3d9bb,26,38.0,69,4,1,406,389,67,533,376,356,4,9,1,https://fbref.com/en/squads/cff3d9bb/2021-2022/Chelsea-Stats
2021-2022,Premier League,misc,squad_against,2021-2022 Premier League Stats _ FBref.com.html,2026-09-20T20:41:03.543264+00:00,Crystal Palace,Crystal Palace,47c64c55,24,38.0,74,3,2,499,391,53,664,378,440,2,8,0,https://fbref.com/en/squads/47c64c55/2021-2022/Crystal-Palace-Stats
2021-2022,Premier League,misc,squad_against,2021-2022 Premier League Stats _ FBref.com.html,2026-09-20T20:41:03.543264+00:00,Everton,Everton,d3fd31cc,33,38.0,72,0,0,400,345,43,719,333,336,1,7,1,https://fbref.com/en/squads/d3fd31cc/2021-2022/Everton-Stats
2021-2022,Premier League,misc,squad_against,2021-2022 Premier League Stats _ FBref.com.html,2026-09-20T20:41:03.543264+00:00,Leeds United,Leeds,5bfb9659,29,38.0,74,3,3,386,465,53,568,398,351,4,5,0,https://fbref.com/en/squads/5bfb9659/2021-2022/Leeds-United-Stats
2021-2022,Premier League,misc,squad_against,2021-2022 Premier League Stats _ FBref.com.html,2026-09-20T20:41:03.543264+00:00,Leicester City,Leicester,a2d435b3,28,38.0,60,0,0,406,350,73,738,400,370,7,2,0,https://fbref.com/en/squads/a2d435b3/2021-2022/Leicester-City-Stats
2021-2022,Premier League,misc,squad_against,2021-2022 Premier League Stats _ FBref.com.html,2026-09-20T20:41:03.543264+00:00,Liverpool,Liverpool,822bd0ba,27,38.0,63,3,0,311,348,144,460,487,350,0,8,0,https://fbref.com/en/squads/822bd0ba/2021-2022/Liverpool-Stats
2021-2022,Premier League,misc,squad_against,2021-2022 Premier League Stats _ FBref.com.html,2026-09-20T20:41:03.543264+00:00,Manchester City,Man City,b8fd03ef,26,38.0,68,3,2,342,306,94,397,374,359,1,9,3,https://fbref.com/en/squads/b8fd03ef/2021-2022/Manchester-City-Stats
2021-2022,Premier League,misc,squad_against,2021-2022 Premier League Stats _ FBref.com.html,2026-09-20T20:41:03.543264+00:00,Manchester Utd,Man Utd,19538871,29,38.0,48,1,0,333,386,72,648,430,347,3,5,1,https://fbref.com/en/squads/19538871/2021-2022/Manchester-United-Stats
2021-2022,Premier League,misc,squad_against,2021-2022 Premier League Stats _ FBref.com.html,2026-09-20T20:41:03.543264+00:00,Newcastle,Newcastle,b2b47a98,29,38.0,75,3,0,382,380,58,685,268,364,5,3,3,https://fbref.com/en/squads/b2b47a98/2021-2022/Newcastle-United-Stats
2021-2022,Premier League,misc,squad_against,2021-2022 Premier League Stats _ FBref.com.html,2026-09-20T20:41:03.543264+00:00,Norwich City,Norwich,1c781004,28,38.0,62,2,1,445,342,56,793,330,363,8,3,2,https://fbref.com/en/squads/1c781004/2021-2022/Norwich-City-Stats
2021-2022,Premier League,misc,squad_against,2021-2022 Premier League Stats _ FBref.com.html,2026-09-20T20:41:03.543264+00:00,Southampton,Southampton,33c895d4,25,38.0,64,1,1,377,390,65,721,349,357,2,4,2,https://fbref.com/en/squads/33c895d4/2021-2022/Southampton-Stats
2021-2022,Premier League,misc,squad_against,2021-2022 Premier League Stats _ FBref.com.html,2026-09-20T20:41:03.543264+00:00,Tottenham,Spurs,361ca564,25,38.0,83,6,4,411,369,43,740,368,369,0,5,6,https://fbref.com/en/squads/361ca564/2021-2022/Tottenham-Hotspur-Stats
2021-2022,Premier League,misc,squad_against,2021-2022 Premier League Stats _ FBref.com.html,2026-09-20T20:41:03.543264+00:00,Watford,Watford,2abfe087,30,38.0,64,1,1,364,428,55,801,347,438,6,2,1,https://fbref.com/en/squads/2abfe087/2021-2022/Watford-Stats
2021-2022,Premier League,misc,squad_against,2021-2022 Premier League Stats _ FBref.com.html,2026-09-20T20:41:03.543264+00:00,West Ham,West Ham,7c21e445,25,38.0,49,3,1,294,307,35,758,337,324,5,6,2,https://fbref.com/en/squads/7c21e445/2021-2022/West-Ham-United-Stats
2021-2022,Premier League,misc,squad_against,2021-2022 Premier League Stats _ FBref.com.html,2026-09-20T20:41:03.543264+00:00,Wolves,Wolves,8cec06e1,26,38.0,90,3,3,355,356,85,721,383,388,8,1,3,https://fbref.com/en/squads/8cec06e1/2021-2022/Wolverhampton-Wanderers-Stats
