season,competition,category,table_type,source_file,saved_at,team_fbref,team,team_fbref_id,players_used,gk_games,gk_games_starts,gk_minutes,minutes_90s,gk_goals_against,gk_goals_against_per90,gk_shots_on_target_against,gk_saves,gk_save_pct,gk_wins,gk_ties,gk_losses,gk_clean_sheets,gk_clean_sheets_pct,gk_pens_att,gk_pens_allowed,gk_pens_saved,gk_pens_missed,gk_pens_save_pct,team_href
2019-2020,Premier League,keeper,squad_against,2019-2020 Premier League Stats _ FBref.com.html,2026-09-20T20:41:35.989478+00:00,Arsenal,Arsenal,18bb7c10,2,38,38,"3,420",38.0,56,1.47,149,93,62.4,10,14,14,7,18.4,3,3,0,0,0.0,https://fbref.com/en/squads/18bb7c10/2019-2020/Arsenal-Stats
2019-2020,Premier League,keeper,squad_against,2019-2020 Premier League Stats _ FBref.com.html,2026-09-20T20:41:35.989478+00:00,Aston Villa,Aston Villa,8602292d,4,38,38,"3,420",38.0,41,1.08,149,108,72.5,21,8,9,11,28.9,3,1,1,1,50.0,https://fbref.com/en/squads/8602292d/2019-2020/Aston-Villa-Stats
2019-2020,Premier League,keeper,squad_against,2019-2020 Premier League Stats _ FBref.com.html,2026-09-20T20:41:35.989478+00:00,Bournemouth,Bournemouth,4ba7cbea,2,38,38,"3,420",38.0,40,1.05,121,83,66.9,22,7,9,15,39.5,4,4,0,0,0.0,https://fbref.com/en/squads/4ba7cbea/2019-2020/Bournemouth-Stats
2019-2020,Premier League,keeper,squad_against,2019-2020 Premier League Stats _ FBref.com.html,2026-09-20T20:41:35.989478+00:00,Brighton,Brighton,d07537b9,1,38,38,"3,418",38.0,39,1.03,141,105,72.3,15,14,9,13,34.2,2,1,1,0,50.0,https://fbref.com/en/squads/d07537b9/2019-2020/Brighton-and-Hove-Albion-Stats
2019-2020,Premier League,keeper,squad_against,2019-2020 Premier League Stats _ FBref.com.html,2026-09-20T20:41:35.989478+00:00,Burnley,Burnley,943e8050,1,38,38,"3,420",38.0,43,1.13,127,86,66.1,14,9,15,10,26.3,3,3,0,0,0.0,https://fbref.com/en/squads/943e8050/2019-2020/Burnley-Stats
2019-2020,Premier League,keeper,squad_against,2019-2020 Premier League Stats _ FBref.com.html,2026-09-20T20:41:35.989478+00:00,Chelsea,Chelsea,cff3d9bb,2,38,38,"3,420",38.0,69,1.82,217,148,68.2,12,6,20,7,18.4,7,7,0,0,0.0,https://fbref.com/en/squads/cff3d9bb/2019-2020/Chelsea-Stats
2019-2020,Premier League,keeper,squad_against,2019-2020 Premier League Stats _ FBref.com.html,2026-09-20T20:41:35.989478+00:00,Crystal Palace,Crystal Palace,47c64c55,2,38,38,"3,420",38.0,31,0.82,118,89,73.7,17,10,11,16,42.1,3,3,0,0,0.0,https://fbref.com/en/squads/47c64c55/2019-2020/Crystal-Palace-Stats
2019-2020,Premier League,keeper,squad_against,2019-2020 Premier League Stats _ FBref.com.html,2026-09-20T20:41:35.989478+00:00,Everton,Everton,d3fd31cc,1,38,38,"3,420",38.0,44,1.16,160,118,72.5,15,10,13,10,26.3,1,1,0,0,0.0,https://fbref.com/en/squads/d3fd31cc/2019-2020/Everton-Stats
2019-2020,Premier League,keeper,squad_against,2019-2020 Premier League Stats _ FBref.com.html,2026-09-20T20:41:35.989478+00:00,Leicester City,Leicester,a2d435b3,1,38,38,"3,420",38.0,67,1.76,190,123,64.7,12,8,18,9,23.7,7,5,2,0,28.6,https://fbref.com/en/squads/a2d435b3/2019-2020/Leicester-City-Stats
2019-2020,Premier League,keeper,squad_against,2019-2020 Premier League Stats _ FBref.com.html,2026-09-20T20:41:35.989478+00:00,Liverpool,Liverpool,822bd0ba,2,38,38,"3,420",38.0,85,2.24,229,146,62.9,3,3,32,3,7.9,5,5,0,0,0.0,https://fbref.com/en/squads/822bd0ba/2019-2020/Liverpool-Stats
