season,competition,category,table_type,source_file,saved_at,team_fbref,team,team_fbref_id,players_used,avg_age,possession,games,games_starts,minutes,minutes_90s,goals,assists,goals_assists,goals_pens,pens_made,pens_att,cards_yellow,cards_red,goals_per90,assists_per90,goals_assists_per90,goals_pens_per90,goals_assists_pens_per90,team_href
2017-2018,Premier League,standard,squad_against,2017-2018 Premier League Stats _ FBref.com.html,2026-09-20T20:42:06.730004+00:00,Arsenal,Arsenal,18bb7c10,30,27.0,38.6,38,418,"3,420",38.0,51,38,89,46,5,6,52,4,1.34,1.00,2.34,1.21,2.21,https://fbref.com/en/squads/18bb7c10/2017-2018/Arsenal-Stats
2017-2018,Premier League,standard,squad_against,2017-2018 Premier League Stats _ FBref.com.html,2026-09-20T20:42:06.730004+00:00,Bournemouth,Bournemouth,4ba7cbea,22,26.9,51.9,38,418,"3,420",38.0,60,44,104,58,2,3,73,1,1.58,1.16,2.74,1.53,2.68,https://fbref.com/en/squads/4ba7cbea/2017-2018/Bournemouth-Stats
2017-2018,Premier League,standard,squad_against,2017-2018 Premier League Stats _ FBref.com.html,2026-09-20T20:42:06.730004+00:00,Brighton,Brighton,d07537b9,24,27.0,56.3,38,418,"3,420",38.0,49,36,85,48,1,3,30,2,1.29,0.95,2.24,1.26,2.21,https://fbref.com/en/squads/d07537b9/2017-2018/Brighton-and-Hove-Albion-Stats
2017-2018,Premier League,standard,squad_against,2017-2018 Premier League Stats _ FBref.com.html,2026-09-20T20:42:06.730004+00:00,Burnley,Burnley,943e8050,24,27.0,56.3,38,418,"3,420",38.0,38,29,67,35,3,5,45,6,1.00,0.76,1.76,0.92,1.68,https://fbref.com/en/squads/943e8050/2017-2018/Burnley-Stats
2017-2018,Premier League,standard,squad_against,2017-2018 Premier League Stats _ FBref.com.html,2026-09-20T20:42:06.730004+00:00,Chelsea,Chelsea,cff3d9bb,26,26.9,44.4,38,418,"3,420",38.0,36,26,62,34,2,2,75,1,0.95,0.68,1.63,0.89,1.58,https://fbref.com/en/squads/cff3d9bb/2017-2018/Chelsea-Stats
2017-2018,Premier League,standard,squad_against,2017-2018 Premier League Stats _ FBref.com.html,2026-09-20T20:42:06.730004+00:00,Crystal Palace,Crystal Palace,47c64c55,28,27.0,54.8,38,418,"3,420",38.0,53,40,93,51,2,2,72,3,1.39,1.05,2.45,1.34,2.39,https://fbref.com/en/squads/47c64c55/2017-2018/Crystal-Palace-Stats
2017-2018,Premier League,standard,squad_against,2017-2018 Premier League Stats _ FBref.com.html,2026-09-20T20:42:06.730004+00:00,Everton,Everton,d3fd31cc,30,27.0,54.5,38,418,"3,420",38.0,58,51,109,55,3,5,49,5,1.53,1.34,2.87,1.45,2.79,https://fbref.com/en/squads/d3fd31cc/2017-2018/Everton-Stats
2017-2018,Premier League,standard,squad_against,2017-2018 Premier League Stats _ FBref.com.html,2026-09-20T20:42:06.730004+00:00,Huddersfield,Huddersfield,f5922ca5,25,27.0,54.3,38,418,"3,420",38.0,57,41,98,53,4,6,56,4,1.50,1.08,2.58,1.39,2.47,https://fbref.com/en/squads/f5922ca5/2017-2018/Huddersfield-Town-Stats
2017-2018,Premier League,standard,squad_against,2017-2018 Premier League Stats _ FBref.com.html,2026-09-20T20:42:06.730004+00:00,Leicester City,Leicester,a2d435b3,27,26.8,52.0,38,418,"3,420",38.0,58,47,105,56,2,4,52,1,1.53,1.24,2.76,1.47,2.71,https://fbref.com/en/squads/a2d435b3/2017-2018/Leicester-City-Stats
2017-2018,Premier League,standard,squad_against,2017-2018 Premier League Stats _ FBref.com.html,2026-09-20T20:42:06.730004+00:00,Liverpool,Liverpool,822bd0ba,27,27.1,39.7,38,418,"3,420",38.0,38,23,61,34,4,6,50,0,1.00,0.61,1.61,0.89,1.50,https://fbref.com/en/squads/822bd0ba/2017-2018/Liverpool-Stats
2017-2018,Premier League,standard,squad_against,2017-2018 Premier League Stats _ FBref.com.html,2026-09-20T20:42:06.730004+00:00,Manchester City,Man City,b8fd03ef,25,26.9,29.0,38,418,"3,420",38.0,25,17,42,25,0,2,77,3,0.66,0.45,1.11,0.66,1.11,https://fbref.com/en/squads/b8fd03ef/2017-2018/Manchester-City-Stats
2017-2018,Premier League,standard,squad_against,2017-2018 Premier League Stats _ FBref.com.html,2026-09-20T20:42:06.730004+00:00,Manchester Utd,Man Utd,19538871,27,26.9,45.3,38,418,"3,420",38.0,26,18,44,25,1,1,69,1,0.68,0.47,1.16,0.66,1.13,https://fbref.com/en/squads/19538871/2017-2018/Manchester-United-Stats
2017-2018,Premier League,standard,squad_against,2017-2018 Premier League Stats _ FBref.com.html,2026-09-20T20:42:06.730004+00:00,Newcastle,Newcastle,b2b47a98,27,26.9,58.3,38,418,"3,420",38.0,44,32,76,40,4,6,62,0,1.16,0.84,2.00,1.05,1.89,https://fbref.com/en/squads/b2b47a98/2017-2018/Newcastle-United-Stats
2017-2018,Premier League,standard,squad_against,2017-2018 Premier League Stats _ FBref.com.html,2026-09-20T20:42:06.730004+00:00,Southampton,Southampton,33c895d4,26,26.9,48.7,38,418,"3,420",38.0,56,43,99,55,1,2,51,2,1.47,1.13,2.61,1.45,2.58,https://fbref.com/en/squads/33c895d4/2017-2018/Southampton-Stats
2017-2018,Premier League,standard,squad_against,2017-2018 Premier League Stats _ FBref.com.html,2026-09-20T20:42:06.730004+00:00,Stoke City,Stoke,17892952,30,26.9,58.6,38,418,"3,420",38.0,66,49,115,61,5,5,49,0,1.74,1.29,3.03,1.61,2.89,https://fbref.com/en/squads/17892952/2017-2018/Stoke-City-Stats
