season,competition,category,table_type,source_file,saved_at,team_fbref,team,team_fbref_id,players_used,minutes_90s,cards_yellow,cards_red,cards_yellow_red,fouls,fouled,offsides,crosses,interceptions,tackles_won,pens_won,pens_conceded,own_goals,team_href
2020-2021,Premier League,misc,squad_against,2020-2021 Premier League Stats _ FBref.com.html,2026-09-20T20:41:23.578122+00:00,Arsenal,Arsenal,18bb7c10,29,38.0,74,2,1,421,335,53,652,369,285,3,6,2,https://fbref.com/en/squads/18bb7c10/2020-2021/Arsenal-Stats
2020-2021,Premier League,misc,squad_against,2020-2021 Premier League Stats _ FBref.com.html,2026-09-20T20:41:23.578122+00:00,Aston Villa,Aston Villa,8602292d,24,38.0,73,7,2,568,419,47,784,355,322,5,6,3,https://fbref.com/en/squads/8602292d/2020-2021/Aston-Villa-Stats
2020-2021,Premier League,misc,squad_against,2020-2021 Premier League Stats _ FBref.com.html,2026-09-20T20:41:23.578122+00:00,Brighton,Brighton,d07537b9,27,38.0,51,2,0,376,406,54,625,456,316,6,9,1,https://fbref.com/en/squads/d07537b9/2020-2021/Brighton-and-Hove-Albion-Stats
2020-2021,Premier League,misc,squad_against,2020-2021 Premier League Stats _ FBref.com.html,2026-09-20T20:41:23.578122+00:00,Burnley,Burnley,943e8050,25,38.0,32,2,0,403,364,79,801,308,261,3,3,1,https://fbref.com/en/squads/943e8050/2020-2021/Burnley-Stats
2020-2021,Premier League,misc,squad_against,2020-2021 Premier League Stats _ FBref.com.html,2026-09-20T20:41:23.578122+00:00,Chelsea,Chelsea,cff3d9bb,27,38.0,56,3,1,377,415,54,533,430,313,4,10,2,https://fbref.com/en/squads/cff3d9bb/2020-2021/Chelsea-Stats
2020-2021,Premier League,misc,squad_against,2020-2021 Premier League Stats _ FBref.com.html,2026-09-20T20:41:23.578122+00:00,Crystal Palace,Crystal Palace,47c64c55,24,38.0,44,4,1,455,387,46,795,378,400,3,4,2,https://fbref.com/en/squads/47c64c55/2020-2021/Crystal-Palace-Stats
2020-2021,Premier League,misc,squad_against,2020-2021 Premier League Stats _ FBref.com.html,2026-09-20T20:41:23.578122+00:00,Everton,Everton,d3fd31cc,29,38.0,66,1,0,409,372,42,746,357,314,4,5,2,https://fbref.com/en/squads/d3fd31cc/2020-2021/Everton-Stats
2020-2021,Premier League,misc,squad_against,2020-2021 Premier League Stats _ FBref.com.html,2026-09-20T20:41:23.578122+00:00,Fulham,Fulham,fd962109,28,38.0,40,1,0,387,462,103,693,404,373,6,6,1,https://fbref.com/en/squads/fd962109/2020-2021/Fulham-Stats
2020-2021,Premier League,misc,squad_against,2020-2021 Premier League Stats _ FBref.com.html,2026-09-20T20:41:23.578122+00:00,Leeds United,Leeds,5bfb9659,23,38.0,49,2,1,432,422,53,613,426,318,8,4,2,https://fbref.com/en/squads/5bfb9659/2020-2021/Leeds-United-Stats
2020-2021,Premier League,misc,squad_against,2020-2021 Premier League Stats _ FBref.com.html,2026-09-20T20:41:23.578122+00:00,Leicester City,Leicester,a2d435b3,27,38.0,61,1,0,439,399,72,647,449,350,2,12,4,https://fbref.com/en/squads/a2d435b3/2020-2021/Leicester-City-Stats
2020-2021,Premier League,misc,squad_against,2020-2021 Premier League Stats _ FBref.com.html,2026-09-20T20:41:23.578122+00:00,Liverpool,Liverpool,822bd0ba,28,38.0,56,2,0,343,380,95,531,456,343,7,6,3,https://fbref.com/en/squads/822bd0ba/2020-2021/Liverpool-Stats
2020-2021,Premier League,misc,squad_against,2020-2021 Premier League Stats _ FBref.com.html,2026-09-20T20:41:23.578122+00:00,Manchester City,Man City,b8fd03ef,24,38.0,61,2,1,390,345,67,426,405,358,10,9,1,https://fbref.com/en/squads/b8fd03ef/2020-2021/Manchester-City-Stats
2020-2021,Premier League,misc,squad_against,2020-2021 Premier League Stats _ FBref.com.html,2026-09-20T20:41:23.578122+00:00,Manchester Utd,Man Utd,19538871,29,38.0,64,3,1,412,437,60,617,478,369,3,11,3,https://fbref.com/en/squads/19538871/2020-2021/Manchester-United-Stats
2020-2021,Premier League,misc,squad_against,2020-2021 Premier League Stats _ FBref.com.html,2026-09-20T20:41:23.578122+00:00,Newcastle,Newcastle,b2b47a98,27,38.0,60,3,1,432,369,70,844,372,276,3,7,2,https://fbref.com/en/squads/b2b47a98/2020-2021/Newcastle-United-Stats
2020-2021,Premier League,misc,squad_against,2020-2021 Premier League Stats _ FBref.com.html,2026-09-20T20:41:23.578122+00:00,Sheffield United,Sheffield Utd,1df6b87e,27,38.0,39,1,1,304,445,57,718,296,301,3,4,1,https://fbref.com/en/squads/1df6b87e/2020-2021/Sheffield-United-Stats
2020-2021,Premier League,misc,squad_against,2020-2021 Premier League Stats _ FBref.com.html,2026-09-20T20:41:23.578122+00:00,Southampton,Southampton,33c895d4,29,38.0,58,3,2,438,405,89,667,428,355,7,6,0,https://fbref.com/en/squads/33c895d4/2020-2021/Southampton-Stats
2020-2021,Premier League,misc,squad_against,2020-2021 Premier League Stats _ FBref.com.html,2026-09-20T20:41:23.578122+00:00,Tottenham,Spurs,361ca564,24,38.0,77,1,0,495,428,76,754,429,381,8,5,2,https://fbref.com/en/squads/361ca564/2020-2021/Tottenham-Hotspur-Stats
2020-2021,Premier League,misc,squad_against,2020-2021 Premier League Stats _ FBref.com.html,2026-09-20T20:41:23.578122+00:00,West Brom,West Brom,60c6b05f,30,38.0,50,1,1,431,382,60,841,328,328,7,4,2,https://fbref.com/en/squads/60c6b05f/2020-2021/West-Bromwich-Albion-Stats
2020-2021,Premier League,misc,squad_against,2020-2021 Premier League Stats _ FBref.com.html,2026-09-20T20:41:23.578122+00:00,West Ham,West Ham,7c21e445,24,38.0,52,1,1,366,352,59,740,364,328,5,4,2,https://fbref.com/en/squads/7c21e445/2020-2021/West-Ham-United-Stats
2020-2021,Premier League,misc,squad_against,2020-2021 Premier League Stats _ FBref.com.html,2026-09-20T20:41:23.578122+00:00,Wolves,Wolves,8cec06e1,27,38.0,62,6,1,405,409,65,736,345,339,7,4,2,https://fbref.com/en/squads/8cec06e1/2020-2021/Wolverhampton-Wanderers-Stats
