season,competition,category,table_type,source_file,saved_at,team_fbref,team,team_fbref_id,rank,home_games,home_wins,home_ties,home_losses,home_goals_for,home_goals_against,home_goal_diff,home_points,home_points_avg,away_games,away_wins,away_ties,away_losses,away_goals_for,away_goals_against,away_goal_diff,away_points,away_points_avg,team_href
2023-2024,Premier League,results,results_home_away,2023-2024 Premier League Stats _ FBref.com.html,2026-09-20T20:39:02.383394+00:00,Manchester City,Man City,b8fd03ef,1,19,14,5,0,51,16,+35,47,2.47,19,14,2,3,45,18,+27,44,2.32,https://fbref.com/en/squads/b8fd03ef/2023-2024/Manchester-City-Stats
2023-2024,Premier League,results,results_home_away,2023-2024 Premier League Stats _ FBref.com.html,2026-09-20T20:39:02.383394+00:00,Arsenal,Arsenal,18bb7c10,2,19,15,2,2,48,16,+32,47,2.47,19,13,3,3,43,13,+30,42,2.21,https://fbref.com/en/squads/18bb7c10/2023-2024/Arsenal-Stats
2023-2024,Premier League,results,results_home_away,2023-2024 Premier League Stats _ FBref.com.html,2026-09-20T20:39:02.383394+00:00,Liverpool,Liverpool,822bd0ba,3,19,15,3,1,49,17,+32,48,2.53,19,9,7,3,37,24,+13,34,1.79,https://fbref.com/en/squads/822bd0ba/2023-2024/Liverpool-Stats
2023-2024,Premier League,results,results_home_away,2023-2024 Premier League Stats _ FBref.com.html,2026-09-20T20:39:02.383394+00:00,Aston Villa,Aston Villa,8602292d,4,19,12,4,3,48,28,+20,40,2.11,19,8,4,7,28,33,-5,28,1.47,https://fbref.com/en/squads/8602292d/2023-2024/Aston-Villa-Stats
2023-2024,Premier League,results,results_home_away,2023-2024 Premier League Stats _ FBref.com.html,2026-09-20T20:39:02.383394+00:00,Tottenham,Spurs,361ca564,5,19,13,0,6,38,27,+11,39,2.05,19,7,6,6,36,34,+2,27,1.42,https://fbref.com/en/squads/361ca564/2023-2024/Tottenham-Hotspur-Stats
2023-2024,Premier League,results,results_home_away,2023-2024 Premier League Stats _ FBref.com.html,2026-09-20T20:39:02.383394+00:00,Chelsea,Chelsea,cff3d9bb,6,19,11,4,4,44,26,+18,37,1.95,19,7,5,7,33,37,-4,26,1.37,https://fbref.com/en/squads/cff3d9bb/2023-2024/Chelsea-Stats
2023-2024,Premier League,results,results_home_away,2023-2024 Premier League Stats _ FBref.com.html,2026-09-20T20:39:02.383394+00:00,Newcastle,Newcastle,b2b47a98,7,19,12,4,3,49,22,+27,40,2.11,19,6,2,11,36,40,-4,20,1.05,https://fbref.com/en/squads/b2b47a98/2023-2024/Newcastle-United-Stats
2023-2024,Premier League,results,results_home_away,2023-2024 Premier League Stats _ FBref.com.html,2026-09-20T20:39:02.383394+00:00,Manchester Utd,Man Utd,19538871,8,19,10,3,6,31,28,+3,33,1.74,19,8,3,8,26,30,-4,27,1.42,https://fbref.com/en/squads/19538871/2023-2024/Manchester-United-Stats
2023-2024,Premier League,results,results_home_away,2023-2024 Premier League Stats _ FBref.com.html,2026-09-20T20:39:02.383394+00:00,West Ham,West Ham,7c21e445,9,19,7,8,4,31,28,+3,29,1.53,19,7,2,10,29,46,-17,23,1.21,https://fbref.com/en/squads/7c21e445/2023-2024/West-Ham-United-Stats
2023-2024,Premier League,results,results_home_away,2023-2024 Premier League Stats _ FBref.com.html,2026-09-20T20:39:02.383394+00:00,Crystal Palace,Crystal Palace,47c64c55,10,19,8,4,7,37,26,+11,28,1.47,19,5,6,8,20,32,-12,21,1.11,https://fbref.com/en/squads/47c64c55/2023-2024/Crystal-Palace-Stats
2023-2024,Premier League,results,results_home_away,2023-2024 Premier League Stats _ FBref.com.html,2026-09-20T20:39:02.383394+00:00,Brighton,Brighton,d07537b9,11,19,8,6,5,30,27,+3,30,1.58,19,4,6,9,25,35,-10,18,0.95,https://fbref.com/en/squads/d07537b9/2023-2024/Brighton-and-Hove-Albion-Stats
2023-2024,Premier League,results,results_home_away,2023-2024 Premier League Stats _ FBref.com.html,2026-09-20T20:39:02.383394+00:00,Bournemouth,Bournemouth,4ba7cbea,12,19,7,6,6,27,28,-1,27,1.42,19,6,3,10,27,39,-12,21,1.11,https://fbref.com/en/squads/4ba7cbea/2023-2024/Bournemouth-Stats
2023-2024,Premier League,results,results_home_away,2023-2024 Premier League Stats _ FBref.com.html,2026-09-20T20:39:02.383394+00:00,Fulham,Fulham,fd962109,13,19,9,2,8,31,24,+7,29,1.53,19,4,6,9,24,37,-13,18,0.95,https://fbref.com/en/squads/fd962109/2023-2024/Fulham-Stats
