season,competition,category,table_type,source_file,saved_at,team_fbref,team,team_fbref_id,rank,home_games,home_wins,home_ties,home_losses,home_goals_for,home_goals_against,home_goal_diff,home_points,home_points_avg,away_games,away_wins,away_ties,away_losses,away_goals_for,away_goals_against,away_goal_diff,away_points,away_points_avg,team_href
2017-2018,Premier League,results,results_home_away,2017-2018 Premier League Stats _ FBref.com.html,2026-09-20T20:42:06.730004+00:00,Manchester City,Man City,b8fd03ef,1,19,16,2,1,61,14,+47,50,2.63,19,16,2,1,45,13,+32,50,2.63,https://fbref.com/en/squads/b8fd03ef/2017-2018/Manchester-City-Stats
2017-2018,Premier League,results,results_home_away,2017-2018 Premier League Stats _ FBref.com.html,2026-09-20T20:42:06.730004+00:00,Manchester Utd,Man Utd,19538871,2,19,15,2,2,38,9,+29,47,2.47,19,10,4,5,30,19,+11,34,1.79,https://fbref.com/en/squads/19538871/2017-2018/Manchester-United-Stats
2017-2018,Premier League,results,results_home_away,2017-2018 Premier League Stats _ FBref.com.html,2026-09-20T20:42:06.730004+00:00,Tottenham,Spurs,361ca564,3,19,13,4,2,40,16,+24,43,2.26,19,10,4,5,34,20,+14,34,1.79,https://fbref.com/en/squads/361ca564/2017-2018/Tottenham-Hotspur-Stats
2017-2018,Premier League,results,results_home_away,2017-2018 Premier League Stats _ FBref.com.html,2026-09-20T20:42:06.730004+00:00,Liverpool,Liverpool,822bd0ba,4,19,12,7,0,45,10,+35,43,2.26,19,9,5,5,39,28,+11,32,1.68,https://fbref.com/en/squads/822bd0ba/2017-2018/Liverpool-Stats
2017-2018,Premier League,results,results_home_away,2017-2018 Premier League Stats _ FBref.com.html,2026-09-20T20:42:06.730004+00:00,Chelsea,Chelsea,cff3d9bb,5,19,11,4,4,30,16,+14,37,1.95,19,10,3,6,32,22,+10,33,1.74,https://fbref.com/en/squads/cff3d9bb/2017-2018/Chelsea-Stats
2017-2018,Premier League,results,results_home_away,2017-2018 Premier League Stats _ FBref.com.html,2026-09-20T20:42:06.730004+00:00,Arsenal,Arsenal,18bb7c10,6,19,15,2,2,54,20,+34,47,2.47,19,4,4,11,20,31,-11,16,0.84,https://fbref.com/en/squads/18bb7c10/2017-2018/Arsenal-Stats
2017-2018,Premier League,results,results_home_away,2017-2018 Premier League Stats _ FBref.com.html,2026-09-20T20:42:06.730004+00:00,Burnley,Burnley,943e8050,7,19,7,5,7,16,17,-1,26,1.37,19,7,7,5,20,22,-2,28,1.47,https://fbref.com/en/squads/943e8050/2017-2018/Burnley-Stats
2017-2018,Premier League,results,results_home_away,2017-2018 Premier League Stats _ FBref.com.html,2026-09-20T20:42:06.730004+00:00,Everton,Everton,d3fd31cc,8,19,10,4,5,28,22,+6,34,1.79,19,3,6,10,16,36,-20,15,0.79,https://fbref.com/en/squads/d3fd31cc/2017-2018/Everton-Stats
2017-2018,Premier League,results,results_home_away,2017-2018 Premier League Stats _ FBref.com.html,2026-09-20T20:42:06.730004+00:00,Leicester City,Leicester,a2d435b3,9,19,7,6,6,25,22,+3,27,1.42,19,5,5,9,31,38,-7,20,1.05,https://fbref.com/en/squads/a2d435b3/2017-2018/Leicester-City-Stats
2017-2018,Premier League,results,results_home_away,2017-2018 Premier League Stats _ FBref.com.html,2026-09-20T20:42:06.730004+00:00,Newcastle,Newcastle,b2b47a98,10,19,8,4,7,21,17,+4,28,1.47,19,4,4,11,18,30,-12,16,0.84,https://fbref.com/en/squads/b2b47a98/2017-2018/Newcastle-United-Stats
