season,competition,category,table_type,source_file,saved_at,team_fbref,team,team_fbref_id,players_used,gk_games,gk_games_starts,gk_minutes,minutes_90s,gk_goals_against,gk_goals_against_per90,gk_shots_on_target_against,gk_saves,gk_save_pct,gk_wins,gk_ties,gk_losses,gk_clean_sheets,gk_clean_sheets_pct,gk_pens_att,gk_pens_allowed,gk_pens_saved,gk_pens_missed,gk_pens_save_pct,team_href
2024-2025,Premier League,keeper,squad_for,2024-2025 Premier League Stats _ FBref.com.html,2026-09-20T20:38:52.328259+00:00,Arsenal,Arsenal,18bb7c10,1,38,38,"3,420",38.0,34,0.89,120,86,71.7,20,14,4,13,34.2,3,3,0,0,0.0,https://fbref.com/en/squads/18bb7c10/2024-2025/Arsenal-Stats
2024-2025,Premier League,keeper,squad_for,2024-2025 Premier League Stats _ FBref.com.html,2026-09-20T20:38:52.328259+00:00,Aston Villa,Aston Villa,8602292d,2,38,38,"3,420",38.0,51,1.34,156,104,67.3,19,9,10,9,23.7,3,2,1,0,33.3,https://fbref.com/en/squads/8602292d/2024-2025/Aston-Villa-Stats
2024-2025,Premier League,keeper,squad_for,2024-2025 Premier League Stats _ FBref.com.html,2026-09-20T20:38:52.328259+00:00,Bournemouth,Bournemouth,4ba7cbea,3,38,38,"3,420",38.0,46,1.21,172,126,73.3,15,11,12,9,23.7,4,4,0,0,0.0,https://fbref.com/en/squads/4ba7cbea/2024-2025/Bournemouth-Stats
2024-2025,Premier League,keeper,squad_for,2024-2025 Premier League Stats _ FBref.com.html,2026-09-20T20:38:52.328259+00:00,Brentford,Brentford,cd051869,2,38,38,"3,420",38.0,57,1.50,207,153,72.5,16,8,14,8,21.1,1,1,0,0,0.0,https://fbref.com/en/squads/cd051869/2024-2025/Brentford-Stats
2024-2025,Premier League,keeper,squad_for,2024-2025 Premier League Stats _ FBref.com.html,2026-09-20T20:38:52.328259+00:00,Brighton,Brighton,d07537b9,2,38,38,"3,420",38.0,59,1.55,147,90,59.9,16,13,9,8,21.1,9,9,0,0,0.0,https://fbref.com/en/squads/d07537b9/2024-2025/Brighton-and-Hove-Albion-Stats
2024-2025,Premier League,keeper,squad_for,2024-2025 Premier League Stats _ FBref.com.html,2026-09-20T20:38:52.328259+00:00,Chelsea,Chelsea,cff3d9bb,2,38,38,"3,420",38.0,43,1.13,155,111,72.3,20,9,9,11,28.9,6,5,1,0,16.7,https://fbref.com/en/squads/cff3d9bb/2024-2025/Chelsea-Stats
2024-2025,Premier League,keeper,squad_for,2024-2025 Premier League Stats _ FBref.com.html,2026-09-20T20:38:52.328259+00:00,Crystal Palace,Crystal Palace,47c64c55,1,38,38,"3,420",38.0,51,1.34,152,101,66.4,13,14,11,11,28.9,2,1,1,0,50.0,https://fbref.com/en/squads/47c64c55/2024-2025/Crystal-Palace-Stats
2024-2025,Premier League,keeper,squad_for,2024-2025 Premier League Stats _ FBref.com.html,2026-09-20T20:38:52.328259+00:00,Everton,Everton,d3fd31cc,1,38,38,"3,420",38.0,44,1.16,163,117,73.0,11,15,12,12,31.6,2,0,2,0,100.0,https://fbref.com/en/squads/d3fd31cc/2024-2025/Everton-Stats
2024-2025,Premier League,keeper,squad_for,2024-2025 Premier League Stats _ FBref.com.html,2026-09-20T20:38:52.328259+00:00,Fulham,Fulham,fd962109,1,38,38,"3,420",38.0,54,1.42,159,106,66.0,15,9,14,5,13.2,4,3,1,0,25.0,https://fbref.com/en/squads/fd962109/2024-2025/Fulham-Stats
2024-2025,Premier League,keeper,squad_for,2024-2025 Premier League Stats _ FBref.com.html,2026-09-20T20:38:52.328259+00:00,Ipswich Town,Ipswich,b74092de,3,38,38,"3,420",38.0,82,2.16,210,130,61.0,4,10,24,2,5.3,6,6,0,0,0.0,https://fbref.com/en/squads/b74092de/2024-2025/Ipswich-Town-Stats
2024-2025,Premier League,keeper,squad_for,2024-2025 Premier League Stats _ FBref.com.html,2026-09-20T20:38:52.328259+00:00,Leicester City,Leicester,a2d435b3,3,38,38,"3,420",38.0,80,2.11,209,131,61.7,6,7,25,3,7.9,4,3,1,0,25.0,https://fbref.com/en/squads/a2d435b3/2024-2025/Leicester-City-Stats
2024-2025,Premier League,keeper,squad_for,2024-2025 Premier League Stats _ FBref.com.html,2026-09-20T20:38:52.328259+00:00,Liverpool,Liverpool,822bd0ba,3,38,38,"3,420",38.0,41,1.08,138,98,70.3,25,9,4,14,36.8,2,1,1,0,50.0,https://fbref.com/en/squads/822bd0ba/2024-2025/Liverpool-Stats
2024-2025,Premier League,keeper,squad_for,2024-2025 Premier League Stats _ FBref.com.html,2026-09-20T20:38:52.328259+00:00,Manchester City,Man City,b8fd03ef,2,38,38,"3,420",38.0,44,1.16,128,86,65.6,21,8,9,13,34.2,4,4,0,0,0.0,https://fbref.com/en/squads/b8fd03ef/2024-2025/Manchester-City-Stats
2024-2025,Premier League,keeper,squad_for,2024-2025 Premier League Stats _ FBref.com.html,2026-09-20T20:38:52.328259+00:00,Manchester Utd,Man Utd,19538871,2,38,38,"3,420",38.0,54,1.42,149,96,63.8,11,9,18,10,26.3,4,3,1,0,25.0,https://fbref.com/en/squads/19538871/2024-2025/Manchester-United-Stats
2024-2025,Premier League,keeper,squad_for,2024-2025 Premier League Stats _ FBref.com.html,2026-09-20T20:38:52.328259+00:00,Newcastle,Newcastle,b2b47a98,2,38,38,"3,420",38.0,47,1.24,161,115,70.8,20,6,12,13,34.2,2,1,1,0,50.0,https://fbref.com/en/squads/b2b47a98/2024-2025/Newcastle-United-Stats
2024-2025,Premier League,keeper,squad_for,2024-2025 Premier League Stats _ FBref.com.html,2026-09-20T20:38:52.328259+00:00,Nottingham,Nott'm Forest,e4a775cb,1,38,38,"3,420",38.0,46,1.21,165,119,72.1,19,8,11,13,34.2,3,3,0,0,0.0,https://fbref.com/en/squads/e4a775cb/2024-2025/Nottingham-Forest-Stats
2024-2025,Premier League,keeper,squad_for,2024-2025 Premier League Stats _ FBref.com.html,2026-09-20T20:38:52.328259+00:00,Southampton,Southampton,33c895d4,3,38,38,"3,420",38.0,86,2.26,245,157,64.9,2,6,30,3,7.9,9,7,2,0,22.2,https://fbref.com/en/squads/33c895d4/2024-2025/Southampton-Stats
2024-2025,Premier League,keeper,squad_for,2024-2025 Premier League Stats _ FBref.com.html,2026-09-20T20:38:52.328259+00:00,Tottenham,Spurs,361ca564,4,38,38,"3,420",38.0,65,1.71,180,119,63.9,11,5,22,6,15.8,3,3,0,0,0.0,https://fbref.com/en/squads/361ca564/2024-2025/Tottenham-Hotspur-Stats
2024-2025,Premier League,keeper,squad_for,2024-2025 Premier League Stats _ FBref.com.html,2026-09-20T20:38:52.328259+00:00,West Ham,West Ham,7c21e445,2,38,38,"3,420",38.0,62,1.63,189,127,67.2,11,10,17,7,18.4,3,3,0,0,0.0,https://fbref.com/en/squads/7c21e445/2024-2025/West-Ham-United-Stats
2024-2025,Premier League,keeper,squad_for,2024-2025 Premier League Stats _ FBref.com.html,2026-09-20T20:38:52.328259+00:00,Wolves,Wolves,8cec06e1,4,38,38,"3,420",38.0,69,1.82,168,100,58.9,12,6,20,8,21.1,9,7,2,0,22.2,https://fbref.com/en/squads/8cec06e1/2024-2025/Wolverhampton-Wanderers-Stats
