season,competition,category,table_type,source_file,saved_at,team_fbref,team,team_fbref_id,players_used,minutes_90s,cards_yellow,cards_red,cards_yellow_red,fouls,fouled,offsides,crosses,interceptions,tackles_won,pens_won,pens_conceded,own_goals,team_href
2016-2017,Premier League,misc,squad_against,2016-2017 Premier League Stats _ FBref.com.html,2026-09-20T20:42:19.700222+00:00,Arsenal,Arsenal,18bb7c10,29,38.0,77,4,1,408,378,105,756,609,524,10,7,4,https://fbref.com/en/squads/18bb7c10/2016-2017/Arsenal-Stats
2016-2017,Premier League,misc,squad_against,2016-2017 Premier League Stats _ FBref.com.html,2026-09-20T20:42:19.700222+00:00,Bournemouth,Bournemouth,4ba7cbea,27,38.0,87,3,2,503,350,84,786,589,524,3,10,2,https://fbref.com/en/squads/4ba7cbea/2016-2017/Bournemouth-Stats
2016-2017,Premier League,misc,squad_against,2016-2017 Premier League Stats _ FBref.com.html,2026-09-20T20:42:19.700222+00:00,Burnley,Burnley,943e8050,27,38.0,65,3,1,430,419,64,932,456,355,3,7,0,https://fbref.com/en/squads/943e8050/2016-2017/Burnley-Stats
2016-2017,Premier League,misc,squad_against,2016-2017 Premier League Stats _ FBref.com.html,2026-09-20T20:42:19.700222+00:00,Chelsea,Chelsea,cff3d9bb,24,38.0,84,4,2,496,377,68,648,585,511,2,4,1,https://fbref.com/en/squads/cff3d9bb/2016-2017/Chelsea-Stats
2016-2017,Premier League,misc,squad_against,2016-2017 Premier League Stats _ FBref.com.html,2026-09-20T20:42:19.700222+00:00,Crystal Palace,Crystal Palace,47c64c55,31,38.0,71,1,1,479,457,56,821,405,564,2,7,2,https://fbref.com/en/squads/47c64c55/2016-2017/Crystal-Palace-Stats
2016-2017,Premier League,misc,squad_against,2016-2017 Premier League Stats _ FBref.com.html,2026-09-20T20:42:19.700222+00:00,Everton,Everton,d3fd31cc,27,38.0,59,2,0,439,450,50,771,591,536,4,4,4,https://fbref.com/en/squads/d3fd31cc/2016-2017/Everton-Stats
2016-2017,Premier League,misc,squad_against,2016-2017 Premier League Stats _ FBref.com.html,2026-09-20T20:42:19.700222+00:00,Hull City,Hull,bd8769d1,28,38.0,56,2,2,413,384,61,879,511,423,10,3,1,https://fbref.com/en/squads/bd8769d1/2016-2017/Hull-City-Stats
2016-2017,Premier League,misc,squad_against,2016-2017 Premier League Stats _ FBref.com.html,2026-09-20T20:42:19.700222+00:00,Leicester City,Leicester,a2d435b3,25,38.0,56,0,0,347,435,74,892,526,450,3,6,2,https://fbref.com/en/squads/a2d435b3/2016-2017/Leicester-City-Stats
2016-2017,Premier League,misc,squad_against,2016-2017 Premier League Stats _ FBref.com.html,2026-09-20T20:42:19.700222+00:00,Liverpool,Liverpool,822bd0ba,23,38.0,73,1,0,408,384,106,561,602,557,4,8,1,https://fbref.com/en/squads/822bd0ba/2016-2017/Liverpool-Stats
2016-2017,Premier League,misc,squad_against,2016-2017 Premier League Stats _ FBref.com.html,2026-09-20T20:42:19.700222+00:00,Manchester City,Man City,b8fd03ef,25,38.0,92,1,0,443,386,90,519,630,536,5,9,5,https://fbref.com/en/squads/b8fd03ef/2016-2017/Manchester-City-Stats
2016-2017,Premier League,misc,squad_against,2016-2017 Premier League Stats _ FBref.com.html,2026-09-20T20:42:19.700222+00:00,Manchester Utd,Man Utd,19538871,31,38.0,71,4,1,462,481,50,623,548,508,3,4,0,https://fbref.com/en/squads/19538871/2016-2017/Manchester-United-Stats
2016-2017,Premier League,misc,squad_against,2016-2017 Premier League Stats _ FBref.com.html,2026-09-20T20:42:19.700222+00:00,Middlesbrough,Middlesbrough,7f59c601,27,38.0,63,0,0,418,468,84,858,489,454,5,2,1,https://fbref.com/en/squads/7f59c601/2016-2017/Middlesbrough-Stats
2016-2017,Premier League,misc,squad_against,2016-2017 Premier League Stats _ FBref.com.html,2026-09-20T20:42:19.700222+00:00,Southampton,Southampton,33c895d4,26,38.0,67,2,0,434,423,45,682,562,471,8,6,2,https://fbref.com/en/squads/33c895d4/2016-2017/Southampton-Stats
2016-2017,Premier League,misc,squad_against,2016-2017 Premier League Stats _ FBref.com.html,2026-09-20T20:42:19.700222+00:00,Stoke City,Stoke,17892952,26,38.0,80,2,1,455,419,82,771,498,478,2,6,4,https://fbref.com/en/squads/17892952/2016-2017/Stoke-City-Stats
2016-2017,Premier League,misc,squad_against,2016-2017 Premier League Stats _ FBref.com.html,2026-09-20T20:42:19.700222+00:00,Sunderland,Sunderland,8ef52968,31,38.0,58,1,1,415,428,61,928,470,450,3,4,1,https://fbref.com/en/squads/8ef52968/2016-2017/Sunderland-Stats
2016-2017,Premier League,misc,squad_against,2016-2017 Premier League Stats _ FBref.com.html,2026-09-20T20:42:19.700222+00:00,Swansea City,Swansea,fb10988f,27,38.0,65,1,0,444,396,86,752,563,485,7,3,0,https://fbref.com/en/squads/fb10988f/2016-2017/Swansea-City-Stats
2016-2017,Premier League,misc,squad_against,2016-2017 Premier League Stats _ FBref.com.html,2026-09-20T20:42:19.700222+00:00,Tottenham,Spurs,361ca564,24,38.0,90,3,2,479,420,110,591,634,604,2,9,2,https://fbref.com/en/squads/361ca564/2016-2017/Tottenham-Hotspur-Stats
2016-2017,Premier League,misc,squad_against,2016-2017 Premier League Stats _ FBref.com.html,2026-09-20T20:42:19.700222+00:00,Watford,Watford,2abfe087,33,38.0,62,3,1,443,501,86,862,477,494,3,3,1,https://fbref.com/en/squads/2abfe087/2016-2017/Watford-Stats
2016-2017,Premier League,misc,squad_against,2016-2017 Premier League Stats _ FBref.com.html,2026-09-20T20:42:19.700222+00:00,West Brom,West Brom,60c6b05f,23,38.0,55,3,2,369,440,55,873,469,486,3,1,0,https://fbref.com/en/squads/60c6b05f/2016-2017/West-Bromwich-Albion-Stats
2016-2017,Premier League,misc,squad_against,2016-2017 Premier League Stats _ FBref.com.html,2026-09-20T20:42:19.700222+00:00,West Ham,West Ham,7c21e445,29,38.0,83,1,1,485,395,74,734,416,489,7,5,1,https://fbref.com/en/squads/7c21e445/2016-2017/West-Ham-United-Stats
