season,competition,category,table_type,source_file,saved_at,team_fbref,team,team_fbref_id,rank,home_games,home_wins,home_ties,home_losses,home_goals_for,home_goals_against,home_goal_diff,home_points,home_points_avg,away_games,away_wins,away_ties,away_losses,away_goals_for,away_goals_against,away_goal_diff,away_points,away_points_avg,team_href
2016-2017,Premier League,results,results_home_away,2016-2017 Premier League Stats _ FBref.com.html,2026-09-20T20:42:19.700222+00:00,Chelsea,Chelsea,cff3d9bb,1,19,17,0,2,55,17,+38,51,2.68,19,13,3,3,30,16,+14,42,2.21,https://fbref.com/en/squads/cff3d9bb/2016-2017/Chelsea-Stats
2016-2017,Premier League,results,results_home_away,2016-2017 Premier League Stats _ FBref.com.html,2026-09-20T20:42:19.700222+00:00,Tottenham,Spurs,361ca564,2,19,17,2,0,47,9,+38,53,2.79,19,9,6,4,39,17,+22,33,1.74,https://fbref.com/en/squads/361ca564/2016-2017/Tottenham-Hotspur-Stats
2016-2017,Premier League,results,results_home_away,2016-2017 Premier League Stats _ FBref.com.html,2026-09-20T20:42:19.700222+00:00,Manchester City,Man City,b8fd03ef,3,19,11,7,1,37,17,+20,40,2.11,19,12,2,5,43,22,+21,38,2.00,https://fbref.com/en/squads/b8fd03ef/2016-2017/Manchester-City-Stats
2016-2017,Premier League,results,results_home_away,2016-2017 Premier League Stats _ FBref.com.html,2026-09-20T20:42:19.700222+00:00,Liverpool,Liverpool,822bd0ba,4,19,12,5,2,45,18,+27,41,2.16,19,10,5,4,33,24,+9,35,1.84,https://fbref.com/en/squads/822bd0ba/2016-2017/Liverpool-Stats
2016-2017,Premier League,results,results_home_away,2016-2017 Premier League Stats _ FBref.com.html,2026-09-20T20:42:19.700222+00:00,Arsenal,Arsenal,18bb7c10,5,19,14,3,2,39,16,+23,45,2.37,19,9,3,7,38,28,+10,30,1.58,https://fbref.com/en/squads/18bb7c10/2016-2017/Arsenal-Stats
2016-2017,Premier League,results,results_home_away,2016-2017 Premier League Stats _ FBref.com.html,2026-09-20T20:42:19.700222+00:00,Manchester Utd,Man Utd,19538871,6,19,8,10,1,26,12,+14,34,1.79,19,10,5,4,28,17,+11,35,1.84,https://fbref.com/en/squads/19538871/2016-2017/Manchester-United-Stats
2016-2017,Premier League,results,results_home_away,2016-2017 Premier League Stats _ FBref.com.html,2026-09-20T20:42:19.700222+00:00,Everton,Everton,d3fd31cc,7,19,13,4,2,42,16,+26,43,2.26,19,4,6,9,20,28,-8,18,0.95,https://fbref.com/en/squads/d3fd31cc/2016-2017/Everton-Stats
2016-2017,Premier League,results,results_home_away,2016-2017 Premier League Stats _ FBref.com.html,2026-09-20T20:42:19.700222+00:00,Southampton,Southampton,33c895d4,8,19,6,6,7,17,21,-4,24,1.26,19,6,4,9,24,27,-3,22,1.16,https://fbref.com/en/squads/33c895d4/2016-2017/Southampton-Stats
2016-2017,Premier League,results,results_home_away,2016-2017 Premier League Stats _ FBref.com.html,2026-09-20T20:42:19.700222+00:00,Bournemouth,Bournemouth,4ba7cbea,9,19,9,4,6,35,29,+6,31,1.63,19,3,6,10,20,38,-18,15,0.79,https://fbref.com/en/squads/4ba7cbea/2016-2017/Bournemouth-Stats
2016-2017,Premier League,results,results_home_away,2016-2017 Premier League Stats _ FBref.com.html,2026-09-20T20:42:19.700222+00:00,West Brom,West Brom,60c6b05f,10,19,9,2,8,27,22,+5,29,1.53,19,3,7,9,16,29,-13,16,0.84,https://fbref.com/en/squads/60c6b05f/2016-2017/West-Bromwich-Albion-Stats
