season,competition,category,table_type,source_file,saved_at,team_fbref,team,team_fbref_id,players_used,gk_games,gk_games_starts,gk_minutes,minutes_90s,gk_goals_against,gk_goals_against_per90,gk_shots_on_target_against,gk_saves,gk_save_pct,gk_wins,gk_ties,gk_losses,gk_clean_sheets,gk_clean_sheets_pct,gk_pens_att,gk_pens_allowed,gk_pens_saved,gk_pens_missed,gk_pens_save_pct,team_href
2023-2024,Premier League,keeper,squad_for,2023-2024 Premier League Stats _ FBref.com.html,2026-09-20T20:39:02.383394+00:00,Arsenal,Arsenal,18bb7c10,2,38,38,"3,420",38.0,29,0.76,83,54,65.1,28,5,5,18,47.4,3,2,1,0,33.3,https://fbref.com/en/squads/18bb7c10/2023-2024/Arsenal-Stats
2023-2024,Premier League,keeper,squad_for,2023-2024 Premier League Stats _ FBref.com.html,2026-09-20T20:39:02.383394+00:00,Aston Villa,Aston Villa,8602292d,2,38,38,"3,420",38.0,61,1.61,173,115,64.7,20,8,10,8,21.1,2,1,1,0,50.0,https://fbref.com/en/squads/8602292d/2023-2024/Aston-Villa-Stats
2023-2024,Premier League,keeper,squad_for,2023-2024 Premier League Stats _ FBref.com.html,2026-09-20T20:39:02.383394+00:00,Bournemouth,Bournemouth,4ba7cbea,3,38,38,"3,420",38.0,67,1.76,194,127,65.5,13,9,16,9,23.7,7,6,1,0,14.3,https://fbref.com/en/squads/4ba7cbea/2023-2024/Bournemouth-Stats
2023-2024,Premier League,keeper,squad_for,2023-2024 Premier League Stats _ FBref.com.html,2026-09-20T20:39:02.383394+00:00,Brentford,Brentford,cd051869,2,38,38,"3,420",38.0,65,1.71,184,119,64.7,10,9,19,7,18.4,2,2,0,0,0.0,https://fbref.com/en/squads/cd051869/2023-2024/Brentford-Stats
2023-2024,Premier League,keeper,squad_for,2023-2024 Premier League Stats _ FBref.com.html,2026-09-20T20:39:02.383394+00:00,Brighton,Brighton,d07537b9,2,38,38,"3,420",38.0,62,1.63,165,105,62.4,12,12,14,6,15.8,6,6,0,0,0.0,https://fbref.com/en/squads/d07537b9/2023-2024/Brighton-and-Hove-Albion-Stats
2023-2024,Premier League,keeper,squad_for,2023-2024 Premier League Stats _ FBref.com.html,2026-09-20T20:39:02.383394+00:00,Burnley,Burnley,943e8050,2,38,38,"3,420",38.0,78,2.05,244,168,68.0,5,9,24,2,5.3,7,6,1,0,14.3,https://fbref.com/en/squads/943e8050/2023-2024/Burnley-Stats
2023-2024,Premier League,keeper,squad_for,2023-2024 Premier League Stats _ FBref.com.html,2026-09-20T20:39:02.383394+00:00,Chelsea,Chelsea,cff3d9bb,2,38,38,"3,420",38.0,63,1.66,186,125,66.1,18,9,11,8,21.1,5,3,1,1,25.0,https://fbref.com/en/squads/cff3d9bb/2023-2024/Chelsea-Stats
2023-2024,Premier League,keeper,squad_for,2023-2024 Premier League Stats _ FBref.com.html,2026-09-20T20:39:02.383394+00:00,Crystal Palace,Crystal Palace,47c64c55,3,38,38,"3,420",38.0,58,1.53,154,98,62.3,13,10,15,10,26.3,3,3,0,0,0.0,https://fbref.com/en/squads/47c64c55/2023-2024/Crystal-Palace-Stats
2023-2024,Premier League,keeper,squad_for,2023-2024 Premier League Stats _ FBref.com.html,2026-09-20T20:39:02.383394+00:00,Everton,Everton,d3fd31cc,1,38,38,"3,420",38.0,51,1.34,165,117,69.1,13,9,16,13,34.2,8,8,0,0,0.0,https://fbref.com/en/squads/d3fd31cc/2023-2024/Everton-Stats
2023-2024,Premier League,keeper,squad_for,2023-2024 Premier League Stats _ FBref.com.html,2026-09-20T20:39:02.383394+00:00,Fulham,Fulham,fd962109,1,38,38,"3,420",38.0,61,1.61,190,133,67.9,13,8,17,10,26.3,8,8,0,0,0.0,https://fbref.com/en/squads/fd962109/2023-2024/Fulham-Stats
2023-2024,Premier League,keeper,squad_for,2023-2024 Premier League Stats _ FBref.com.html,2026-09-20T20:39:02.383394+00:00,Liverpool,Liverpool,822bd0ba,2,38,38,"3,420",38.0,41,1.08,147,108,72.1,24,10,4,10,26.3,1,1,0,0,0.0,https://fbref.com/en/squads/822bd0ba/2023-2024/Liverpool-Stats
2023-2024,Premier League,keeper,squad_for,2023-2024 Premier League Stats _ FBref.com.html,2026-09-20T20:39:02.383394+00:00,Luton Town,Luton,e297cd13,2,38,38,"3,420",38.0,85,2.24,227,142,62.6,6,8,24,2,5.3,4,4,0,0,0.0,https://fbref.com/en/squads/e297cd13/2023-2024/Luton-Town-Stats
2023-2024,Premier League,keeper,squad_for,2023-2024 Premier League Stats _ FBref.com.html,2026-09-20T20:39:02.383394+00:00,Manchester City,Man City,b8fd03ef,2,38,38,"3,420",38.0,34,0.89,109,76,68.8,28,7,3,13,34.2,3,3,0,0,0.0,https://fbref.com/en/squads/b8fd03ef/2023-2024/Manchester-City-Stats
2023-2024,Premier League,keeper,squad_for,2023-2024 Premier League Stats _ FBref.com.html,2026-09-20T20:39:02.383394+00:00,Manchester Utd,Man Utd,19538871,1,38,38,"3,420",38.0,58,1.53,203,146,71.4,18,6,14,9,23.7,7,7,0,0,0.0,https://fbref.com/en/squads/19538871/2023-2024/Manchester-United-Stats
2023-2024,Premier League,keeper,squad_for,2023-2024 Premier League Stats _ FBref.com.html,2026-09-20T20:39:02.383394+00:00,Newcastle,Newcastle,b2b47a98,3,38,38,"3,420",38.0,62,1.63,195,133,68.2,18,6,14,10,26.3,5,4,1,0,20.0,https://fbref.com/en/squads/b2b47a98/2023-2024/Newcastle-United-Stats
2023-2024,Premier League,keeper,squad_for,2023-2024 Premier League Stats _ FBref.com.html,2026-09-20T20:39:02.383394+00:00,Nottingham,Nott'm Forest,e4a775cb,3,38,38,"3,420",38.0,67,1.76,163,98,58.9,9,9,20,4,10.5,4,4,0,0,0.0,https://fbref.com/en/squads/e4a775cb/2023-2024/Nottingham-Forest-Stats
2023-2024,Premier League,keeper,squad_for,2023-2024 Premier League Stats _ FBref.com.html,2026-09-20T20:39:02.383394+00:00,Sheffield United,Sheffield Utd,1df6b87e,2,38,38,"3,420",38.0,104,2.74,263,166,60.5,3,7,28,1,2.6,7,5,0,2,0.0,https://fbref.com/en/squads/1df6b87e/2023-2024/Sheffield-United-Stats
2023-2024,Premier League,keeper,squad_for,2023-2024 Premier League Stats _ FBref.com.html,2026-09-20T20:39:02.383394+00:00,Tottenham,Spurs,361ca564,1,38,38,"3,420",38.0,61,1.61,167,109,63.5,20,6,12,7,18.4,7,7,0,0,0.0,https://fbref.com/en/squads/361ca564/2023-2024/Tottenham-Hotspur-Stats
2023-2024,Premier League,keeper,squad_for,2023-2024 Premier League Stats _ FBref.com.html,2026-09-20T20:39:02.383394+00:00,West Ham,West Ham,7c21e445,2,38,38,"3,420",38.0,74,1.95,241,169,69.3,14,10,14,5,13.2,10,8,2,0,20.0,https://fbref.com/en/squads/7c21e445/2023-2024/West-Ham-United-Stats
2023-2024,Premier League,keeper,squad_for,2023-2024 Premier League Stats _ FBref.com.html,2026-09-20T20:39:02.383394+00:00,Wolves,Wolves,8cec06e1,2,38,38,"3,420",38.0,65,1.71,203,139,68.0,13,7,18,5,13.2,8,8,0,0,0.0,https://fbref.com/en/squads/8cec06e1/2023-2024/Wolverhampton-Wanderers-Stats
