season,competition,category,table_type,source_file,saved_at,team_fbref,team,team_fbref_id,players_used,gk_games,gk_games_starts,gk_minutes,minutes_90s,gk_goals_against,gk_goals_against_per90,gk_shots_on_target_against,gk_saves,gk_save_pct,gk_wins,gk_ties,gk_losses,gk_clean_sheets,gk_clean_sheets_pct,gk_pens_att,gk_pens_allowed,gk_pens_saved,gk_pens_missed,gk_pens_save_pct,team_href
2018-2019,Premier League,keeper,squad_against,2018-2019 Premier League Stats _ FBref.com.html,2026-09-20T20:41:51.232150+00:00,Arsenal,Arsenal,18bb7c10,2,38,38,"3,420",38.0,73,1.92,164,94,55.5,10,7,21,4,10.5,5,4,1,0,20.0,https://fbref.com/en/squads/18bb7c10/2018-2019/Arsenal-Stats
2018-2019,Premier League,keeper,squad_against,2018-2019 Premier League Stats _ FBref.com.html,2026-09-20T20:41:51.232150+00:00,Bournemouth,Bournemouth,4ba7cbea,3,38,38,"3,420",38.0,56,1.47,161,105,65.2,19,6,13,12,31.6,9,7,1,1,12.5,https://fbref.com/en/squads/4ba7cbea/2018-2019/Bournemouth-Stats
2018-2019,Premier League,keeper,squad_against,2018-2019 Premier League Stats _ FBref.com.html,2026-09-20T20:41:51.232150+00:00,Brighton,Brighton,d07537b9,2,38,38,"3,420",38.0,35,0.92,105,69,66.7,20,9,9,13,34.2,6,5,1,0,16.7,https://fbref.com/en/squads/d07537b9/2018-2019/Brighton-and-Hove-Albion-Stats
2018-2019,Premier League,keeper,squad_against,2018-2019 Premier League Stats _ FBref.com.html,2026-09-20T20:41:51.232150+00:00,Burnley,Burnley,943e8050,2,38,38,"3,420",38.0,45,1.18,116,71,61.2,20,7,11,12,31.6,2,2,0,0,0.0,https://fbref.com/en/squads/943e8050/2018-2019/Burnley-Stats
2018-2019,Premier League,keeper,squad_against,2018-2019 Premier League Stats _ FBref.com.html,2026-09-20T20:41:51.232150+00:00,Cardiff City,Cardiff,75fae011,1,38,38,"3,420",38.0,34,0.89,117,83,70.9,24,4,10,17,44.7,4,3,1,0,25.0,https://fbref.com/en/squads/75fae011/2018-2019/Cardiff-City-Stats
2018-2019,Premier League,keeper,squad_against,2018-2019 Premier League Stats _ FBref.com.html,2026-09-20T20:41:51.232150+00:00,Chelsea,Chelsea,cff3d9bb,2,38,38,"3,420",38.0,63,1.66,197,136,68.0,8,9,21,10,26.3,5,5,0,0,0.0,https://fbref.com/en/squads/cff3d9bb/2018-2019/Chelsea-Stats
2018-2019,Premier League,keeper,squad_against,2018-2019 Premier League Stats _ FBref.com.html,2026-09-20T20:41:51.232150+00:00,Crystal Palace,Crystal Palace,47c64c55,3,38,38,"3,420",38.0,51,1.34,146,97,65.1,17,7,14,11,28.9,11,10,1,0,9.1,https://fbref.com/en/squads/47c64c55/2018-2019/Crystal-Palace-Stats
2018-2019,Premier League,keeper,squad_against,2018-2019 Premier League Stats _ FBref.com.html,2026-09-20T20:41:51.232150+00:00,Everton,Everton,d3fd31cc,1,38,38,"3,420",38.0,54,1.42,167,112,67.7,14,9,15,10,26.3,5,2,2,1,50.0,https://fbref.com/en/squads/d3fd31cc/2018-2019/Everton-Stats
2018-2019,Premier League,keeper,squad_against,2018-2019 Premier League Stats _ FBref.com.html,2026-09-20T20:41:51.232150+00:00,Fulham,Fulham,fd962109,3,38,38,"3,420",38.0,34,0.89,143,109,76.2,26,5,7,15,39.5,3,2,1,0,33.3,https://fbref.com/en/squads/fd962109/2018-2019/Fulham-Stats
2018-2019,Premier League,keeper,squad_against,2018-2019 Premier League Stats _ FBref.com.html,2026-09-20T20:41:51.232150+00:00,Huddersfield,Huddersfield,f5922ca5,3,38,38,"3,420",38.0,22,0.58,118,96,81.4,28,7,3,19,50.0,1,1,0,0,0.0,https://fbref.com/en/squads/f5922ca5/2018-2019/Huddersfield-Town-Stats
2018-2019,Premier League,keeper,squad_against,2018-2019 Premier League Stats _ FBref.com.html,2026-09-20T20:41:51.232150+00:00,Leicester City,Leicester,a2d435b3,1,38,38,"3,420",38.0,51,1.34,180,130,71.7,16,7,15,8,21.1,7,5,2,0,28.6,https://fbref.com/en/squads/a2d435b3/2018-2019/Leicester-City-Stats
2018-2019,Premier League,keeper,squad_against,2018-2019 Premier League Stats _ FBref.com.html,2026-09-20T20:41:51.232150+00:00,Liverpool,Liverpool,822bd0ba,1,38,38,"3,420",38.0,89,2.34,218,132,59.2,1,7,30,3,7.9,7,7,0,0,0.0,https://fbref.com/en/squads/822bd0ba/2018-2019/Liverpool-Stats
