season,competition,category,table_type,source_file,saved_at,team_fbref,team,team_fbref_id,players_used,avg_age,games,minutes,minutes_per_game,minutes_pct,minutes_90s,games_starts,minutes_per_start,games_complete,games_subs,minutes_per_sub,unused_subs,points_per_game,on_goals_for,on_goals_against,plus_minus,plus_minus_per90,team_href
2022-2023,Premier League,playing_time,squad_against,2022-2023 Premier League Stats _ FBref.com.html,2026-09-20T20:39:13.143768+00:00,Arsenal,Arsenal,18bb7c10,26,26.7,38,"3,420",90,100,38.0,418,85,275,142,19,199,0.63,43,88,-45,-1.18,https://fbref.com/en/squads/18bb7c10/2022-2023/Arsenal-Stats
2022-2023,Premier League,playing_time,squad_against,2022-2023 Premier League Stats _ FBref.com.html,2026-09-20T20:39:13.143768+00:00,Aston Villa,Aston Villa,8602292d,26,26.5,38,"3,420",90,100,38.0,418,83,255,161,20,181,1.21,46,51,-5,-0.13,https://fbref.com/en/squads/8602292d/2022-2023/Aston-Villa-Stats
2022-2023,Premier League,playing_time,squad_against,2022-2023 Premier League Stats _ FBref.com.html,2026-09-20T20:39:13.143768+00:00,Bournemouth,Bournemouth,4ba7cbea,31,26.6,38,"3,420",90,100,38.0,418,84,264,156,21,184,1.82,71,37,+34,+0.89,https://fbref.com/en/squads/4ba7cbea/2022-2023/Bournemouth-Stats
2022-2023,Premier League,playing_time,squad_against,2022-2023 Premier League Stats _ FBref.com.html,2026-09-20T20:39:13.143768+00:00,Brentford,Brentford,cd051869,25,26.6,38,"3,420",90,100,38.0,418,82,284,134,21,208,1.08,46,58,-12,-0.32,https://fbref.com/en/squads/cd051869/2022-2023/Brentford-Stats
2022-2023,Premier League,playing_time,squad_against,2022-2023 Premier League Stats _ FBref.com.html,2026-09-20T20:39:13.143768+00:00,Brighton,Brighton,d07537b9,29,26.5,38,"3,420",90,100,38.0,418,83,268,150,20,191,1.16,53,72,-19,-0.50,https://fbref.com/en/squads/d07537b9/2022-2023/Brighton-and-Hove-Albion-Stats
2022-2023,Premier League,playing_time,squad_against,2022-2023 Premier League Stats _ FBref.com.html,2026-09-20T20:39:13.143768+00:00,Chelsea,Chelsea,cff3d9bb,32,26.6,38,"3,420",90,100,38.0,418,81,269,148,19,190,1.55,47,38,+9,+0.24,https://fbref.com/en/squads/cff3d9bb/2022-2023/Chelsea-Stats
2022-2023,Premier League,playing_time,squad_against,2022-2023 Premier League Stats _ FBref.com.html,2026-09-20T20:39:13.143768+00:00,Crystal Palace,Crystal Palace,47c64c55,26,26.6,38,"3,420",90,100,38.0,418,84,267,149,18,192,1.50,49,40,+9,+0.24,https://fbref.com/en/squads/47c64c55/2022-2023/Crystal-Palace-Stats
2022-2023,Premier League,playing_time,squad_against,2022-2023 Premier League Stats _ FBref.com.html,2026-09-20T20:39:13.143768+00:00,Everton,Everton,d3fd31cc,28,26.5,38,"3,420",90,100,38.0,418,84,268,152,18,190,1.74,57,34,+23,+0.61,https://fbref.com/en/squads/d3fd31cc/2022-2023/Everton-Stats
2022-2023,Premier League,playing_time,squad_against,2022-2023 Premier League Stats _ FBref.com.html,2026-09-20T20:39:13.143768+00:00,Fulham,Fulham,fd962109,29,26.7,38,"3,420",90,100,38.0,418,84,269,144,20,196,1.45,53,55,-2,-0.05,https://fbref.com/en/squads/fd962109/2022-2023/Fulham-Stats
2022-2023,Premier League,playing_time,squad_against,2022-2023 Premier League Stats _ FBref.com.html,2026-09-20T20:39:13.143768+00:00,Leeds United,Leeds,5bfb9659,29,26.7,38,"3,420",90,100,38.0,418,82,274,143,18,198,1.92,78,48,+30,+0.79,https://fbref.com/en/squads/5bfb9659/2022-2023/Leeds-United-Stats
2022-2023,Premier League,playing_time,squad_against,2022-2023 Premier League Stats _ FBref.com.html,2026-09-20T20:39:13.143768+00:00,Leicester City,Leicester,a2d435b3,28,26.6,38,"3,420",90,100,38.0,418,82,271,146,22,196,1.92,68,51,+17,+0.45,https://fbref.com/en/squads/a2d435b3/2022-2023/Leicester-City-Stats
2022-2023,Premier League,playing_time,squad_against,2022-2023 Premier League Stats _ FBref.com.html,2026-09-20T20:39:13.143768+00:00,Liverpool,Liverpool,822bd0ba,28,26.6,38,"3,420",90,100,38.0,418,82,275,144,18,197,0.97,47,75,-28,-0.74,https://fbref.com/en/squads/822bd0ba/2022-2023/Liverpool-Stats
2022-2023,Premier League,playing_time,squad_against,2022-2023 Premier League Stats _ FBref.com.html,2026-09-20T20:39:13.143768+00:00,Manchester City,Man City,b8fd03ef,24,26.6,38,"3,420",90,100,38.0,418,84,252,165,21,175,0.53,33,94,-61,-1.61,https://fbref.com/en/squads/b8fd03ef/2022-2023/Manchester-City-Stats
2022-2023,Premier League,playing_time,squad_against,2022-2023 Premier League Stats _ FBref.com.html,2026-09-20T20:39:13.143768+00:00,Manchester Utd,Man Utd,19538871,26,26.4,38,"3,420",90,100,38.0,418,83,265,153,19,189,0.87,43,58,-15,-0.39,https://fbref.com/en/squads/19538871/2022-2023/Manchester-United-Stats
2022-2023,Premier League,playing_time,squad_against,2022-2023 Premier League Stats _ FBref.com.html,2026-09-20T20:39:13.143768+00:00,Newcastle,Newcastle,b2b47a98,27,26.8,38,"3,420",90,100,38.0,418,84,270,146,23,196,0.76,33,68,-35,-0.92,https://fbref.com/en/squads/b2b47a98/2022-2023/Newcastle-United-Stats
2022-2023,Premier League,playing_time,squad_against,2022-2023 Premier League Stats _ FBref.com.html,2026-09-20T20:39:13.143768+00:00,Nottingham,Nott'm Forest,e4a775cb,33,26.8,38,"3,420",90,100,38.0,418,82,276,142,18,199,1.71,68,38,+30,+0.79,https://fbref.com/en/squads/e4a775cb/2022-2023/Nottingham-Forest-Stats
2022-2023,Premier League,playing_time,squad_against,2022-2023 Premier League Stats _ FBref.com.html,2026-09-20T20:39:13.143768+00:00,Southampton,Southampton,33c895d4,36,26.7,38,"3,420",90,100,38.0,418,81,265,154,19,187,2.16,73,36,+37,+0.97,https://fbref.com/en/squads/33c895d4/2022-2023/Southampton-Stats
2022-2023,Premier League,playing_time,squad_against,2022-2023 Premier League Stats _ FBref.com.html,2026-09-20T20:39:13.143768+00:00,Tottenham,Spurs,361ca564,29,26.7,38,"3,420",90,100,38.0,418,85,268,149,18,193,1.26,63,70,-7,-0.18,https://fbref.com/en/squads/361ca564/2022-2023/Tottenham-Hotspur-Stats
2022-2023,Premier League,playing_time,squad_against,2022-2023 Premier League Stats _ FBref.com.html,2026-09-20T20:39:13.143768+00:00,West Ham,West Ham,7c21e445,25,26.6,38,"3,420",90,100,38.0,418,84,270,148,20,193,1.76,55,42,+13,+0.34,https://fbref.com/en/squads/7c21e445/2022-2023/West-Ham-United-Stats
2022-2023,Premier League,playing_time,squad_against,2022-2023 Premier League Stats _ FBref.com.html,2026-09-20T20:39:13.143768+00:00,Wolves,Wolves,8cec06e1,32,26.4,38,"3,420",90,100,38.0,418,80,260,159,18,183,1.71,58,31,+27,+0.71,https://fbref.com/en/squads/8cec06e1/2022-2023/Wolverhampton-Wanderers-Stats
