season,competition,category,table_type,source_file,saved_at,team_fbref,team,team_fbref_id,players_used,minutes_90s,goals,shots,shots_on_target,shots_on_target_pct,shots_per90,shots_on_target_per90,goals_per_shot,goals_per_shot_on_target,pens_made,pens_att,team_href
2026-2027,Premier League,shooting,squad_against,Premier League Stats _ FBref.com.html,2026-09-20T20:17:23.677208+00:00,Arsenal,Arsenal,18bb7c10,21,5.0,4,53,14,26.4,10.60,2.80,0.08,0.29,0,1,https://fbref.com/en/squads/18bb7c10/Arsenal-Stats
2026-2027,Premier League,shooting,squad_against,Premier League Stats _ FBref.com.html,2026-09-20T20:17:23.677208+00:00,Aston Villa,Aston Villa,8602292d,22,5.0,8,81,26,32.1,16.20,5.20,0.10,0.31,0,0,https://fbref.com/en/squads/8602292d/Aston-Villa-Stats
2026-2027,Premier League,shooting,squad_against,Premier League Stats _ FBref.com.html,2026-09-20T20:17:23.677208+00:00,Bournemouth,Bournemouth,4ba7cbea,18,4.0,7,42,17,40.5,10.50,4.25,0.17,0.41,0,0,https://fbref.com/en/squads/4ba7cbea/Bournemouth-Stats
2026-2027,Premier League,shooting,squad_against,Premier League Stats _ FBref.com.html,2026-09-20T20:17:23.677208+00:00,Brentford,Brentford,cd051869,20,5.0,4,67,23,34.3,13.40,4.60,0.06,0.17,1,1,https://fbref.com/en/squads/cd051869/Brentford-Stats
2026-2027,Premier League,shooting,squad_against,Premier League Stats _ FBref.com.html,2026-09-20T20:17:23.677208+00:00,Brighton,Brighton,d07537b9,22,5.0,5,58,19,32.8,11.60,3.80,0.09,0.26,0,0,https://fbref.com/en/squads/d07537b9/Brighton-and-Hove-Albion-Stats
2026-2027,Premier League,shooting,squad_against,Premier League Stats _ FBref.com.html,2026-09-20T20:17:23.677208+00:00,Chelsea,Chelsea,cff3d9bb,23,5.0,11,71,32,45.1,14.20,6.40,0.15,0.34,0,0,https://fbref.com/en/squads/cff3d9bb/Chelsea-Stats
2026-2027,Premier League,shooting,squad_against,Premier League Stats _ FBref.com.html,2026-09-20T20:17:23.677208+00:00,Coventry City,Coventry City,f7e3dfe9,21,5.0,10,87,22,25.3,17.40,4.40,0.11,0.45,1,1,https://fbref.com/en/squads/f7e3dfe9/Coventry-City-Stats
2026-2027,Premier League,shooting,squad_against,Premier League Stats _ FBref.com.html,2026-09-20T20:17:23.677208+00:00,Crystal Palace,Crystal Palace,47c64c55,26,4.0,11,71,26,36.6,17.75,6.50,0.15,0.42,0,0,https://fbref.com/en/squads/47c64c55/Crystal-Palace-Stats
2026-2027,Premier League,shooting,squad_against,Premier League Stats _ FBref.com.html,2026-09-20T20:17:23.677208+00:00,Everton,Everton,d3fd31cc,20,5.0,3,69,18,26.1,13.80,3.60,0.04,0.17,0,0,https://fbref.com/en/squads/d3fd31cc/Everton-Stats
2026-2027,Premier League,shooting,squad_against,Premier League Stats _ FBref.com.html,2026-09-20T20:17:23.677208+00:00,Fulham,Fulham,fd962109,20,4.0,7,54,18,33.3,13.50,4.50,0.13,0.39,0,0,https://fbref.com/en/squads/fd962109/Fulham-Stats
2026-2027,Premier League,shooting,squad_against,Premier League Stats _ FBref.com.html,2026-09-20T20:17:23.677208+00:00,Hull City,Hull City,bd8769d1,25,5.0,4,69,21,30.4,13.80,4.20,0.06,0.19,0,1,https://fbref.com/en/squads/bd8769d1/Hull-City-Stats
2026-2027,Premier League,shooting,squad_against,Premier League Stats _ FBref.com.html,2026-09-20T20:17:23.677208+00:00,Ipswich Town,Ipswich Town,b74092de,22,5.0,10,86,28,32.6,17.20,5.60,0.12,0.36,1,1,https://fbref.com/en/squads/b74092de/Ipswich-Town-Stats
2026-2027,Premier League,shooting,squad_against,Premier League Stats _ FBref.com.html,2026-09-20T20:17:23.677208+00:00,Leeds United,Leeds,5bfb9659,19,4.0,3,61,17,27.9,15.25,4.25,0.05,0.18,0,0,https://fbref.com/en/squads/5bfb9659/Leeds-United-Stats
2026-2027,Premier League,shooting,squad_against,Premier League Stats _ FBref.com.html,2026-09-20T20:17:23.677208+00:00,Liverpool,Liverpool,822bd0ba,18,4.0,4,49,16,32.7,12.25,4.00,0.08,0.25,1,1,https://fbref.com/en/squads/822bd0ba/Liverpool-Stats
2026-2027,Premier League,shooting,squad_against,Premier League Stats _ FBref.com.html,2026-09-20T20:17:23.677208+00:00,Manchester City,Man City,b8fd03ef,21,4.0,1,42,11,26.2,10.50,2.75,0.02,0.09,0,0,https://fbref.com/en/squads/b8fd03ef/Manchester-City-Stats
2026-2027,Premier League,shooting,squad_against,Premier League Stats _ FBref.com.html,2026-09-20T20:17:23.677208+00:00,Manchester Utd,Man Utd,19538871,19,4.0,7,41,17,41.5,10.25,4.25,0.17,0.41,0,0,https://fbref.com/en/squads/19538871/Manchester-United-Stats
2026-2027,Premier League,shooting,squad_against,Premier League Stats _ FBref.com.html,2026-09-20T20:17:23.677208+00:00,Newcastle,Newcastle,b2b47a98,21,5.0,7,98,28,28.6,19.60,5.60,0.07,0.25,1,1,https://fbref.com/en/squads/b2b47a98/Newcastle-United-Stats
2026-2027,Premier League,shooting,squad_against,Premier League Stats _ FBref.com.html,2026-09-20T20:17:23.677208+00:00,Nottingham,Nott'm Forest,e4a775cb,20,5.0,5,52,15,28.8,10.40,3.00,0.10,0.33,0,0,https://fbref.com/en/squads/e4a775cb/Nottingham-Forest-Stats
2026-2027,Premier League,shooting,squad_against,Premier League Stats _ FBref.com.html,2026-09-20T20:17:23.677208+00:00,Sunderland,Sunderland,8ef52968,20,4.0,5,44,10,22.7,11.00,2.50,0.11,0.50,1,1,https://fbref.com/en/squads/8ef52968/Sunderland-Stats
2026-2027,Premier League,shooting,squad_against,Premier League Stats _ FBref.com.html,2026-09-20T20:17:23.677208+00:00,Tottenham,Spurs,361ca564,23,5.0,8,76,21,27.6,15.20,4.20,0.11,0.38,0,1,https://fbref.com/en/squads/361ca564/Tottenham-Hotspur-Stats
