season,competition,category,table_type,source_file,saved_at,team_fbref,team,team_fbref_id,rank,home_games,home_wins,home_ties,home_losses,home_goals_for,home_goals_against,home_goal_diff,home_points,home_points_avg,away_games,away_wins,away_ties,away_losses,away_goals_for,away_goals_against,away_goal_diff,away_points,away_points_avg,team_href
2024-2025,Premier League,results,results_home_away,2024-2025 Premier League Stats _ FBref.com.html,2026-09-20T20:38:52.328259+00:00,Liverpool,Liverpool,822bd0ba,1,19,14,4,1,42,16,+26,46,2.42,19,11,5,3,44,25,+19,38,2.00,https://fbref.com/en/squads/822bd0ba/2024-2025/Liverpool-Stats
2024-2025,Premier League,results,results_home_away,2024-2025 Premier League Stats _ FBref.com.html,2026-09-20T20:38:52.328259+00:00,Arsenal,Arsenal,18bb7c10,2,19,11,6,2,35,17,+18,39,2.05,19,9,8,2,34,17,+17,35,1.84,https://fbref.com/en/squads/18bb7c10/2024-2025/Arsenal-Stats
2024-2025,Premier League,results,results_home_away,2024-2025 Premier League Stats _ FBref.com.html,2026-09-20T20:38:52.328259+00:00,Manchester City,Man City,b8fd03ef,3,19,13,3,3,43,23,+20,42,2.21,19,8,5,6,29,21,+8,29,1.53,https://fbref.com/en/squads/b8fd03ef/2024-2025/Manchester-City-Stats
2024-2025,Premier League,results,results_home_away,2024-2025 Premier League Stats _ FBref.com.html,2026-09-20T20:38:52.328259+00:00,Chelsea,Chelsea,cff3d9bb,4,19,12,5,2,35,18,+17,41,2.16,19,8,4,7,29,25,+4,28,1.47,https://fbref.com/en/squads/cff3d9bb/2024-2025/Chelsea-Stats
2024-2025,Premier League,results,results_home_away,2024-2025 Premier League Stats _ FBref.com.html,2026-09-20T20:38:52.328259+00:00,Newcastle,Newcastle,b2b47a98,5,19,12,2,5,40,20,+20,38,2.00,19,8,4,7,28,27,+1,28,1.47,https://fbref.com/en/squads/b2b47a98/2024-2025/Newcastle-United-Stats
2024-2025,Premier League,results,results_home_away,2024-2025 Premier League Stats _ FBref.com.html,2026-09-20T20:38:52.328259+00:00,Aston Villa,Aston Villa,8602292d,6,19,11,7,1,34,20,+14,40,2.11,19,8,2,9,24,31,-7,26,1.37,https://fbref.com/en/squads/8602292d/2024-2025/Aston-Villa-Stats
2024-2025,Premier League,results,results_home_away,2024-2025 Premier League Stats _ FBref.com.html,2026-09-20T20:38:52.328259+00:00,Nottingham,Nott'm Forest,e4a775cb,7,19,9,5,5,26,16,+10,32,1.68,19,10,3,6,32,30,+2,33,1.74,https://fbref.com/en/squads/e4a775cb/2024-2025/Nottingham-Forest-Stats
2024-2025,Premier League,results,results_home_away,2024-2025 Premier League Stats _ FBref.com.html,2026-09-20T20:38:52.328259+00:00,Brighton,Brighton,d07537b9,8,19,8,8,3,30,26,+4,32,1.68,19,8,5,6,36,33,+3,29,1.53,https://fbref.com/en/squads/d07537b9/2024-2025/Brighton-and-Hove-Albion-Stats
2024-2025,Premier League,results,results_home_away,2024-2025 Premier League Stats _ FBref.com.html,2026-09-20T20:38:52.328259+00:00,Bournemouth,Bournemouth,4ba7cbea,9,19,8,4,7,23,16,+7,28,1.47,19,7,7,5,35,30,+5,28,1.47,https://fbref.com/en/squads/4ba7cbea/2024-2025/Bournemouth-Stats
2024-2025,Premier League,results,results_home_away,2024-2025 Premier League Stats _ FBref.com.html,2026-09-20T20:38:52.328259+00:00,Brentford,Brentford,cd051869,10,19,9,4,6,40,35,+5,31,1.63,19,7,4,8,26,22,+4,25,1.32,https://fbref.com/en/squads/cd051869/2024-2025/Brentford-Stats
2024-2025,Premier League,results,results_home_away,2024-2025 Premier League Stats _ FBref.com.html,2026-09-20T20:38:52.328259+00:00,Fulham,Fulham,fd962109,11,19,7,5,7,27,30,-3,26,1.37,19,8,4,7,27,24,+3,28,1.47,https://fbref.com/en/squads/fd962109/2024-2025/Fulham-Stats
2024-2025,Premier League,results,results_home_away,2024-2025 Premier League Stats _ FBref.com.html,2026-09-20T20:38:52.328259+00:00,Crystal Palace,Crystal Palace,47c64c55,12,19,6,7,6,24,26,-2,25,1.32,19,7,7,5,27,25,+2,28,1.47,https://fbref.com/en/squads/47c64c55/2024-2025/Crystal-Palace-Stats
2024-2025,Premier League,results,results_home_away,2024-2025 Premier League Stats _ FBref.com.html,2026-09-20T20:38:52.328259+00:00,Everton,Everton,d3fd31cc,13,19,5,9,5,26,23,+3,24,1.26,19,6,6,7,16,21,-5,24,1.26,https://fbref.com/en/squads/d3fd31cc/2024-2025/Everton-Stats
